particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,overlap_parent_count,step,elapsed_physical_time_s,experimental_age_h,temperature_K,checkpoint,unexpected_merge
17,1341,1147.0523712643057,6.493789589334196,80.5,80.49999999999999,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
18,1309,1116.2801914372453,6.435192404184825,80.5,112.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
19,3391,3041.901027277246,8.988464139144304,112.5,48.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
20,3391,3041.901027277246,8.988464139144304,112.5,112.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
21,1341,1147.0523712643057,6.493789589334196,112.5,16.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
22,1309,1116.2801914372453,6.435192404184825,112.5,48.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
23,1341,1147.0523712643057,6.493789589334196,112.5,80.49999999999999,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
24,1309,1116.2801914372453,6.435192404184825,112.5,112.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
1,5213,4738.299740541479,10.419446290824949,16.5,48.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
2,5213,4738.299740541479,10.419446290824949,16.5,112.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
3,739,622.0445905683684,5.295548738206472,16.5,16.5,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
5,739,622.0445905683684,5.295548738206472,16.5,80.49999999999999,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
7,5213,4738.299740541479,10.419446290824949,48.5,48.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
8,5213,4738.299740541479,10.419446290824949,48.5,112.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
9,739,622.0445905683684,5.295548738206472,48.5,16.5,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
11,739,622.0445905683684,5.295548738206472,48.5,80.49999999999999,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
13,5213,4738.299740541479,10.419446290824949,80.5,48.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
14,5213,4738.299740541479,10.419446290824949,80.5,112.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
15,739,622.0445905683684,5.295548738206472,80.49999999999999,16.5,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
17,739,622.0445905683684,5.295548738206472,80.49999999999999,80.49999999999999,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
19,5213,4738.299740541479,10.419446290824949,112.5,48.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
20,5213,4738.299740541479,10.419446290824949,112.5,112.5,32.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
21,739,622.0445905683684,5.295548738206472,112.5,16.5,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
23,739,622.0445905683684,5.295548738206472,112.5,80.49999999999999,96.5,1,7266,7200.069008763576,8.000019169100993,653.15,step_7266.chk,0
1,6279,5734.924866547356,11.104006510719582,16.5,48.5,32.5,1,10899,10800.103513145363,9.00002875365149,653.15,step_10899.chk,0
2,6279,5734.924866547356,11.104006510719582,16.5,112.5,32.5,1,10899,10800.103513145363,9.00002875365149,653.15,step_10899.chk,0
7,6279,5734.924866547356,11.104006510719582,48.5,48.5,32.5,1,10899,10800.103513145363,9.00002875365149,653.15,step_10899.chk,0
8,6279,5734.924866547356,11.104006510719582,48.5,112.5,32.5,1,10899,10800.103513145363,9.00002875365149,653.15,step_10899.chk,0
