state,T_K,x,omega_rad_s,omega_1e12_rad_s_paper_frequency_axis,frequency_THz_cycles_s,dkappa_dx_W_mK,spectral_kappa_pW_s_mK,total_rate_s-1,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,precipitate_small_rate_s-1,precipitate_big_rate_s-1,dislocation_core_rate_s-1,dislocation_strain_rate_s-1
48h,303.94,0.0369151806278,1.4689262059e+12,1.4689262059,0.233786866707,0.723483738897,0.0181816709344,46891823455.8,5588450316.46,146280991.736,8160763.27196,105.927385297,249094145.652,38185031.403,40861652101.3
48h,303.94,0.0374745015464,1.49118266357e+12,1.49118266357,0.23732909196,0.733181426279,0.0184253808498,47684218531.9,5759080227.41,146280991.736,8666709.67889,112.493947404,249475302.612,39947145.699,41480768042.3
48h,303.94,0.038033822465,1.51343912124e+12,1.51343912124,0.240871317213,0.742843119911,0.0186681862161,48479229666.3,5932276001.68,146280991.736,9195824.80434,119.361128023,249830092.175,41762653.373,42099883983.2
48h,303.94,0.0385931433836,1.5356955789e+12,1.5356955789,0.244413542466,0.752468961295,0.0189100905895,49276860471.2,6108037639.28,146280991.736,9748805.38721,126.537958546,250160632.764,43632351.3411,42718999924.1
48h,303.94,0.0391524643022,1.55795203657e+12,1.55795203657,0.24795576772,0.762059094058,0.0191510975794,50077114377.7,6286365140.19,146280991.736,10326358.4884,134.033603351,250468851.69,45557036.5196,43338115865
48h,303.94,0.0397117852208,1.58020849423e+12,1.58020849423,0.251497992973,0.771613663619,0.0193912108402,50879994655.3,6467258504.43,146280991.736,10929201.491,141.857359747,250756503.966,47537505.8244,43957231806
48h,303.94,0.0402711061394,1.6024649519e+12,1.6024649519,0.255040218226,0.781132816899,0.0196304340641,51685504428.1,6650717731.99,146280991.736,11558062.1001,150.018657902,251025189.159,49574556.1716,44576347746.9
48h,303.94,0.040830427058,1.62472140956e+12,1.62472140956,0.258582443479,0.790616702053,0.0198687709745,52493646690.3,6836742822.87,146280991.736,12213678.3427,158.527060786,251276366.488,51668984.4774,45195463687.8
48h,303.94,0.0413897479766,1.64697786723e+12,1.64697786723,0.262124668732,0.800065468238,0.0201062253198,53304424319.5,7025333777.08,146280991.736,12896798.568,167.392264095,251511368.349,53821587.6578,45814579628.8
48h,303.94,0.0419490688952,1.66923432489e+12,1.66923432489,0.265666893985,0.809479265409,0.0203428008683,54117840089.2,7216490594.61,146280991.736,13608181.4473,176.624096185,251731412.447,56033162.6289,46433695569.7
