step,elapsed_physical_time_s,experimental_age_h,mean_C_B_tot,target_C_B_tot,mass_error_mean,beta_volume_fraction,matrix_xB_alpha,matrix_xAg_alpha,interfacial_area_density_nm_inv,resolved_particle_count,unexpected_merge
83559,82800.79360078112,29.000220444661423,0.03000000000000181,0.029999999999999978,1.8110513089197866e-15,0.024248238581132488,0.005894697448975656,0.005877374775926493,0.00963592529296875,8,0
87192,86400.8281051629,30.000230029211917,0.030000000000019206,0.029999999999999978,1.9206858326015208e-14,0.02424823858113859,0.00589469744898743,0.005877374775938197,0.00963592529296875,8,0
90825,90000.8626095447,31.000239613762414,0.02999999999999637,0.029999999999999978,-3.6290415117434804e-15,0.024248238581133973,0.005894697448968618,0.0058773747759194965,0.00963592529296875,8,0
94458,93600.89711392649,32.000249198312915,0.029999999999981534,0.029999999999999978,-1.8464396678297135e-14,0.024248238581130198,0.0058946974489570945,0.00587737477590804,0.00963592529296875,8,0
98091,97200.93161830827,33.00025878286341,0.03000000000000492,0.029999999999999978,4.919675777870225e-15,0.024248238581136873,0.005894697448974381,0.005877374775925225,0.00963592529296875,8,0
101724,100800.96612269006,34.00026836741391,0.030000000000018776,0.029999999999999978,1.877664690397296e-14,0.02424823858113862,0.005894697448986954,0.005877374775937724,0.00963592529296875,8,0
105357,104401.00062707184,35.0002779519644,0.029999999999995548,0.029999999999999978,-4.451300439356487e-15,0.024248238581132796,0.005894697448968968,0.0058773747759198434,0.00963592529296875,8,0
108990,108001.03513145364,36.000287536514904,0.029999999999977062,0.029999999999999978,-2.2936513799365343e-14,0.02424823858112876,0.005894697448953939,0.005877374775904903,0.00963592529296875,8,0
112623,111601.06963583542,37.000297121065394,0.03000000000000147,0.029999999999999978,1.4710455076283324e-15,0.024248238581136262,0.005894697448971519,0.005877374775922379,0.00963592529296875,8,0
116256,115201.10414021721,38.00030670561589,0.03000000000002099,0.029999999999999978,2.0990154059319366e-14,0.024248238581139548,0.005894697448988295,0.005877374775939057,0.00963592529296875,8,0
119889,118801.13864459899,39.00031629016639,0.029999999999994573,0.029999999999999978,-5.4262150328554526e-15,0.02424823858113033,0.005894697448970443,0.005877374775921309,0.00963592529296875,8,0
