member_id,host_id,host_family,host_status,background_model,AQ_case_id,age_h,temperature_K,ensemble_mean_kappa_upper_W_mK,replicate_min_W_mK,replicate_max_W_mK,experiment_W_mK,endpoint_gate_pass
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.8726886359032703,0.8718734560854619,0.8733401709855448,1.03,False
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9133604628358686,0.9133592601751339,0.9133613455711513,0.85,True
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.9125780319512358,0.9116887967337288,0.9132887828259522,1.03,False
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9829447778995829,0.9829433907211351,0.9829457960682297,0.85,True
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9820424678784576,0.9810170742341546,0.9828621012132241,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8777501483804939,0.8777492177650241,0.8777508314385803,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8771447581747848,0.8764567570516646,0.8776946828502324,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__all_small_at_reported_max,6.0,573.15,0.878422632331579,0.8784217008281061,0.8784233160414465,0.85,True
H-P2_PBTE_303K_100__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__all_small_at_reported_max,48.0,573.15,0.8778166643375863,0.8771280065209208,0.8783671138749536,1.03,False
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.879847481654445,0.8798465482677129,0.8798481667465974,0.85,True
