CV,R6_nm,R48_nm,fixed_effective_h_volume_nm3,N6_effective,N48_effective,N6_spherical_crosscheck,N48_spherical_crosscheck,Sv6_nm_inv,Sv48_nm_inv,M6_6h_nm3,M6_48h_nm3,kappa_6h_W_mK,kappa_48h_W_mK,delta_kappa_W_mK,relative_change_percent,objective_J,kappa6_within_5pct,kappa48_within_5pct,positive_trend,integration
0.3,14.75,16.0,356237.61016735336,20.464239251431135,16.03288647926207,26.501783293541603,20.763052944352268,0.004096478556796195,0.003776441169546492,51.563201488842395,65.81482961301349,1.2961724151337597,1.296118480119507,-5.3935014252770586e-05,-0.004161098756850547,0.3422829107428859,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,15.0,356237.61016735336,19.457986079720715,19.457986079720715,25.198656254834635,25.198656254834635,0.004028203914182925,0.004028203914182925,54.22974852146498,54.22974852146498,1.2961571604374513,1.2961571604374513,0.0,0.0,0.34228347702623296,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,18.0,356237.61016735336,20.464239251431135,11.260408610949495,26.501783293541603,14.582555703029302,0.004096478556796195,0.0033568365951524375,51.563201488842395,93.70900544509136,1.2961724151337597,1.2961293092569912,-4.310587676847888e-05,-0.0033256283087949013,0.3422883436625644,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,19.0,356237.61016735336,19.457986079720715,9.574384461154319,25.198656254834635,12.399105534344203,0.004028203914182925,0.003180160984881257,54.22974852146498,110.21091706925273,1.2961571604374513,1.2961695733537641,1.2412916312820599e-05,0.0009576706198676753,0.34228970544285814,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,15.5,356237.61016735336,20.464239251431135,17.635044951577978,26.501783293541603,22.837894628597063,0.004096478556796195,0.003898261852435089,51.563201488842395,59.83549771122082,1.2961724151337597,1.2961335631687185,-3.8851965041164505e-05,-0.0029974380404596975,0.34229047788753847,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,18.5,356237.61016735336,20.464239251431135,10.371856043125968,26.501783293541603,13.431854359673368,0.004096478556796195,0.0032661112817699393,51.563201488842395,101.73701673547272,1.2961724151337597,1.296146933364145,-2.5481769614588146e-05,-0.0019659243876100027,0.3422971860544349,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,17.0,356237.61016735336,21.541089185799308,13.366721558936986,27.896335187196488,17.310292053748604,0.004167107497430611,0.0035542975713378747,48.985530988518875,78.942445773617,1.2961901278083459,1.296110906446924,-7.922136142179959e-05,-0.0061118627369698055,0.3423009881965617,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,16.5,356237.61016735336,21.541089185799308,14.619072937431048,27.896335187196488,18.93212340708838,0.004167107497430611,0.0036620035583481135,48.985530988518875,72.17979528206986,1.2961901278083459,1.2961111528053424,-7.897500300346749e-05,-0.006092856388051793,0.3423011117872721,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,15.0,356237.61016735336,20.464239251431135,19.457986079720715,26.501783293541603,25.198656254834635,0.004096478556796195,0.004028203914182925,51.563201488842395,54.22974852146498,1.2961724151337597,1.2961571604374513,-1.5254696308364402e-05,-0.0011769033293915748,0.34230231746454753,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,19.5,356237.61016735336,19.457986079720715,8.856616331233834,25.198656254834635,11.469574990821409,0.004028203914182925,0.003098618395525328,54.22974852146498,119.14275750165844,1.2961571604374513,1.2961968336099206,3.967317246922342e-05,0.0030608304054605363,0.3423033848137912,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
