run_dir,continuous_nucleus_id,rc_nm,shape_type,candidate_template_count_within_threshold,selected_template_id,is_mapping_unique,nearest_template_id,nearest_template_loss_proxy,all_candidate_template_ids
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_s0p01,1.6718810522459522,faceted,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.184925968,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_sm0p0025,2.0039760300044933,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.1641085098,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_sm0p005,2.066666054992285,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.2315175348,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_sm0p0075,2.1263975142758746,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.2955229941,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_sm0p01,2.1823650181400387,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.3558834979,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_s0p0025,1.9707792518340201,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.1292352316,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_s0p005,2.0038047361458973,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.1651392159,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_s0p0075,2.0382761548810486,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.2023626347,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_s0p01,2.0742875005637935,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.2400589803,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_sm0p0025,1.9087290615248709,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.06398754131,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_sm0p005,1.8795524229554987,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.02985340274,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_sm0p0075,1.8515150557586375,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.003710424023,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_sm0p01_anisotropic_ar1p25_r0p340638,0.340638,anisotropic,0,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,,,
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_eyy_sm0p01_faceted_ar1p5_r0p340638,0.340638,faceted,0,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,,,
Results/orchestrator/T400_xB0p050,mapped_cntcon_T400_xB0p050_strictref_eyy_sm0p01,1.8245556046158986,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.0295234156,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
