case,accepted_step,rejected_step,idx,i,j,k,C_n,C_nm1,phi_n,phi_nm1,C_anchor,phi_E_raw,h_phi_E,alpha_E,phase_lower_C,phase_upper_C,q_n,q_anchor_E,xB_alpha_n,context_invalid,predicted_transition,trial_C,trial_phi,trial_q_alpha,trial_xB_alpha,trial_mu,trial_mobility_status,trial_face_x_out,trial_face_x_in,trial_residual
dt8,2957,2958,266,266,0,0,0.9999994891680709,0.9999994891321955,0.9962826389863121,0.9962825517870315,0.9999994891800293,0.9962827261855927,0.9999994892023221,5.107976779328283e-07,0.9999994892023221,1.0,1.6293633109398797e-12,-2.229272322296083e-11,3.1896709318158514e-06,1,FREE_TO_QALPHA_LOWER_CAPACITY,9.99999489174122069e-01,9.96282638986312086e-01,7.68118901817160804e-12,1.50353288236105616e-05,-1.80408302908297191e+00,FINITE_OR_ZERO,2.86368802118901044e-08,3.92473208967432262e-16,-5.13512160604277182e-12
dt16,5482,5483,246,246,0,0,0.9999999702070037,0.9999999702069893,0.9985600384234874,0.9985600381907951,0.9999999702070085,0.9985600386561797,0.9999999702070178,2.9792982192411444e-08,0.9999999702070178,1.0,3.3306690738754696e-16,-9.325873406851315e-15,1.0000089283887356e-08,0,FREE_TO_QALPHA_LOWER_CAPACITY,9.99999970207017363e-01,9.98560038643650172e-01,1.55431223447521916e-15,1.00001860448684171e-08,-2.74340638951755000e+00,FINITE_OR_ZERO,1.15615259186621802e-10,-8.20745709767963199e-11,-1.68590791055271496e-14
dt16,5482,5483,247,247,0,0,0.9999999984281851,0.9999999984277124,0.9994570825780071,0.9994570759771813,0.9999999984283426,0.999457089178833,0.9999999984010616,1.5989384261061446e-09,0.9999999984010616,1.0,2.7181923378805095e-11,2.728106629490412e-11,0.016999331603177716,0,NONE,9.99999998428883763e-01,9.99457089173325652e-01,2.78232992201310481e-11,1.74004706951037848e-02,6.23681065246497468e-02,FINITE_OR_ZERO,-0.00000000000000000e+00,1.15615259186621802e-10,5.56176772408892693e-13
dt16,5482,5483,248,248,0,0,0.9999999999200492,0.9999999999200492,0.999798982709182,0.9997989821027533,0.9999999999200492,0.9997989833156107,0.9999999999187983,8.120171202108395e-11,0.9999999999187983,1.0,1.2516654379624015e-12,1.2508882818451639e-12,0.005907940326439206,0,NONE,9.99999999920049176e-01,9.99798983319340362e-01,1.25044419263531381e-12,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,-0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,249,249,0,0,0.999999999996018,0.999999999996018,0.9999247566245099,0.9999247559383773,0.999999999996018,0.9999247573106425,0.9999999999957406,4.259370633974413e-12,0.9999999999957406,1.0,2.774447338538266e-13,2.773337115513641e-13,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999996017963e-01,9.99924757309376022e-01,2.78110867668601713e-13,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,250,250,0,0,0.9999999999998012,0.9999999999998012,0.9999723585004417,0.9999723587078354,0.9999999999998012,0.9999723582930481,0.9999999999997888,2.1116441928370477e-13,0.9999999999997888,1.0,1.2323475573339238e-14,1.2323475573339238e-14,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999801159e-01,9.99972358293749641e-01,1.21014309684142063e-14,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,251,251,0,0,0.9999999999999917,0.9999999999999917,0.999988845610592,0.9999888453121292,0.9999999999999917,0.9999888459090548,0.9999999999999861,1.3877787807814457e-14,0.9999999999999861,1.0,5.551115123125783e-15,5.551115123125783e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999991673e-01,9.99988845908578505e-01,5.44009282066326705e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,252,252,0,0,0.9999999999999997,0.9999999999999997,0.9999942408240633,0.9999942411203355,0.9999999999999997,0.9999942405277911,0.9999999999999981,1.887379141862766e-15,0.9999999999999981,1.0,1.5543122344752192e-15,1.5543122344752192e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999999667e-01,9.99994240528126688e-01,1.44328993201270350e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,253,253,0,0,0.9999999999999981,0.9999999999999981,0.9999942638438646,0.9999942638438646,0.9999999999999981,0.9999942638438646,0.9999999999999981,1.887379141862766e-15,0.9999999999999981,1.0,0.0,0.0,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999998113e-01,9.99994263843864584e-01,-2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt16,5482,5483,254,254,0,0,1.0000000000000013,1.0000000000000013,1.0,1.0,1.0000000000000013,1.0,1.0,0.0,1.0,1.0,1.3322676295501878e-15,1.3322676295501878e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000133e+00,1.00000000000000000e+00,1.33226762955018785e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
