record_type,target_time_h,time_h,cohort_count,time_s,N_m0_m3,M0_m3,M1_m2,M2_m,M3_dimensionless,Rmean_m,Rmean3_m3,Sv_m_inv,f_beta,matrix_xB,beta_inventory_mol_m3,matrix_inventory_mol_m3,total_inventory_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,active_cohort_count,cumulative_dissolution_inventory_mol_m3,initial_id,initial_radius_m,weight_m3,initial_inventory_mol_m3,active,radius_m,initial_growth_sign,current_growth_dissolution_sign,dissolution_time_s,radius_before_event_m,post_event_ledger_relative_residual,returned_inventory_mol_m3,current_inventory_mol_m3,ledger_relative_residual
COHORT,0.0,0.0,6,,,,,,,,,,,0.006221071234813393,,,,,,6,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.049993948124773e-08,GROWTH,GROWTH,,,,0.0,133.64604733770057,0.0
COHORT,0.0,0.0,6,,,,,,,,,,,0.006221071234813393,,,,,,6,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.0499939315689504e-08,GROWTH,GROWTH,,,,0.0,133.64604101589208,0.0
COHORT,0.0,0.0,6,,,,,,,,,,,0.006221071234813393,,,,,,6,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,True,9.49995816215454e-09,GROWTH,GROWTH,,,,0.0,98.9830448069612,0.0
COHORT,0.0,0.0,6,,,,,,,,,,,0.006221071234813393,,,,,,6,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,True,9.499958271209501e-09,GROWTH,GROWTH,,,,0.0,98.98304821579482,0.0
COHORT,0.0,0.0,6,,,,,,,,,,,0.006221071234813393,,,,,,6,,MP005,7.99993108603241e-09,1.1302806712962962e+21,59.109116572532564,True,7.99993108603241e-09,DISSOLUTION,DISSOLUTION,,,,0.0,59.109116572532564,0.0
COHORT,0.0,0.0,6,,,,,,,,,,,0.006221071234813393,,,,,,6,,MP006,7.999932118399894e-09,1.1302806712962962e+21,59.10913945610636,True,7.999932118399894e-09,DISSOLUTION,DISSOLUTION,,,,0.0,59.10913945610636,0.0
COHORT,0.01,0.01,6,,,,,,,,,,,0.006196469802531971,,,,,,6,,MP001,1.049993948124773e-08,1.1302806712962962e+21,133.64604733770057,True,1.0507975867177723e-08,GROWTH,GROWTH,,,,0.0,133.95315009638858,0.0
COHORT,0.01,0.01,6,,,,,,,,,,,0.006196469802531971,,,,,,6,,MP002,1.0499939315689504e-08,1.1302806712962962e+21,133.64604101589208,True,1.0507975701118288e-08,GROWTH,GROWTH,,,,0.0,133.9531437457314,0.0
COHORT,0.01,0.01,6,,,,,,,,,,,0.006196469802531971,,,,,,6,,MP003,9.49995816215454e-09,1.1302806712962962e+21,98.9830448069612,True,9.50414399466307e-09,GROWTH,GROWTH,,,,0.0,99.11394297260553,0.0
COHORT,0.01,0.01,6,,,,,,,,,,,0.006196469802531971,,,,,,6,,MP004,9.499958271209501e-09,1.1302806712962962e+21,98.98304821579482,True,9.504144104243845e-09,GROWTH,GROWTH,,,,0.0,99.1139464008941,0.0
