particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,overlap_parent_count,step,age_h,registered_age_h,elapsed_physical_time_s,temperature_K,source_phi,source_xB,unexpected_merge
28,11580,4593.474125613755,10.31218957637436,58.21176124894537,204.57393725982624,64.3581833468497,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
29,10994,4278.132733667554,10.070596959593932,67.41465509434849,15.726053342214012,163.17191441124385,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
30,10524,4020.691278817401,9.864400719484784,67.48629608682647,202.25032698789013,178.53005861614406,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
31,11364,4472.463661604685,10.220827778136016,71.9325192425026,1.6522049613986227,6.2137979268010275,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
32,7755,2629.8018740225157,8.562714693669427,74.89435767740552,78.05100803570767,110.14196484043822,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
33,7950,2724.7811672620737,8.66458313825507,79.75294416638062,43.53297294082881,35.65732930644692,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
34,9731,3615.766253739476,9.521468009886949,84.17395372206137,75.3241643220799,225.44443514410355,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
35,11511,4552.760533640138,10.281632251857475,89.0846637326625,5.3916412235687705,75.54889899066322,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
36,9580,3521.1820646808833,9.437709904988342,89.42396145082998,209.5866127744548,92.48833099979252,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
37,12555,5113.201744553663,10.68730260508826,92.54952152394432,50.113113540468234,171.57549766290902,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
38,11432,4512.423849745942,10.251177628786715,93.23953948192045,109.46573806226097,184.17109598960943,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
39,9138,3310.0409178103487,9.245170347943994,91.46286997908248,138.78506674656987,129.98075551445353,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
40,7502,2515.5393394926996,8.436859847952327,92.7526335470713,127.72606750998,27.108564630668575,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
41,7890,2700.7299649184015,8.639014134562284,93.07445793244734,189.94001444927278,20.729106155149438,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
42,8409,2950.7881461272063,8.897810256256653,101.75491191815796,230.91280503697368,176.6812727332649,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
43,11212,4393.648179948657,10.160433152724158,103.90215789426617,185.95497182594545,224.4617909501047,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
44,8766,3139.1518522328547,9.083249391723143,104.66710624837839,145.73953218884648,214.31409682963277,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
45,9873,3680.2507482023266,9.57773757558266,107.51631131163019,8.96565647815088,34.314662381759625,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
46,13249,5494.32256854892,10.946497475417136,109.55496319851638,242.88301096802223,137.79566032279914,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
47,9045,3280.9269853128276,9.217984752600808,109.41720231684049,126.58554549820268,79.54519871550103,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
48,13164,5445.05383343305,10.913679342257234,111.41966238772969,95.68597581667457,128.23128785729224,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
49,7986,2749.0362445423007,8.690216953115256,110.811715802687,61.042472720427654,85.73624814703093,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
