step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
29064,14.0,14.0,16.0,18.0,17.0,8,0.3333333333333333,2.6869195917816805e-07,12.782079976216167
29064,14.0,14.0,18.0,20.0,19.0,2,0.08333333333333333,6.717298979454201e-08,4.958804650269569
29064,14.0,14.0,20.0,22.0,21.0,0,0.0,0.0,0.0
29064,14.0,14.0,22.0,24.0,23.0,0,0.0,0.0,0.0
29064,14.0,14.0,24.0,26.0,25.0,0,0.0,0.0,0.0
29064,14.0,14.0,26.0,28.0,27.0,0,0.0,0.0,0.0
29064,14.0,14.0,28.0,30.0,29.0,0,0.0,0.0,0.0
29064,14.0,14.0,30.0,32.0,31.0,0,0.0,0.0,0.0
32697,15.0,15.0,0.0,2.0,1.0,0,0.0,0.0,0.0
32697,15.0,15.0,2.0,4.0,3.0,0,0.0,0.0,0.0
32697,15.0,15.0,4.0,6.0,5.0,1,0.045454545454545456,3.3586494897271006e-08,0.000794375684885343
32697,15.0,15.0,6.0,8.0,7.0,1,0.045454545454545456,3.3586494897271006e-08,0.015583819242175173
32697,15.0,15.0,8.0,10.0,9.0,0,0.0,0.0,0.0
32697,15.0,15.0,10.0,12.0,11.0,1,0.045454545454545456,3.3586494897271006e-08,0.16614752842576874
32697,15.0,15.0,12.0,14.0,13.0,4,0.18181818181818182,1.3434597958908403e-07,1.4025702374434628
32697,15.0,15.0,14.0,16.0,15.0,5,0.22727272727272727,1.67932474486355e-07,3.6306928017806617
32697,15.0,15.0,16.0,18.0,17.0,7,0.3181818181818182,2.35105464280897e-07,12.518468001206628
32697,15.0,15.0,18.0,20.0,19.0,3,0.13636363636363635,1.0075948469181301e-07,8.468042724102789
32697,15.0,15.0,20.0,22.0,21.0,0,0.0,0.0,0.0
32697,15.0,15.0,22.0,24.0,23.0,0,0.0,0.0,0.0
32697,15.0,15.0,24.0,26.0,25.0,0,0.0,0.0,0.0
32697,15.0,15.0,26.0,28.0,27.0,0,0.0,0.0,0.0
32697,15.0,15.0,28.0,30.0,29.0,0,0.0,0.0,0.0
32697,15.0,15.0,30.0,32.0,31.0,0,0.0,0.0,0.0
36330,16.0,16.0,0.0,2.0,1.0,0,0.0,0.0,0.0
36330,16.0,16.0,2.0,4.0,3.0,0,0.0,0.0,0.0
36330,16.0,16.0,4.0,6.0,5.0,0,0.0,0.0,0.0
36330,16.0,16.0,6.0,8.0,7.0,0,0.0,0.0,0.0
36330,16.0,16.0,8.0,10.0,9.0,1,0.05263157894736842,3.3586494897271006e-08,0.05898757567355085
36330,16.0,16.0,10.0,12.0,11.0,1,0.05263157894736842,3.3586494897271006e-08,0.11774365265507435
36330,16.0,16.0,12.0,14.0,13.0,4,0.21052631578947367,1.3434597958908403e-07,1.428906196013433
36330,16.0,16.0,14.0,16.0,15.0,3,0.15789473684210525,1.0075948469181301e-07,2.2768639069786962
36330,16.0,16.0,16.0,18.0,17.0,5,0.2631578947368421,1.67932474486355e-07,8.957875428547966
36330,16.0,16.0,18.0,20.0,19.0,4,0.21052631578947367,1.3434597958908403e-07,12.184217359347379
36330,16.0,16.0,20.0,22.0,21.0,1,0.05263157894736842,3.3586494897271006e-08,5.556539817697224
36330,16.0,16.0,22.0,24.0,23.0,0,0.0,0.0,0.0
36330,16.0,16.0,24.0,26.0,25.0,0,0.0,0.0,0.0
36330,16.0,16.0,26.0,28.0,27.0,0,0.0,0.0,0.0
36330,16.0,16.0,28.0,30.0,29.0,0,0.0,0.0,0.0
36330,16.0,16.0,30.0,32.0,31.0,0,0.0,0.0,0.0
39963,17.0,17.0,0.0,2.0,1.0,0,0.0,0.0,0.0
39963,17.0,17.0,2.0,4.0,3.0,0,0.0,0.0,0.0
39963,17.0,17.0,4.0,6.0,5.0,0,0.0,0.0,0.0
39963,17.0,17.0,6.0,8.0,7.0,0,0.0,0.0,0.0
39963,17.0,17.0,8.0,10.0,9.0,1,0.05555555555555555,3.3586494897271006e-08,0.027986020619854116
39963,17.0,17.0,10.0,12.0,11.0,1,0.05555555555555555,3.3586494897271006e-08,0.19249416849981435
39963,17.0,17.0,12.0,14.0,13.0,4,0.2222222222222222,1.3434597958908403e-07,1.2834031729134545
39963,17.0,17.0,14.0,16.0,15.0,2,0.1111111111111111,6.717298979454201e-08,1.573319181636252
39963,17.0,17.0,16.0,18.0,17.0,5,0.2777777777777778,1.67932474486355e-07,9.886571295538122
39963,17.0,17.0,18.0,20.0,19.0,3,0.16666666666666666,1.0075948469181301e-07,9.329321651539752
39963,17.0,17.0,20.0,22.0,21.0,2,0.1111111111111111,6.717298979454201e-08,10.80041924440833
39963,17.0,17.0,22.0,24.0,23.0,0,0.0,0.0,0.0
39963,17.0,17.0,24.0,26.0,25.0,0,0.0,0.0,0.0
39963,17.0,17.0,26.0,28.0,27.0,0,0.0,0.0,0.0
39963,17.0,17.0,28.0,30.0,29.0,0,0.0,0.0,0.0
39963,17.0,17.0,30.0,32.0,31.0,0,0.0,0.0,0.0
43596,18.0,18.0,0.0,2.0,1.0,0,0.0,0.0,0.0
43596,18.0,18.0,2.0,4.0,3.0,0,0.0,0.0,0.0
43596,18.0,18.0,4.0,6.0,5.0,0,0.0,0.0,0.0
43596,18.0,18.0,6.0,8.0,7.0,0,0.0,0.0,0.0
43596,18.0,18.0,8.0,10.0,9.0,0,0.0,0.0,0.0
43596,18.0,18.0,10.0,12.0,11.0,3,0.17647058823529413,1.0075948469181301e-07,0.37156811784654015
43596,18.0,18.0,12.0,14.0,13.0,2,0.11764705882352941,6.717298979454201e-08,0.527087686935566
43596,18.0,18.0,14.0,16.0,15.0,2,0.11764705882352941,6.717298979454201e-08,1.3814946121139158
43596,18.0,18.0,16.0,18.0,17.0,2,0.11764705882352941,6.717298979454201e-08,3.657923618524154
43596,18.0,18.0,18.0,20.0,19.0,6,0.35294117647058826,2.0151896938362603e-07,17.61392936749225
43596,18.0,18.0,20.0,22.0,21.0,2,0.11764705882352941,6.717298979454201e-08,12.204998052950177
43596,18.0,18.0,22.0,24.0,23.0,0,0.0,0.0,0.0
43596,18.0,18.0,24.0,26.0,25.0,0,0.0,0.0,0.0
43596,18.0,18.0,26.0,28.0,27.0,0,0.0,0.0,0.0
43596,18.0,18.0,28.0,30.0,29.0,0,0.0,0.0,0.0
43596,18.0,18.0,30.0,32.0,31.0,0,0.0,0.0,0.0
47229,19.0,19.0,0.0,2.0,1.0,0,0.0,0.0,0.0
47229,19.0,19.0,2.0,4.0,3.0,0,0.0,0.0,0.0
47229,19.0,19.0,4.0,6.0,5.0,0,0.0,0.0,0.0
47229,19.0,19.0,6.0,8.0,7.0,2,0.11764705882352941,6.717298979454201e-08,0.019700354224032223
47229,19.0,19.0,8.0,10.0,9.0,1,0.058823529411764705,3.3586494897271006e-08,0.0608992893282496
47229,19.0,19.0,10.0,12.0,11.0,2,0.11764705882352941,6.717298979454201e-08,0.2598757171232105
47229,19.0,19.0,12.0,14.0,13.0,1,0.058823529411764705,3.3586494897271006e-08,0.4588492248591229
47229,19.0,19.0,14.0,16.0,15.0,1,0.058823529411764705,3.3586494897271006e-08,0.7009485794382027
47229,19.0,19.0,16.0,18.0,17.0,2,0.11764705882352941,6.717298979454201e-08,3.798761065012705
47229,19.0,19.0,18.0,20.0,19.0,5,0.29411764705882354,1.67932474486355e-07,15.193318434101819
47229,19.0,19.0,20.0,22.0,21.0,2,0.11764705882352941,6.717298979454201e-08,11.0103793374127
47229,19.0,19.0,22.0,24.0,23.0,1,0.058823529411764705,3.3586494897271006e-08,7.706200696556146
47229,19.0,19.0,24.0,26.0,25.0,0,0.0,0.0,0.0
47229,19.0,19.0,26.0,28.0,27.0,0,0.0,0.0,0.0
47229,19.0,19.0,28.0,30.0,29.0,0,0.0,0.0,0.0
47229,19.0,19.0,30.0,32.0,31.0,0,0.0,0.0,0.0
50862,20.0,20.0,0.0,2.0,1.0,0,0.0,0.0,0.0
50862,20.0,20.0,2.0,4.0,3.0,0,0.0,0.0,0.0
50862,20.0,20.0,4.0,6.0,5.0,1,0.07142857142857142,3.3586494897271006e-08,0.0019399195660541823
50862,20.0,20.0,6.0,8.0,7.0,0,0.0,0.0,0.0
50862,20.0,20.0,8.0,10.0,9.0,1,0.07142857142857142,3.3586494897271006e-08,0.04653005224969465
50862,20.0,20.0,10.0,12.0,11.0,0,0.0,0.0,0.0
50862,20.0,20.0,12.0,14.0,13.0,1,0.07142857142857142,3.3586494897271006e-08,0.3330513041754264
50862,20.0,20.0,14.0,16.0,15.0,1,0.07142857142857142,3.3586494897271006e-08,0.5849863409089335
50862,20.0,20.0,16.0,18.0,17.0,2,0.14285714285714285,6.717298979454201e-08,3.9815898194136676
50862,20.0,20.0,18.0,20.0,19.0,5,0.35714285714285715,1.67932474486355e-07,17.162099171270498
50862,20.0,20.0,20.0,22.0,21.0,2,0.14285714285714285,6.717298979454201e-08,12.668190658385422
50862,20.0,20.0,22.0,24.0,23.0,1,0.07142857142857142,3.3586494897271006e-08,8.657545107348938
50862,20.0,20.0,24.0,26.0,25.0,0,0.0,0.0,0.0
50862,20.0,20.0,26.0,28.0,27.0,0,0.0,0.0,0.0
50862,20.0,20.0,28.0,30.0,29.0,0,0.0,0.0,0.0
50862,20.0,20.0,30.0,32.0,31.0,0,0.0,0.0,0.0
54495,21.0,21.0,0.0,2.0,1.0,0,0.0,0.0,0.0
54495,21.0,21.0,2.0,4.0,3.0,0,0.0,0.0,0.0
54495,21.0,21.0,4.0,6.0,5.0,0,0.0,0.0,0.0
54495,21.0,21.0,6.0,8.0,7.0,0,0.0,0.0,0.0
54495,21.0,21.0,8.0,10.0,9.0,0,0.0,0.0,0.0
54495,21.0,21.0,10.0,12.0,11.0,1,0.08333333333333333,3.3586494897271006e-08,0.18346817526721967
54495,21.0,21.0,12.0,14.0,13.0,1,0.08333333333333333,3.3586494897271006e-08,0.4098482462413521
54495,21.0,21.0,14.0,16.0,15.0,0,0.0,0.0,0.0
54495,21.0,21.0,16.0,18.0,17.0,2,0.16666666666666666,6.717298979454201e-08,3.801454810717049
54495,21.0,21.0,18.0,20.0,19.0,5,0.4166666666666667,1.67932474486355e-07,18.493243243300146
54495,21.0,21.0,20.0,22.0,21.0,1,0.08333333333333333,3.3586494897271006e-08,5.539376511091944
54495,21.0,21.0,22.0,24.0,23.0,2,0.16666666666666666,6.717298979454201e-08,17.65417423600993
54495,21.0,21.0,24.0,26.0,25.0,0,0.0,0.0,0.0
54495,21.0,21.0,26.0,28.0,27.0,0,0.0,0.0,0.0
54495,21.0,21.0,28.0,30.0,29.0,0,0.0,0.0,0.0
54495,21.0,21.0,30.0,32.0,31.0,0,0.0,0.0,0.0
58128,22.0,22.0,0.0,2.0,1.0,0,0.0,0.0,0.0
58128,22.0,22.0,2.0,4.0,3.0,0,0.0,0.0,0.0
58128,22.0,22.0,4.0,6.0,5.0,0,0.0,0.0,0.0
58128,22.0,22.0,6.0,8.0,7.0,0,0.0,0.0,0.0
58128,22.0,22.0,8.0,10.0,9.0,1,0.08333333333333333,3.3586494897271006e-08,0.05115414334701381
58128,22.0,22.0,10.0,12.0,11.0,0,0.0,0.0,0.0
58128,22.0,22.0,12.0,14.0,13.0,1,0.08333333333333333,3.3586494897271006e-08,0.2260503183478101
58128,22.0,22.0,14.0,16.0,15.0,0,0.0,0.0,0.0
58128,22.0,22.0,16.0,18.0,17.0,2,0.16666666666666666,6.717298979454201e-08,3.4844125445156067
58128,22.0,22.0,18.0,20.0,19.0,3,0.25,1.0075948469181301e-07,10.66563626171092
58128,22.0,22.0,20.0,22.0,21.0,3,0.25,1.0075948469181301e-07,14.527640562638132
58128,22.0,22.0,22.0,24.0,23.0,2,0.16666666666666666,6.717298979454201e-08,18.88913867269328
58128,22.0,22.0,24.0,26.0,25.0,0,0.0,0.0,0.0
58128,22.0,22.0,26.0,28.0,27.0,0,0.0,0.0,0.0
58128,22.0,22.0,28.0,30.0,29.0,0,0.0,0.0,0.0
58128,22.0,22.0,30.0,32.0,31.0,0,0.0,0.0,0.0
61761,23.0,23.0,0.0,2.0,1.0,0,0.0,0.0,0.0
61761,23.0,23.0,2.0,4.0,3.0,0,0.0,0.0,0.0
61761,23.0,23.0,4.0,6.0,5.0,0,0.0,0.0,0.0
61761,23.0,23.0,6.0,8.0,7.0,0,0.0,0.0,0.0
61761,23.0,23.0,8.0,10.0,9.0,0,0.0,0.0,0.0
61761,23.0,23.0,10.0,12.0,11.0,1,0.09090909090909091,3.3586494897271006e-08,0.07436362189566384
61761,23.0,23.0,12.0,14.0,13.0,0,0.0,0.0,0.0
61761,23.0,23.0,14.0,16.0,15.0,0,0.0,0.0,0.0
61761,23.0,23.0,16.0,18.0,17.0,2,0.18181818181818182,6.717298979454201e-08,3.1698476640912574
61761,23.0,23.0,18.0,20.0,19.0,3,0.2727272727272727,1.0075948469181301e-07,11.239956684512771
61761,23.0,23.0,20.0,22.0,21.0,3,0.2727272727272727,1.0075948469181301e-07,15.440332702448469
61761,23.0,23.0,22.0,24.0,23.0,2,0.18181818181818182,6.717298979454201e-08,20.305760119289225
61761,23.0,23.0,24.0,26.0,25.0,0,0.0,0.0,0.0
61761,23.0,23.0,26.0,28.0,27.0,0,0.0,0.0,0.0
61761,23.0,23.0,28.0,30.0,29.0,0,0.0,0.0,0.0
61761,23.0,23.0,30.0,32.0,31.0,0,0.0,0.0,0.0
65394,24.0,24.0,0.0,2.0,1.0,0,0.0,0.0,0.0
65394,24.0,24.0,2.0,4.0,3.0,0,0.0,0.0,0.0
65394,24.0,24.0,4.0,6.0,5.0,0,0.0,0.0,0.0
65394,24.0,24.0,6.0,8.0,7.0,0,0.0,0.0,0.0
65394,24.0,24.0,8.0,10.0,9.0,0,0.0,0.0,0.0
65394,24.0,24.0,10.0,12.0,11.0,0,0.0,0.0,0.0
65394,24.0,24.0,12.0,14.0,13.0,0,0.0,0.0,0.0
65394,24.0,24.0,14.0,16.0,15.0,1,0.1,3.3586494897271006e-08,0.9765032939748259
65394,24.0,24.0,16.0,18.0,17.0,1,0.1,3.3586494897271006e-08,1.8028807690677222
65394,24.0,24.0,18.0,20.0,19.0,2,0.2,6.717298979454201e-08,7.123254496728458
65394,24.0,24.0,20.0,22.0,21.0,4,0.4,1.3434597958908403e-07,20.647093224420413
65394,24.0,24.0,22.0,24.0,23.0,2,0.2,6.717298979454201e-08,21.65805873243908
65394,24.0,24.0,24.0,26.0,25.0,0,0.0,0.0,0.0
65394,24.0,24.0,26.0,28.0,27.0,0,0.0,0.0,0.0
65394,24.0,24.0,28.0,30.0,29.0,0,0.0,0.0,0.0
65394,24.0,24.0,30.0,32.0,31.0,0,0.0,0.0,0.0
69027,25.0,25.0,0.0,2.0,1.0,0,0.0,0.0,0.0
69027,25.0,25.0,2.0,4.0,3.0,0,0.0,0.0,0.0
69027,25.0,25.0,4.0,6.0,5.0,0,0.0,0.0,0.0
69027,25.0,25.0,6.0,8.0,7.0,0,0.0,0.0,0.0
69027,25.0,25.0,8.0,10.0,9.0,0,0.0,0.0,0.0
69027,25.0,25.0,10.0,12.0,11.0,0,0.0,0.0,0.0
69027,25.0,25.0,12.0,14.0,13.0,0,0.0,0.0,0.0
69027,25.0,25.0,14.0,16.0,15.0,1,0.1,3.3586494897271006e-08,0.6905042497044159
69027,25.0,25.0,16.0,18.0,17.0,1,0.1,3.3586494897271006e-08,1.6100800343147572
69027,25.0,25.0,18.0,20.0,19.0,2,0.2,6.717298979454201e-08,7.009683028880173
69027,25.0,25.0,20.0,22.0,21.0,4,0.4,1.3434597958908403e-07,21.129103086264674
69027,25.0,25.0,22.0,24.0,23.0,2,0.2,6.717298979454201e-08,22.91616573941337
69027,25.0,25.0,24.0,26.0,25.0,0,0.0,0.0,0.0
