step,age_h,registered_age_h,elapsed_physical_time_s,source_phi,source_xB,beta_volume_fraction,beta_volume_fraction_from_particles,matrix_xB_h_lt_0p005,matrix_xAg_h_lt_0p005,mean_C_B_tot,target_C_B_tot,resolved_particle_count,unexpected_merge
76293,27.0,27.0,75600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_76293.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_76293.vtk,0.023629807852260192,0.02362963507256679,0.006524579613397208,0.006503363756106409,0.029999981823047767,0.03,10,0
79926,28.0,28.0,79200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_79926.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_79926.vtk,0.023621933452142863,0.023621761853692847,0.006532727277402027,0.006511458486167898,0.029999995193409044,0.03,10,0
83559,29.0,29.0,82800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_83559.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_83559.vtk,0.02367377619780053,0.02367360819827578,0.006479779339498442,0.00645885336719564,0.029999998064157932,0.03,9,0
87192,30.0,30.0,86400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_87192.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_87192.vtk,0.02367351890201894,0.02367335212710322,0.00648005833284119,0.0064591305614324305,0.030000006792112895,0.03,9,0
90825,31.0,31.0,90000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_90825.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_90825.vtk,0.023669951654230144,0.023669785755287633,0.006483687724896994,0.0064627365421033554,0.02999996512593834,0.03,9,0
94458,32.0,32.0,93600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_94458.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_94458.vtk,0.023663494061579887,0.023663329879645378,0.00649039712666008,0.006469402630537855,0.030000022602567948,0.03,9,0
98091,33.0,33.0,97200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_98091.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_98091.vtk,0.023675472538466257,0.02367531321566031,0.006478340213257853,0.006457423520025942,0.03000000134974562,0.03,8,0
101724,34.0,34.0,100800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_101724.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_101724.vtk,0.02371246620056214,0.02371230647790078,0.006440354942311522,0.0064196824255926535,0.02999998091029817,0.03,8,0
105357,35.0,35.0,104400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_105357.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_105357.vtk,0.023711386675525567,0.02371122743230773,0.006441464992365063,0.006420785360304118,0.029999977086497882,0.03,8,0
108990,36.0,36.0,108000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_108990.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_108990.vtk,0.02370980501032634,0.023709646522538413,0.006443093426984991,0.0064224033545653685,0.02999997441489917,0.03,8,0
112623,37.0,37.0,111600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_112623.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_112623.vtk,0.0237075904412541,0.023707432579711144,0.006445400938493686,0.006424696067462306,0.030000003224624493,0.03,8,0
116256,38.0,38.0,115200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_116256.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_116256.vtk,0.023704320754434304,0.023704163034252393,0.006448777021004834,0.006428050488863614,0.03000001633050343,0.03,8,0
119889,39.0,39.0,118800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_119889.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_119889.vtk,0.023698959678388927,0.02369880362403543,0.006454271854773082,0.006433510043372911,0.029999998090797775,0.03,8,0
123522,40.0,40.0,122400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_123522.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_123522.vtk,0.02368539922850313,0.023685246439277666,0.006468234195419956,0.00644738260510132,0.030000002493978325,0.03,8,0
127155,41.0,41.0,126000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_127155.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_127155.vtk,0.02374127669662147,0.023741126397422596,0.006411125453686835,0.006390639856761321,0.030000003996694904,0.03,7,0
130788,42.0,42.0,129600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_130788.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_130788.vtk,0.023739664281289787,0.023739514188565236,0.006412784604390885,0.006392288420007559,0.030000000876586982,0.03,7,0
134421,43.0,43.0,133200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_134421.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_134421.vtk,0.02373677650505537,0.023736627243946134,0.006415752653117888,0.006395237522068125,0.029999997256175946,0.03,7,0
138054,44.0,44.0,136800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_138054.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_138054.vtk,0.02373252348979371,0.02373237489341423,0.006420124585956055,0.006399581530593857,0.029999995398502004,0.03,7,0
141687,45.0,45.0,140400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_141687.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_141687.vtk,0.023725282244673834,0.023725135443766386,0.0064275835916157995,0.0064069928505568795,0.03000000575781843,0.03,7,0
145320,46.0,46.0,144000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_145320.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_145320.vtk,0.023705080561582718,0.0237049389502845,0.006448577177621896,0.006427851927999879,0.03000000166476896,0.03,6,0
148953,47.0,47.0,147600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_148953.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_148953.vtk,0.023783861498325905,0.023783718476573113,0.006367770059911987,0.006347560158147716,0.030000008996251104,0.03,6,0
152600,48.0,48.0,151200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_43.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_43.vtk,0.023783312693749684,0.02378317056947283,0.006368346135374995,0.006348132582575448,0.03000001457783987,0.03,6,0
