MAE_W_mK,RMSE_W_mK,compressed_model,group_dimension,group_value,maximum_absolute_error_W_mK,maximum_relative_error_percent,mean_relative_error_percent,mean_signed_error_W_mK,n,reference_model
0.8156291350940695,0.8227359099483146,C_M6,time_h,24,0.9862471290428989,80.74216372251811,77.935679921954,-0.8156291350940695,98,E_direct_discrete_PSD
0.8980919117883622,0.905321214523278,C_M6,time_h,48,1.0731231050573227,87.84781866091907,85.78630498282726,-0.8980919117883622,98,E_direct_discrete_PSD
0.3644910312511475,0.3713718112749492,C_M6,time_h,6,0.4929557290675476,40.29396457113699,34.56415142204622,-0.3644910312511475,98,E_direct_discrete_PSD
0.0006409973968344228,0.0007587536870752405,D_Sv_sph_plus_M6,family,NARROW_N512,0.0012122092861257538,0.09933984341029228,0.06055907541175763,-0.0006409973968344228,56,E_direct_discrete_PSD
0.0006687453530730222,0.0008005409999006089,D_Sv_sph_plus_M6,family,NARROW_N704,0.0015460689954494011,0.12693522048166397,0.0631777950354608,-0.0006687453530730222,168,E_direct_discrete_PSD
0.0007253239890252459,0.0008246063005891228,D_Sv_sph_plus_M6,family,REF_BROAD_N512,0.001775867849840962,0.14548564519763604,0.06850124714294627,-0.0007253239890252459,168,E_direct_discrete_PSD
0.0006891687411489134,0.0008053492259455216,D_Sv_sph_plus_M6,matrix_mode,fixed_6h_matrix,0.001775867849840962,0.14538194537846108,0.06499878745330433,-0.0006891687411489134,196,E_direct_discrete_PSD
0.0006888899511737229,0.0008050156472429643,D_Sv_sph_plus_M6,matrix_mode,pf_time_varying_matrix,0.001775818733537493,0.14548564519763604,0.0651715559601182,-0.0006888899511737229,196,E_direct_discrete_PSD
0.0006890293461613182,0.0008051824538690158,D_Sv_sph_plus_M6,overall,all,0.001775867849840962,0.14548564519763604,0.06508517170671126,-0.0006890293461613182,392,E_direct_discrete_PSD
0.000923442292404609,0.0010512802513339373,D_Sv_sph_plus_M6,temperature_K,303.15,0.001775867849840962,0.14548564519763604,0.07571223110293022,-0.000923442292404609,56,E_direct_discrete_PSD
0.0008718286405662975,0.0009926907160320488,D_Sv_sph_plus_M6,temperature_K,323.15,0.0016814762209169665,0.14180471552694182,0.07358023286142704,-0.0008718286405662975,56,E_direct_discrete_PSD
0.0007603163163914319,0.0008660661200281701,D_Sv_sph_plus_M6,temperature_K,373.15,0.0014760874314687644,0.13340709761641048,0.06876298095996194,-0.0007603163163914319,56,E_direct_discrete_PSD
0.0006689733125911963,0.0007622975129544624,D_Sv_sph_plus_M6,temperature_K,423.15,0.0013062695264076662,0.1259803546138461,0.06455679221179486,-0.0006689733125911963,56,E_direct_discrete_PSD
0.0005932008693512518,0.0006761811186866785,D_Sv_sph_plus_M6,temperature_K,473.15,0.0011642362313427634,0.11935437857994552,0.060846636445453614,-0.0005932008693512518,56,E_direct_discrete_PSD
0.0005296424923573957,0.0006039175383280042,D_Sv_sph_plus_M6,temperature_K,523.15,0.0010442258440428454,0.1134007218924168,0.05754665024416451,-0.0005296424923573957,56,E_direct_discrete_PSD
0.000475801499467045,0.0005426795948835813,D_Sv_sph_plus_M6,temperature_K,573.15,0.0009418996311197914,0.1080189763339749,0.054590678121246614,-0.000475801499467045,56,E_direct_discrete_PSD
0.000878693166763471,0.0009079571493846483,D_Sv_sph_plus_M6,time_h,12,0.0013338870455898988,0.10977106293747879,0.08302760735055532,-0.000878693166763471,98,E_direct_discrete_PSD
0.0008679753978007644,0.0009165481106680687,D_Sv_sph_plus_M6,time_h,24,0.001640991033990069,0.13475327462310083,0.08199463049028748,-0.0008679753978007644,98,E_direct_discrete_PSD
0.0009079528385910094,0.0009514544372583622,D_Sv_sph_plus_M6,time_h,48,0.001775867849840962,0.14548564519763604,0.08577046452290477,-0.0009079528385910094,98,E_direct_discrete_PSD
0.00010149598149002778,0.00015350233095164724,D_Sv_sph_plus_M6,time_h,6,0.00030983409001494877,0.025325689707469925,0.009547984463097493,-0.00010149598149002778,98,E_direct_discrete_PSD
