between_family_difference,calibration_uncertainty,case_004_single_seed_causal_claim,dominant_source,levelset_uncertainty,matrix_mode,quantity,sphere_true_difference,temperature_K,time_h,within_seed_spread
0.0003964805016257733,0.08458545035198621,False,levelset_uncertainty,0.08644920664461857,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0017822718099304341,473.15,24,0.0003028475854301993
0.0003171432674748953,0.0967102383620968,False,levelset_uncertainty,0.09785819638587427,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.002175570193408654,473.15,48,0.00042234589030398784
0.0004222279492606118,0.03880029739050258,False,levelset_uncertainty,0.05008018698453503,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0006474205446162586,473.15,6,7.568601362195615e-06
0.0007321139413827282,0.059356530477928916,False,levelset_uncertainty,0.0623578360152728,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0010890617597759192,523.15,12,0.0005031561368235016
0.00035149657380728616,0.07489267679275464,False,levelset_uncertainty,0.07656460533487276,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.001605163716195663,523.15,24,0.0002706189826322536
0.0002814165253598455,0.08565740799682094,False,levelset_uncertainty,0.08668552837043804,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.001957102049081061,523.15,48,0.0003698317545229868
0.0003727181490382758,0.0345291702710721,False,levelset_uncertainty,0.044725305591565304,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0005859193610398312,523.15,6,6.75812304551382e-06
0.0006580059514188497,0.0528216741314045,False,levelset_uncertainty,0.055536055145785634,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0009878086858362556,573.15,12,0.0004521095934618691
0.00031371862641227377,0.06675130134935395,False,levelset_uncertainty,0.0682604083829361,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.001453843993174751,573.15,24,0.00024325987924811443
0.0002513713927563277,0.07637810666407896,False,levelset_uncertainty,0.07730475528041073,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0017707698603354988,573.15,48,0.0003263424089968714
0.00033145697069714153,0.0309186186293474,False,levelset_uncertainty,0.0401854429377024,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0005330294679680396,573.15,6,6.070838155070035e-06
