step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,lineage_member_ids,lineage_group_size,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
0,0,6,35,35,1,35,8105,2806.1119963349065,8.7499478315442065,74.000012775494142,52.000008633319318,33.000008198583551
0,0,6,36,36,1,36,8104,2806.1046607384951,8.7499402069801668,78.999999627878381,168.00001416564476,83.999979696968268
0,0,6,37,37,1,37,10911,4188.7106330556644,9.9999366784276607,81.999999790152188,122.00000040233613,128.00000116395961
0,0,6,38,38,1,38,8633,3053.5929497296902,8.999965506905097,81.000035614237021,192.00001803987516,124.00005596552792
0,0,6,39,39,1,39,12845,5203.6653392605485,10.749961684114872,83.999991312102139,195.99999732052859,166.99999445306
0,0,6,40,40,1,40,9745,3591.3059404328387,9.4999488043880458,84.999997090627758,241.99998119848144,177.99997222293447
0,0,6,41,41,1,41,9745,3591.3039459374418,9.4999470457327462,89.000000472340801,28.999989236802836,244.00002928151125
0,0,6,42,42,1,42,10267,3882.3623015563981,9.7499521426517664,93.000008482682631,54.000042371723175,66.000010820570779
0,0,6,43,43,1,43,12845,5203.6466918144079,10.749948843193593,98.000007168673349,222.99997762073488,24.000012033273308
0,0,6,44,44,1,44,9175,3315.1669297217422,9.2499403202772221,105.00001038672183,158.99998626436656,145.00000121005826
