snapshot_id,replicate,step,registered_age_h,age_h,elapsed_physical_time_s,particle_count,box_volume_nm3,Nv_nm-3,mean_radius_nm,Sv_nm-1,M6_nm3,beta_volume_fraction,matrix_xAg,matrix_xB,matrix_xAg_source_column,matrix_xB_source_column,matrix_observation_contract,full_psd_canonical_sha256
historical_elastic_72848_step_098091,historical_elastic_72848,98091,33.0,33.0,97200.0,8,14886935.999999998,5.373839183563361e-07,21.573812228760065,0.0031926203059945203,67.60384665733515,0.023675472538466257,0.006457423520025942,0.006478340213257853,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,d99bd95d7d95ad4b6bcc1041c26626851ebe4f5806c660a7faa4f018b7c5b770
historical_elastic_72848_step_101724,historical_elastic_72848,101724,34.0,34.0,100800.0,8,14886935.999999998,5.373839183563361e-07,21.53217956976475,0.0031885421310777384,68.93708813026004,0.02371246620056214,0.0064196824255926535,0.006440354942311522,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,3562daa2a61629ab4b57fb9685af6dd8c7f00057f8b0f8537273f0ba0ecb9d92
historical_elastic_72848_step_105357,historical_elastic_72848,105357,35.0,35.0,104400.0,8,14886935.999999998,5.373839183563361e-07,21.4668166269864,0.003179482986753131,70.24077983675667,0.023711386675525567,0.006420785360304118,0.006441464992365063,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,b915298d9257184a3b2fc6a841fbfe3ccb72b06c320d45e578e148377e91f804
historical_elastic_72848_step_108990,historical_elastic_72848,108990,36.0,36.0,108000.0,8,14886935.999999998,5.373839183563361e-07,21.385585412249906,0.003168457608368886,71.74380206786937,0.02370980501032634,0.0064224033545653685,0.006443093426984991,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,5b51bb6c7939238f0551fc8f04e1bc593fc478190428039bc296de6964cb1971
historical_elastic_72848_step_112623,historical_elastic_72848,112623,37.0,37.0,111600.0,8,14886935.999999998,5.373839183563361e-07,21.281184356596537,0.0031547037345741875,73.48833144962968,0.0237075904412541,0.006424696067462306,0.006445400938493686,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,4ac2ef5c2fbe8825eb068aa7cbb2bec3765726ead4a217557a2f7be57ab5488d
historical_elastic_72848_step_116256,historical_elastic_72848,116256,38.0,38.0,115200.0,8,14886935.999999998,5.373839183563361e-07,21.138945233745964,0.0031367874238791417,75.53471378583421,0.023704320754434304,0.006428050488863614,0.006448777021004834,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,3cc983780db62f44532ff828c471182ab651cd9daddd39c6e1f7a5beb84ffad3
historical_elastic_72848_step_119889,historical_elastic_72848,119889,39.0,39.0,118800.0,8,14886935.999999998,5.373839183563361e-07,20.920681385035802,0.0031113583903118326,77.98052331469704,0.023698959678388927,0.006433510043372911,0.006454271854773082,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,2cd12b3b2537313f05d0ed9648bb9d365268db8ede2a0a0a0c2ed2098ad286a7
historical_elastic_72848_step_123522,historical_elastic_72848,123522,40.0,40.0,122400.0,8,14886935.999999998,5.373839183563361e-07,20.40273352448299,0.0030628899117056017,81.04652326348075,0.02368539922850313,0.00644738260510132,0.006468234195419956,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,2327caffa41e25e83fde1f5c4af6de88aeea4028e21b1fbdb9f9e0b41acbc4d8
historical_elastic_72848_step_127155,historical_elastic_72848,127155,41.0,41.0,126000.0,7,14886936.0,4.70210928561794e-07,22.333996034764027,0.003028156432095985,83.52265014195788,0.02374127669662147,0.006390639856761321,0.006411125453686835,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,7a69c234795742dd601b1cb181268d0358d26cd18f9d2b95d0fb57979d19647e
historical_elastic_72848_step_130788,historical_elastic_72848,130788,42.0,42.0,129600.0,7,14886936.0,4.70210928561794e-07,22.239758616641357,0.003016713469605633,85.33536862984873,0.023739664281289787,0.006392288420007559,0.006412784604390885,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,c686f5f0de6e4a20de3399350a715259054f00cef7cef98575038fba148fb54a
historical_elastic_72848_step_134421,historical_elastic_72848,134421,43.0,43.0,133200.0,7,14886936.0,4.70210928561794e-07,22.117964334196255,0.0030024315081974974,87.40063598624594,0.02373677650505537,0.006395237522068125,0.006415752653117888,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,826fe2bf89a40e9ae5fc2cc0005cd89bf5b5748cdd9a339477828e883376cbc0
historical_elastic_72848_step_138054,historical_elastic_72848,138054,44.0,44.0,136800.0,7,14886936.0,4.70210928561794e-07,21.949104743482973,0.002983708641963488,89.7847378135414,0.02373252348979371,0.006399581530593857,0.006420124585956055,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,369bf2153bf420842aa5a56c987af62471d0c6e7f1529362c8637eca72dbf6c6
historical_elastic_72848_step_141687,historical_elastic_72848,141687,45.0,45.0,140400.0,7,14886936.0,4.70210928561794e-07,21.675927727289572,0.002956290899599716,92.59549371608401,0.023725282244673834,0.0064069928505568795,0.0064275835916157995,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,8a3f84e5567f25a48994a07af20cd5ee7e267494f3c63ab8b619be7f1e9dba2d
historical_elastic_72848_step_145320,historical_elastic_72848,145320,46.0,46.0,144000.0,6,14886936.0,4.0303793876725205e-07,23.599313303759043,0.002883227010952163,96.13104705296358,0.023705080561582718,0.006427851927999879,0.006448577177621896,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,ee91e0b9c18037742dae1374786446c0c64e46911f7b39dda38f701db229092b
historical_elastic_72848_step_148953,historical_elastic_72848,148953,47.0,47.0,147600.0,6,14886936.0,4.0303793876725205e-07,23.57610964323511,0.002883683959188644,98.26376257991483,0.023783861498325905,0.006347560158147716,0.006367770059911987,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,91be31e58d27f7051951833b7ec20827b603eeb48e44aab548e96b1b72e535dc
historical_elastic_72848_step_152600,historical_elastic_72848,152600,48.0,48.0,151200.0,6,14886936.0,4.0303793876725205e-07,23.517365399327755,0.0028766432711762723,100.00219993212735,0.023783312693749684,0.006348132582575448,0.006368346135374995,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,2149ffd2399c7d9a425c20c158252030b8e0be9cefbeea836cee8013842b6b78
