age_h,phi_sha256,xB_sha256,mean_C_B_tot,beta_volume_fraction,matrix_xB_h_lt_0p005,matrix_xAg_h_lt_0p005,matrix_xB_alpha_weighted,matrix_xAg_alpha_weighted,resolved_component_count_periodic,resolved_component_count_raw,mean_radius_nm,R3_moment_mean_nm3,interface_area_proxy_nm_inv
20.0,cfbccafcc7db46bb02d7a4c7533bf506c7be25d582518e43207ddcebc73e0dc2,453c069b455d4539989ea2aa1ecd64f4875f99a1a7f8c424990c0101d5d2e5be,0.030000002289086312,0.024624851659015342,0.005510988781907064,0.005495845011803489,0.005510854607289868,0.005495711573567103,20,34,12.2051145448739,2734.8683435110543,0.004441792328308916
21.0,49cd1ff8bec69b12607eebd459a4aed3f771357f05cc6f659a848b7f381b1160,0cd96b0e595e3879506e987ecae7afa9677a0440d07648e63c7326883ef7d544,0.030000008468615745,0.024617801825752596,0.005518260480735343,0.005503076775189851,0.0055180488765713825,0.005502866333875599,20,34,12.058544228100278,2734.085592126885,0.004404692532991677
22.0,c77d88d9f64cede7cc2f460e236e768797302ebd8e59c0bdcc63e9e444519134,0bcd1aecb47a27179518f1276c3673d3da9ce6640b4e67b42b569fac065c5a33,0.030000001392009513,0.024601872796844674,0.0055346747290381335,0.005519400685291972,0.005534282304440478,0.005519010423577862,20,34,11.775721923173428,2732.316982042792,0.004336417256919548
23.0,4dcdaec8e49e55c0a89a43b1e38d3f0fb9e49e72828cd33e2f7dd858b38e1f47,464e9fe781eeeeaef0564795471a11268fc0be3c1529c2242a6250244467faf7,0.030000010184222083,0.02465032801441678,0.0054850696651056055,0.005470067813590408,0.005484886419159344,0.005469885568624492,18,31,12.685700834922441,3128.7924265143824,0.004238583104818122
24.0,e0036f60c20bec748417a77c6cdce059311d2457ab55753753a1c20717307511,b348b60055d96a8adbea54c7fd37ff27c858f7bf461912efb0e30228961550e9,0.02999999688544686,0.024637722404763206,0.0054980477291297685,0.005482974900280088,0.00549772592590361,0.005482654859022994,18,30,12.404819214156898,3127.1994823523355,0.004172098660708797
25.0,7794bef69125bdb1b8828e6c1fd9270df9c2a9e1038a748ffc0681ca830cfbb7,fff2ca442e450b97f98787e84b59f7781e8a7dc76b458bf923f1fda54a5c408a,0.03000000018897791,0.024644591595433675,0.005491161712577104,0.005476126564315505,0.00549072527552224,0.005475692513878768,17,28,12.642916414616439,3368.6931671620328,0.004051170908187055
26.0,16c5454ec2baa0392e327c8a35986d9766117439da484c1de90392c2759f9f1f,898712f142fdd3c72d685063a1df5ee8997ec32a453930a1e60226f5a4593e37,0.030000008494957653,0.024707740032108336,0.005426663103468303,0.005411978611145372,0.005426341087771493,0.0054116583357812775,14,25,14.112507520525618,4181.446535863698,0.0039093288864598405
27.0,7d530b0d06a455569e3333a76234002164cd9b325f5d39435b1bd3ffe899c37d,56c5684548f20fdcc4572079ed3d65e00da55f97590603cf1e2879faf9dac671,0.030000008504903218,0.02475304491870156,0.0053801684382268405,0.005365734161435207,0.00538013839352545,0.005365704277728993,13,20,15.096389355093839,4630.080147135019,0.003879448065299819
28.0,261dfa4e81a60cc0df326b90e55bbe8292efca7a92097cfa72ef7abe5935802e,f3ba0f4a84206d0d31846c5088f0b11609b604e3134291c27d9e0c5dc0cd31be,0.03000000280768971,0.02475142465547122,0.005381828635740236,0.0053673854613527534,0.005381784998111062,0.005367342057628325,13,20,15.042315368443463,4629.777093799674,0.0038666343589494148
29.0,a8887e734cb00ff250792ec1b283124863760f03f9e18824b31113fc78ec7dfb,d2e2f3602e264bdc4d40709c077a78dacc4cf12ce4ff1c4456df9b94d90d7492,0.030000005427412012,0.02474918596726096,0.005384137431879992,0.005369681879278237,0.005384070830393389,0.0053696156349381415,13,20,14.96905368784112,4629.358043521243,0.003850169506043139
