particle_id,center_x_nm,center_y_nm,center_z_nm,radius_nm,h_volume_nm3,equivalent_radius_nm
59,161.510737674999,180.177898059635,169.763399820790,9.755085060283,3985.323737582741,9.835391811723
60,178.028334927165,201.765685144938,66.985464039741,9.784398156442,4020.773662424576,9.864468092589
61,197.151655156832,70.331437064293,122.333222543459,9.813804261295,4056.548387059726,9.893638029105
62,25.057629916534,240.996641415549,31.211987213085,9.843304081336,4092.651443530424,9.922902327075
63,208.086941836353,170.491243485484,23.648374223036,9.872898329413,4129.086410516027,9.952261698200
64,146.626194225580,66.949475827313,55.227825774981,9.902587724812,4165.856913922361,9.981716860039
65,129.616370858508,210.171879046088,163.971070625945,9.932372993347,4202.966627502907,10.011268535994
66,166.766642713750,209.176355256123,217.276184211060,9.962254867450,4240.419273518454,10.040917455313
67,162.666597774853,15.241137532123,66.913242714981,9.992234086267,4278.218623441054,10.070664353132
68,47.494174350559,55.359680664710,241.069046985398,10.022311395743,4316.368498712327,10.100509970539
69,141.378556589850,130.398282595153,209.812620672528,10.052487548723,4354.872771531491,10.130455054659
70,223.963362751283,185.464316826707,103.412599707957,10.082763305046,4393.735365746937,10.160500358804
71,93.191426341158,124.572124751960,40.795586823580,10.113139431640,4432.960257759853,10.190646642627
72,5.719172260616,1.146695292454,71.439269446935,10.143616702625,4472.551477508850,10.220894672315
73,183.657232880908,108.962405704979,92.738646669753,10.174195899411,4512.513109507007,10.251245220814
74,75.051342725780,4.882257299133,88.579402333505,10.204877810800,4552.849293932874,10.281699068078
75,63.856144614968,204.065219744954,57.707845727726,10.235663233091,4593.564227770904,10.312257001336
76,26.577983425556,127.670055036397,168.811887424072,10.266552970184,4634.662165995450,10.342919815376
77,165.985884731504,60.925745576091,10.278874787944,10.297547833688,4676.147422791147,10.373688312836
78,26.271428911509,170.972529113954,55.502756177386,10.328648643030,4718.024372801488,10.404563304497
79,121.746250497006,180.533931075563,52.703965056390,10.359856225563,4760.297452396757,10.435545609573
80,169.130902784360,182.937929926125,122.271803397078,10.391171416682,4802.971160951828,10.466636055985
81,218.179433495290,24.461742388104,211.851554516254,10.422595059936,4846.050062124518,10.497835480620
82,146.031442551032,96.988339885505,159.669007598381,10.454128007143,4889.538785125323,10.529144729559
83,226.624449144610,172.060661449222,218.548569983425,10.485771118510,4933.442025970152,10.560564658286
84,116.564407280249,76.432661398189,181.166208931462,10.517525262752,4977.764548708783,10.592096131849
85,80.218715686963,179.240037149909,223.126262300052,10.549391317213,5022.511186623180,10.623740024994
86,66.481680145452,231.649358108510,233.962557212383,10.581370167990,5067.686843391696,10.655497222255
87,171.076799829113,49.611699185273,92.051877329640,10.613462710062,5113.296494217304,10.687368618004
88,149.284737914705,88.715109733928,218.835572399658,10.645669847413,5159.345186920174,10.719355116469
89,86.738329763139,30.328899912970,232.664947653327,10.677992493165,5205.838042997616,10.751457631712
90,151.114891668041,193.099159575189,17.377085320904,10.710431569709,5252.780258656726,10.783677087580
91,209.779475429565,118.444722163500,18.144378475631,10.742988008842,5300.177105827586,10.816014417639
92,116.962940368098,52.993860232821,139.000752883307,10.775662751901,5348.033933167272,10.848470565082
93,143.622489887749,6.074880678563,1.179118512094,10.808456749904,5396.356167066794,10.881046482639
94,127.716217495097,95.200145067713,110.915760724376,10.841370963691,5445.149312674913,10.913743132489
95,137.314498390935,242.381139780932,109.041914042168,10.874406364067,5494.418954953891,10.946561486182
