step,V_h_nm3,R_eff_h_nm,eta_integral_nm3,xB_center_mean,xB_shell_mean,depletion_depth,center_shell_contrast
320,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05371758,0.048570423291277746,0.0014295767087222563,0.0051471567087222544
340,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05365438,0.04856999042636851,0.0014300095736314924,0.005084389573631491
360,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053596279999999996,0.04857002872089445,0.0014299712791055533,0.005026251279105547
380,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05354396,0.04857024344377201,0.0014297565562279915,0.00497371655622799
400,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053498620000000004,0.04857032687113209,0.0014296731288679157,0.004928293128867917
420,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05345738,0.04857033507710193,0.0014296649228980746,0.004887044922898071
440,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053414460000000004,0.04857032687113209,0.0014296731288679157,0.004844133128867917
460,4.188775097386663,0.9999987977898827,4.5019586400000025,0.0533769,0.0485703241358088,0.001429675864191203,0.004806575864191198
480,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05333954,0.0485703241358088,0.001429675864191203,0.004769215864191198
500,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05330244,0.0485703241358088,0.001429675864191203,0.0047321158641912
520,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05327026,0.04857032140048552,0.0014296785995144834,0.0046999385995144805
540,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053236540000000006,0.04857031592983896,0.0014296840701610442,0.004666224070161047
560,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053207859999999996,0.04857031592983896,0.0014296840701610442,0.004637544070161037
580,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053177220000000004,0.048570318665162246,0.0014296813348377568,0.004606901334837758
600,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05314744,0.048570318665162246,0.0014296813348377568,0.004577121334837751
620,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05312142,0.048570318665162246,0.0014296813348377568,0.004551101334837757
640,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053095540000000004,0.0485703241358088,0.001429675864191203,0.004525215864191204
660,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05307072,0.0485703241358088,0.001429675864191203,0.004500395864191202
680,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053044640000000004,0.0485703241358088,0.001429675864191203,0.004474315864191204
700,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05302166,0.0485703241358088,0.001429675864191203,0.0044513358641911985
720,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05299929999999999,0.0485703241358088,0.001429675864191203,0.0044289758641911925
740,4.188775097386663,0.9999987977898827,4.5019586400000025,0.052975480000000005,0.04857032960645536,0.0014296703935446423,0.004405150393544645
760,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05295482,0.04857032960645536,0.0014296703935446423,0.004384490393544639
780,4.188775097386663,0.9999987977898827,4.5019586400000025,0.052935100000000006,0.04857032960645537,0.0014296703935446353,0.004364770393544638
800,4.188775097386663,0.9999987977898827,4.5019586400000025,0.052914300000000004,0.048570328238793724,0.001429671761206279,0.004343971761206281
820,4.188775097386663,0.9999987977898827,4.5019586400000025,0.052894779999999995,0.048570328238793724,0.001429671761206279,0.004324451761206272
840,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05287651999999999,0.048570328238793724,0.001429671761206279,0.004306191761206266
860,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05285738,0.048570328238793724,0.001429671761206279,0.004287051761206279
880,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05284176,0.048570328238793724,0.001429671761206279,0.004271431761206278
900,4.188775097386663,0.9999987977898827,4.5019586400000025,0.052822379999999995,0.048570328238793724,0.001429671761206279,0.004252051761206271
920,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05280748,0.048570328238793724,0.001429671761206279,0.004237151761206273
940,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05279012,0.048570328238793724,0.001429671761206279,0.004219791761206279
960,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05277419999999999,0.048570328238793724,0.001429671761206279,0.0042038717612062695
980,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05275794,0.048570328238793724,0.001429671761206279,0.004187611761206279
