case,gp_L_eta,step,eta_max,eta_integral,V_h_nm3,R_eff_h_nm,xB_min,xB_max,max_abs_delta_eta_vs_prev_sample,eta_rhs_chem_interface_mean,eta_rhs_elastic_interface_mean,eta_rhs_grad_interface_mean,eta_rhs_net_interface_mean,eta_evolution_drive_interface_mean,gp_minus_delta_mu_r_mean,gp_minus_delta_mu_r_min,gp_minus_delta_mu_r_max,xB_clip_count_high,xB_clip_count_low,gp_closure_error,dt_divJ_min,dt_divJ_max
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,0.0,0.0,0.0,0.0,0.03701,0.04358,4.28147,nan,nan,nan,nan,nan,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,0.39911,4.208458600000001,0.1946232898356744,0.3595026257165646,0.03701,0.04361,3.7581,0.12295459962756052,0.0,0.0,0.12295137270550678,-0.12295137270550678,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,0.39911,4.2080681900000005,0.194606089394902,0.359492034682298,0.03701,0.04361,1.0000000000010001e-05,0.12300355638496402,0.0,0.0,0.12300034390829112,-0.12300034390829112,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,0.0,0.0,0.0,0.0,0.03701,0.04361,3.7581,nan,nan,nan,nan,nan,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,0.0,0.0,0.0,0.0,0.03701,0.04361,0.0,nan,nan,nan,nan,nan,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,1.0,69.18472092,35.10489271049143,2.031232703729258,0.03701,0.04361,1.0,0.01063234126327631,0.0,0.0,0.010630217450286207,-0.010630217450286207,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,0.39911,4.2080681900000005,0.194606089394902,0.359492034682298,0.03701,0.04361,4.729900000000001,0.12300355638496402,0.0,0.0,0.12300034390829112,-0.12300034390829112,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1500,-0.0,0.0,0.0,0.0,0.03701,0.04361,3.7581,nan,nan,nan,nan,nan,0.075670213652,-0.39980518699,166.82297228,0,0,1.9563261638e-10,-4.1092512677e-05,6.1967274921e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,0.38287,4.15546972,0.19927303684263187,0.3623430842254121,0.03701,0.04363,3.16387,0.12303503394518481,0.0,0.0,0.12303177017852654,-0.12303177017852654,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,1.0,68.38303307000004,35.105178020518885,2.0312382065660777,0.03701,0.04363,4.1381000000000006,0.01062733918861268,0.0,0.0,0.010625281805069308,-0.010625281805069308,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,0.38287,4.15546972,0.19927303684263187,0.3623430842254121,0.03701,0.04363,4.1381000000000006,0.12303503394518481,0.0,0.0,0.12303177017852654,-0.12303177017852654,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1750,0.0,0.0,0.0,0.0,0.03701,0.04363,3.16387,nan,nan,nan,nan,nan,0.071025749269,-0.41260179476,167.32719896,0,0,-5.3881908821e-11,-4.437621814e-05,6.3088983658e-05
