r_nm_lo,r_nm_hi,count,eta,xB,eta_rhs_chem,eta_rhs_dw,eta_rhs_elastic,eta_rhs_grad,eta_rhs_net_explicit,eta_rhs_full_variational,eta_evolution_drive
0.6000000000000001,0.65,273,0.9733871428571429,0.04883593406593406,-5.503621465201465,0.0,0.0,0.0,-5.503621465201465,-5.503621465201465,5.503621465201465
0.65,0.7000000000000001,197,0.9595894923857868,0.04867294416243655,-12.16398456852792,0.0,0.0,0.0,-12.163984873096448,-12.163984873096448,12.163984873096448
0.7000000000000001,0.75,405,0.9354971111111111,0.04860051851851852,-29.350955160493825,0.0,0.0,0.0,-29.350955407407408,-29.350955407407408,29.350955407407408
0.75,0.8,315,0.8974674285714285,0.04859076190476191,-67.72424409523809,0.0,0.0,0.0,-67.72424409523809,-67.72424409523809,67.72424409523809
0.8,0.8500000000000001,447,0.8451677852348993,0.04859590604026845,-136.62042946308725,0.0,0.0,0.0,-136.62043085011186,-136.62043085011186,136.62043085011186
0.8500000000000001,0.9,458,0.7672399344978166,0.04859768558951965,-253.07611683406117,0.0,0.0,0.0,-253.0761194541485,-253.0761194541485,253.0761194541485
0.9,0.9500000000000001,684,0.6535026754385965,0.04859000000000001,-403.6087631871345,0.0,-4.210526315789475e-06,0.0,-403.60876779239766,-403.60876779239766,403.60876779239766
0.9500000000000001,1.0,450,0.5325377333333333,0.04858462222222223,-487.84186737777776,0.0,-1e-05,0.0,-487.84187488888887,-487.84187488888887,487.84187488888887
1.0,1.05,800,0.41570505,0.048579800000000006,-462.80198475,0.0,-1e-05,0.0,-462.80199116250003,-462.80199116250003,462.80199116250003
1.05,1.1,591,0.2984673604060914,0.04857270727580373,-346.9582207445008,0.0,-8.52791878172589e-06,0.0,-346.95822658206436,-346.95822658206436,346.95822658206436
1.1,1.1500000000000001,867,0.20986778546712806,0.04857,-218.2410166897347,0.0,0.0,0.0,-218.2410202537486,-218.2410202537486,218.2410202537486
1.1500000000000001,1.2000000000000002,729,0.14207650205761316,0.04857,-118.38894042524004,0.0,0.0,0.0,-118.38894283950617,-118.38894283950617,118.38894283950617
1.2000000000000002,1.25,1085,0.09046098617511521,0.04857,-54.22831347465438,0.0,0.0,0.0,-54.2283143686636,-54.2283143686636,54.2283143686636
1.25,1.3,915,0.05616226229508196,0.04857,-22.551672688524587,0.0,0.0,0.0,-22.551672775956288,-22.551672775956288,22.551672775956288
1.3,1.35,1263,0.03493950118764846,0.04857,-9.21036002375297,0.0,0.0,0.0,-9.210360150435472,-9.210360150435472,9.210360150435472
1.35,1.4000000000000001,1091,0.021053437213565538,0.04857,-3.4316506416131984,0.0,0.0,0.0,-3.4316506416131984,-3.4316506416131984,3.4316506416131984
1.4000000000000001,1.4500000000000002,1407,0.01277445628997868,0.04857,-1.2895265174129351,0.0,0.0,0.0,-1.2895265174129351,-1.2895265174129351,1.2895265174129351
1.4500000000000002,1.5,1154,0.007877920277296361,0.04857,-0.493026603119584,0.0,0.0,0.0,-0.493026603119584,-0.493026603119584,0.493026603119584
1.5,1.55,1468,0.0049828746594005454,0.048569999999999995,-0.19827618528610352,0.0,0.0,0.0,-0.19827618528610352,-0.19827618528610352,0.19827618528610352
1.55,1.6,1559,0.0030727453495830656,0.04857,-0.07567808210391276,0.0,0.0,0.0,-0.07567808210391276,-0.07567808210391276,0.07567808210391276
1.6,1.6500000000000001,1779,0.0018702698145025296,0.04857000000000001,-0.028439083754918496,0.0,0.0,0.0,-0.028439083754918496,-0.028439083754918496,0.028439083754918496
1.6500000000000001,1.7000000000000002,1579,0.0010828689043698545,0.048569999999999995,-0.00951563647878404,0.0,0.0,0.0,-0.00951563647878404,-0.00951563647878404,0.00951563647878404
1.7000000000000002,1.75,2143,0.0006391647223518433,0.04857000000000001,-0.003348422771815212,0.0,0.0,0.0,-0.003348422771815212,-0.003348422771815212,0.003348422771815212
1.75,1.8,1770,0.0003915762711864407,0.04857,-0.0012434463276836157,0.0,0.0,0.0,-0.0012434463276836157,-0.0012434463276836157,0.0012434463276836157
