xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_GP_raw,mu_B_minus_mu_A_raw
0.06199199199199199,-152905.43503855253,-144335.6981174174,-150351.39498393127,445.3678677760181,8569.736921135132
0.06248248248248248,-152906.47906115462,-144319.96703279373,-150351.39498393127,450.1951327029674,8586.512028360885
0.06297297297297297,-152907.5104127183,-144304.55645170328,-150351.39498393127,454.9184575682448,8602.95396101501
0.06346346346346346,-152908.52909480015,-144289.46118100575,-150351.39498393127,459.53965895914007,8619.067913794395
0.06395395395395395,-152909.5351089592,-144274.67614750867,-150351.39498393127,464.0605114797654,8634.858961450518
0.06444444444444444,-152910.52845675687,-144260.19639430125,-150351.39498393127,468.4827490338648,8650.332062455622
0.06493493493493493,-152911.5091397572,-144246.0170772279,-150351.39498393127,472.8080660593114,8665.492062529287
0.06542542542542543,-152912.47715952652,-144232.13346149417,-150351.39498393127,477.0381187160674,8680.343698032346
0.06591591591591592,-152913.4325176337,-144218.54091839917,-150351.39498393127,481.17452602967387,8694.891599234514
0.06640640640640641,-152914.37521565007,-144205.2349221897,-150351.39498393127,485.2188709923357,8709.140293460368
0.06689689689689689,-152915.30525514946,-144192.21104702953,-150351.39498393127,489.17270162378554,8723.094208119932
0.06738738738738738,-152916.22263770818,-144179.4649640798,-150351.39498393127,493.03753199303173,8736.757673628395
0.06787787787787787,-152917.127364905,-144166.99243868506,-150351.39498393127,496.81484320323216,8750.134926219936
0.06836836836836836,-152918.0194383212,-144154.78932766084,-150351.39498393127,500.5060843411775,8763.23011066037
0.06885885885885885,-152918.89885954052,-144142.85157667796,-150351.39498393127,504.11267339263577,8776.047282862564
0.06934934934934935,-152919.7656301493,-144131.1752177397,-150351.39498393127,507.63599812530447,8788.590412409598
0.06983983983983984,-152920.6197517363,-144119.756366748,-150351.39498393127,511.07741694088327,8800.863384988275
0.07033033033033033,-152921.46122589277,-144108.59122115478,-150351.39498393127,514.4382596967916,8812.870004737983
0.07082082082082082,-152922.2900542126,-144097.67605769474,-150351.39498393127,517.7198284999467,8824.613996517844
0.07131131131131131,-152923.1062382921,-144087.00723019656,-150351.39498393127,520.9233984726015,8836.099008095538
0.0718018018018018,-152923.9097797302,-144076.5811674691,-150351.39498393127,524.0502184924553,8847.328612261103
0.07229229229229228,-152924.7006801282,-144066.39437125955,-150351.39498393127,527.1015119070944,8858.306308868661
0.07278278278278277,-152925.47894109014,-144056.44341428048,-150351.39498393127,530.0784772245097,8869.035526809661
0.07327327327327327,-152926.24456422252,-144046.7249383033,-150351.39498393127,532.9822887804767,8879.51962591923
0.07376376376376376,-152926.99755113438,-144037.23565231537,-150351.39498393127,535.8140973835543,8889.761898819008
0.07425425425425425,-152927.73790343726,-144027.972330738,-150351.39498393127,538.5750309387513,8899.765572699253
0.07474474474474473,-152928.46562274543,-144018.9318117032,-150351.39498393127,541.2661950506154,8909.53381104223
0.07523523523523523,-152929.18071067552,-144010.11099538676,-150351.39498393127,543.8886736068234,8919.069715288759
0.07572572572572572,-152929.88316884695,-144001.50684239558,-150351.39498393127,546.4435293423012,8928.37632645137
0.07621621621621621,-152930.57299888151,-143993.11637220703,-150351.39498393127,548.931804385822,8937.45662667448
0.0767067067067067,-152931.25020240375,-143984.93666165826,-150351.39498393127,551.3545207884454,8946.313540745497
0.07719719719719718,-152931.91478104066,-143976.96484348373,-150351.39498393127,553.7126810355403,8954.949937556928
0.07768768768768769,-152932.56673642196,-143969.19810489914,-150351.39498393127,556.0072685423074,8963.368631522811
0.07817817817817817,-152933.20607017985,-143961.63368622973,-150351.39498393127,558.239248133963,8971.572383950115
