xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_raw,mu_B_minus_mu_A_raw,mu_A_code,mu_B_code,mu_GP0_code,minus_Delta_mu_r_code,mu_B_minus_mu_A_code,branch_label
0.061456550826345706,-152904.2808692724,-144353.24303375426,-150351.39498393127,439.977357090218,8551.037835518131,-152904.2808692724,-144353.24303375426,-148913.72033267867,-997.6972941623826,8551.037835518131,shared_regular_solution_region
0.06171895903716398,-152904.84838994293,-144344.5956899166,-150351.39498393127,442.6350389975414,8560.252700026322,-152904.84838994293,-144344.5956899166,-148913.72033267867,-995.0396122550592,8560.252700026322,shared_regular_solution_region
0.0619824876829592,-152905.41468321386,-144336.0061415776,-150351.39498393127,445.2732902900898,8569.40854163625,-152905.41468321386,-144336.0061415776,-148913.72033267867,-992.4013609625108,8569.40854163625,shared_regular_solution_region
0.0622471415477833,-152905.9797128453,-144327.4746006138,-150351.39498393127,447.89206036701216,8578.505112231505,-152905.9797128453,-144327.4746006138,-148913.72033267867,-989.7825908855884,8578.505112231505,shared_regular_solution_region
0.06251292543611546,-152906.54344218064,-144319.0012795076,-150351.39498393127,450.4912986861891,8587.542162673053,-152906.54344218064,-144319.0012795076,-148913.72033267867,-987.1833525664115,8587.542162673053,shared_regular_solution_region
0.06277984417294893,-152907.10583414257,-144310.58639134758,-150351.39498393127,453.0709547669394,8596.51944279499,-152907.10583414257,-144310.58639134758,-148913.72033267867,-984.6036964856612,8596.51944279499,shared_regular_solution_region
0.06304790260387882,-152907.6668512292,-144302.23014982825,-150351.39498393127,455.63097819237737,8605.436701400962,-152907.6668512292,-144302.23014982825,-148913.72033267867,-982.0436730602232,8605.436701400962,shared_regular_solution_region
0.06331710559519022,-152908.22645550975,-144293.9327692503,-150351.39498393127,458.1713186123234,8614.29368625945,-152908.22645550975,-144293.9327692503,-148913.72033267867,-979.5033326402772,8614.29368625945,shared_regular_solution_region
0.06358745803394607,-152908.78460862077,-144285.6944645203,-150351.39498393127,460.69192574566114,8623.090144100483,-152908.78460862077,-144285.6944645203,-148913.72033267867,-976.9827255069395,8623.090144100483,shared_regular_solution_region
0.06385896482807647,-152909.3412717618,-144277.5154511508,-150351.39498393127,463.19274938333547,8631.825820611004,-152909.3412717618,-144277.5154511508,-148913.72033267867,-974.4819018692651,8631.825820611004,shared_regular_solution_region
0.06413163090646723,-152909.8964056914,-144269.3959452602,-150351.39498393127,465.673739390797,8640.500460431183,-152909.8964056914,-144269.3959452602,-148913.72033267867,-972.0009118618036,8640.500460431183,shared_regular_solution_region
0.06440546121904984,-152910.4499707227,-144261.33616357273,-150351.39498393127,468.134845711058,8649.113807149959,-152910.4499707227,-144261.33616357273,-148913.72033267867,-969.5398055415426,8649.113807149959,shared_regular_solution_region
0.06468046073689092,-152911.00192671947,-144253.3363234182,-150351.39498393127,470.5760183672537,8657.665603301284,-152911.00192671947,-144253.3363234182,-148913.72033267867,-967.0986328853469,8657.665603301284,shared_regular_solution_region
0.06495663445228259,-152911.55223309173,-144245.39664273188,-150351.39498393127,472.9972074654652,8666.15559035985,-152911.55223309173,-144245.39664273188,-148913.72033267867,-964.6774437871354,8666.15559035985,shared_regular_solution_region
0.06523398737883337,-152912.1008487913,-144237.51734005433,-150351.39498393127,475.39836319792084,8674.583508736978,-152912.1008487913,-144237.51734005433,-148913.72033267867,-962.2762880546798,8674.583508736978,shared_regular_solution_region
0.0655125245515587,-152912.64773230776,-144229.6986345314,-150351.39498393127,477.77943584523746,8682.949097776349,-152912.64773230776,-144229.6986345314,-148913.72033267867,-959.8952154073631,8682.949097776349,shared_regular_solution_region
0.0657922510269729,-152913.1928416638,-144221.9407459136,-150351.39498393127,480.140375780029,8691.252095750213,-152913.1928416638,-144221.9407459136,-148913.72033267867,-957.5342754725716,8691.252095750213,shared_regular_solution_region
0.06607317188318036,-152913.736134411,-144214.2438945562,-150351.39498393127,482.48113346943865,8699.492239854822,-152913.736134411,-144214.2438945562,-148913.72033267867,-955.193517783162,8699.492239854822,shared_regular_solution_region
0.06635529221996836,-152914.27756762522,-144206.60830141883,-150351.39498393127,484.8016594782821,8707.669266206387,-152914.27756762522,-144206.60830141883,-148913.72033267867,-952.8729917743185,8707.669266206387,shared_regular_solution_region
0.06663861715889913,-152914.81709790227,-144199.03418806515,-150351.39498393127,487.1019044719869,8715.782909837115,-152914.81709790227,-144199.03418806515,-148913.72033267867,-950.5727467806137,8715.782909837115,shared_regular_solution_region
0.06692315184340299,-152915.3546813532,-144191.5217766626,-150351.39498393127,489.3818192197941,8723.832904690615,-152915.3546813532,-144191.5217766626,-148913.72033267867,-948.2928320328065,8723.832904690615,shared_regular_solution_region
0.06720890143887204,-152915.89027359986,-144184.07128998198,-150351.39498393127,491.6413545976684,8731.818983617879,-152915.89027359986,-144184.07128998198,-148913.72033267867,-946.0332966549322,8731.818983617879,shared_regular_solution_region
0.06749587113275332,-152916.42382977024,-144176.68295139712,-150351.39498393127,493.88046159161604,8739.740878373123,-152916.42382977024,-144176.68295139712,-148913.72033267867,-943.7941896609846,8739.740878373123,shared_regular_solution_region
0.06778406613464362,-152916.9553044938,-144169.35698488448,-150351.39498393127,496.09909130074084,8747.59831960933,-152916.9553044938,-144169.35698488448,-148913.72033267867,-941.5755599518598,8747.59831960933,shared_regular_solution_region
0.06807349167638349,-152917.4846518968,-144162.0936150226,-150351.39498393127,498.2971949404455,8755.391036874207,-152917.4846518968,-144162.0936150226,-148913.72033267867,-939.3774563121551,8755.391036874207,shared_regular_solution_region
0.06836415301215275,-152918.0118255976,-144154.89306699188,-150351.39498393127,500.4747238456621,8763.118758605735,-152918.0118255976,-144154.89306699188,-148913.72033267867,-937.1999274069385,8763.118758605735,shared_regular_solution_region
0.06865605541856537,-152918.53677870182,-144147.75556657382,-150351.39498393127,502.63162947425735,8770.781212128,-152918.53677870182,-144147.75556657382,-148913.72033267867,-935.0430217783432,8770.781212128,shared_regular_solution_region
0.06894920419476552,-152919.05946379752,-144140.68134015068,-150351.39498393127,504.7678634101467,8778.378123646835,-152919.05946379752,-144140.68134015068,-148913.72033267867,-932.9067878424539,8778.378123646835,shared_regular_solution_region
0.06924360466252395,-152919.57983295037,-144133.67061470493,-150351.39498393127,506.8833773668157,8785.909218245448,-152919.57983295037,-144133.67061470493,-148913.72033267867,-930.7912738857849,8785.909218245448,shared_regular_solution_region
0.06953926216633413,-152920.0978376988,-144126.72361781856,-150351.39498393127,508.97812319057994,8793.374219880236,-152920.0978376988,-144126.72361781856,-148913.72033267867,-928.6965280620207,8793.374219880236,shared_regular_solution_region
0.06983618207350979,-152920.61342904888,-144119.84057767258,-150351.39498393127,511.0520528641064,8800.7728513763,-152920.61342904888,-144119.84057767258,-148913.72033267867,-926.6225983884942,8800.7728513763,shared_regular_solution_region
0.07013436977428184,-152921.12655746963,-144113.02172304637,-150351.39498393127,513.1051185097895,8808.104834423255,-152921.12655746963,-144113.02172304637,-148913.72033267867,-924.5695327428111,8808.104834423255,shared_regular_solution_region
0.07043383068189676,-152921.6371728876,-144106.267283317,-150351.39498393127,515.1372723933891,8815.369889570604,-152921.6371728876,-144106.267283317,-148913.72033267867,-922.5373788592115,8815.369889570604,shared_regular_solution_region
0.07073457023271443,-152922.14522468214,-144099.57748845857,-150351.39498393127,517.1484669273777,8822.567736223573,-152922.14522468214,-144099.57748845857,-148913.72033267867,-920.5261843252229,8822.567736223573,shared_regular_solution_region
0.07103659388630693,-152922.6506616801,-144092.9525690414,-150351.39498393127,519.1386546747235,8829.69809263869,-152922.6506616801,-144092.9525690414,-148913.72033267867,-918.5359965778771,8829.69809263869,shared_regular_solution_region
0.07133990712555795,-152923.1534321507,-144086.39275623136,-150351.39498393127,521.107788352354,8836.76067591933,-152923.1534321507,-144086.39275623136,-148913.72033267867,-916.5668629002466,8836.76067591933,shared_regular_solution_region
0.07164451545676183,-152923.65348380024,-144079.89828178915,-150351.39498393127,523.0558208349103,8843.755202011089,-152923.65348380024,-144079.89828178915,-148913.72033267867,-914.6188304176903,8843.755202011089,shared_regular_solution_region
0.07195042440972402,-152924.15076376707,-144073.46937806922,-150351.39498393127,524.9827051584434,8850.681385697855,-152924.15076376707,-144073.46937806922,-148913.72033267867,-912.6919460941572,8850.681385697855,shared_regular_solution_region
0.07225763953786096,-152924.6452186161,-144067.1062780192,-150351.39498393127,526.8883945240814,8857.538940596889,-152924.6452186161,-144067.1062780192,-148913.72033267867,-910.7862567285192,8857.538940596889,shared_regular_solution_region
0.07256616641830148,-152925.13679433343,-144060.80921517895,-150351.39498393127,528.7728423019289,8864.327579154487,-152925.13679433343,-144060.80921517895,-148913.72033267867,-908.9018089506717,8864.327579154487,shared_regular_solution_region
0.07287601065198744,-152925.62543632108,-144054.57842367952,-150351.39498393127,530.6360020347347,8871.04701264156,-152925.62543632108,-144054.57842367952,-148913.72033267867,-907.0386492178659,8871.04701264156,shared_regular_solution_region
0.07318717786377577,-152926.11108939152,-144048.4141382423,-150351.39498393127,532.4778274419659,8877.696951149206,-152926.11108939152,-144048.4141382423,-148913.72033267867,-905.1968238106347,8877.696951149206,shared_regular_solution_region
0.07349967370254067,-152926.59369776203,-144042.31659417806,-150351.39498393127,534.2982724236208,8884.277103583969,-152926.59369776203,-144042.31659417806,-148913.72033267867,-903.3763788289798,8884.277103583969,shared_regular_solution_region
0.07381350384127572,-152927.0732050494,-144036.28602738588,-150351.39498393127,536.0972910640994,8890.78717766353,-152927.0732050494,-144036.28602738588,-148913.72033267867,-901.5773601885012,8890.78717766353,shared_regular_solution_region
0.07412867397719747,-152927.54955426423,-144030.3226743521,-150351.39498393127,537.8748376363073,8897.226879912138,-152927.54955426423,-144030.3226743521,-148913.72033267867,-899.7998136162932,8897.226879912138,shared_regular_solution_region
0.07444518983184821,-152928.02268780526,-144024.42677214922,-150351.39498393127,539.6308666056138,8903.595915656042,-152928.02268780526,-144024.42677214922,-148913.72033267867,-898.0437846469868,8903.595915656042,shared_regular_solution_region
0.07476305715120048,-152928.4925474537,-144018.59855843487,-150351.39498393127,541.3653326341591,8909.893989018834,-152928.4925474537,-144018.59855843487,-148913.72033267867,-896.3093186184415,8909.893989018834,shared_regular_solution_region
0.07508228170576081,-152928.95907436762,-144012.8382714506,-150351.39498393127,543.0781905846088,8916.120802917023,-152928.95907436762,-144012.8382714506,-148913.72033267867,-894.5964606679918,8916.120802917023,shared_regular_solution_region
0.0754028692906748,-152929.42220907597,-144007.14615002056,-150351.39498393127,544.7693955246941,8922.27605905541,-152929.42220907597,-144007.14615002056,-148913.72033267867,-892.9052557279065,8922.27605905541,shared_regular_solution_region
0.07572482572583245,-152929.88189147293,-144001.5224335505,-150351.39498393127,546.43890273117,8928.35945792243,-152929.88189147293,-144001.5224335505,-148913.72033267867,-891.2357485214307,8928.35945792243,shared_regular_solution_region
0.0760481568559733,-152930.33806081192,-143995.96736202636,-150351.39498393127,548.0866676942969,8934.370698785555,-152930.33806081192,-143995.96736202636,-148913.72033267867,-889.5879835583037,8934.370698785555,shared_regular_solution_region
0.07637286855079319,-152930.79065569976,-143990.48117601292,-150351.39498393127,549.7126461219159,8940.309479686839,-152930.79065569976,-143990.48117601292,-148913.72033267867,-887.9620051306847,8940.309479686839,shared_regular_solution_region
0.07669896670505018,-152931.2396140905,-143985.06411665262,-150351.39498393127,551.3167939440464,8946.175497437885,-152931.2396140905,-143985.06411665262,-148913.72033267867,-886.3578573085542,8946.175497437885,shared_regular_solution_region
0.07702645723867217,-152931.68487327962,-143979.71642566402,-150351.39498393127,552.8990673171065,8951.968447615596,-152931.68487327962,-143979.71642566402,-148913.72033267867,-884.7755839354941,8951.968447615596,shared_regular_solution_region
0.07735534609686384,-152932.12636989786,-143974.43834534052,-150351.39498393127,554.4594226284826,8957.688024557341,-152932.12636989786,-143974.43834534052,-148913.72033267867,-883.215228624118,8957.688024557341,shared_regular_solution_region
0.07768563925021478,-152932.56403990494,-143969.2301185487,-150351.39498393127,555.9978165010107,8963.333921356243,-152932.56403990494,-143969.2301185487,-148913.72033267867,-881.6768347515899,8963.333921356243,shared_regular_solution_region
0.07801734269480816,-152932.99781858356,-143964.0919887271,-150351.39498393127,557.514205797459,8968.905829856463,-152932.99781858356,-143964.0919887271,-148913.72033267867,-880.1604454551416,8968.905829856463,shared_regular_solution_region
0.07835046245232902,-152933.42764053305,-143959.02419988438,-150351.39498393127,559.0085476252425,8974.40344064866,-152933.42764053305,-143959.02419988438,-148913.72033267867,-878.6661036273581,8974.40344064866,shared_regular_solution_region
0.07868500457017419,-152933.85343966316,-143954.02699659803,-150351.39498393127,560.4807993409049,8979.826443065132,-152933.85343966316,-143954.02699659803,-148913.72033267867,-877.1938519116957,8979.826443065132,shared_regular_solution_region
0.07902097512156145,-152934.27514918754,-143949.1006240125,-150351.39498393127,561.9309185549791,8985.17452517504,-152934.27514918754,-143949.1006240125,-148913.72033267867,-875.7437326976215,8985.17452517504,shared_regular_solution_region
0.07935838020564046,-152934.69270161746,-143944.24532783768,-150351.39498393127,563.3588631367311,8990.447373779782,-152934.69270161746,-143944.24532783768,-148913.72033267867,-874.3157881158695,8990.447373779782,shared_regular_solution_region
0.07969722594760285,-152935.1060287554,-143939.46135434715,-150351.39498393127,564.7645912187581,8995.64467440825,-152935.1060287554,-143939.46135434715,-148913.72033267867,-872.9100600338425,8995.64467440825,shared_regular_solution_region
0.08003751849879374,-152935.51506168826,-143934.74895037644,-150351.39498393127,566.1480612021405,9000.766111311823,-152935.51506168826,-143934.74895037644,-148913.72033267867,-871.5265900504601,9000.766111311823,shared_regular_solution_region
0.08037926403682358,-152935.91973078117,-143930.10836332125,-150351.39498393127,567.5092317610688,9005.811367459915,-152935.91973078117,-143930.10836332125,-148913.72033267867,-870.1654194915318,9005.811367459915,shared_regular_solution_region
0.08072246876567976,-152936.31996567058,-143925.53984113564,-150351.39498393127,568.848061847908,9010.78012453494,-152936.31996567058,-143925.53984113564,-148913.72033267867,-868.8265894046926,9010.78012453494,shared_regular_solution_region
0.0810671389158399,-152936.71569525753,-143921.04363233002,-150351.39498393127,570.1645106983487,9015.672062927508,-152936.71569525753,-143921.04363233002,-148913.72033267867,-867.5101405542518,9015.672062927508,shared_regular_solution_region
0.08141328074438428,-152937.1068477012,-143916.61998596942,-150351.39498393127,571.4585378362099,9020.48686173177,-152937.1068477012,-143916.61998596942,-148913.72033267867,-866.2161134163907,9020.48686173177,shared_regular_solution_region
0.08176090053511009,-152937.4933504118,-143912.26915167138,-150351.39498393127,572.7301030786184,9025.224198740412,-152937.4933504118,-143912.26915167138,-148913.72033267867,-864.9445481739822,9025.224198740412,shared_regular_solution_region
0.08211000459864495,-152937.87513004383,-143907.991379604,-150351.39498393127,573.979166541365,9029.883750439825,-152937.87513004383,-143907.991379604,-148913.72033267867,-863.6954847112356,9029.883750439825,shared_regular_solution_region
