replicate,particle_id,lineage_member_particle_ids,step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,lineage_member_ids,lineage_group_size,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
replicate_C,P058,P058,0,0,6,29,29,1,29,9745,3591.2918871083275,9.4999364127919925,58.000000202033739,98.000000451556005,200.00000135976398
replicate_C,P005,P005,0,0,6,30,30,1,30,7649,2572.3985800144087,8.4999535149374701,57.000023305324575,170.00002755015245,37.000029000365011
replicate_C,P019,P019,0,0,6,31,31,1,31,7650,2572.4143733795431,8.4999709101933743,60.000010594015279,173.99999969556217,79.999974363281069
replicate_C,P063,P063,0,0,6,32,32,1,32,10912,4188.7426973993042,9.999962194679636,64.000011423421782,218.99996473098355,80.0000010408191
replicate_C,P004,P004,0,0,6,33,33,1,33,7649,2572.3801490165947,8.4999332144288271,62.999998913429003,191.99999988515222,2.0000018523286518
replicate_C,P010,P010,0,0,6,34,34,1,34,7650,2572.3813935933035,8.4999345852497026,68.999997897831818,17.000000730382219,2.2886234188556481e-06
replicate_C,P086,P086,0,0,6,35,35,1,35,12177,4848.9857941295631,10.499954911906613,72.999967972022731,212.00001805377278,45.000001287114365
replicate_C,P073,P073,0,0,6,36,36,1,36,10911,4188.7110040569532,9.9999369736648358,84.00000171932281,134.00000200415801,13.000002744638854
replicate_C,P048,P048,0,0,6,37,37,1,37,9745,3591.2933504511552,9.4999377031040755,90.000002563452611,36.999999719248663,195.00000165017801
replicate_C,P093,P093,0,0,6,38,38,1,38,13521,5575.193527888734,10.999943286170826,91.000008498336328,162.00000779949471,175.9999975987285
replicate_C,P025,P025,0,0,6,39,39,1,39,8631,3053.5716685716961,8.9999445992796669,94.000027883107904,146.0000084188743,63.000004601183065
replicate_C,P017,P017,0,0,6,40,40,1,40,7649,2572.3894865168554,8.4999434990715805,97.000006070149709,17.999978210767782,166.00000824935876
replicate_C,P042,P042,0,0,6,41,41,1,41,9745,3591.3084608286704,9.499951026757488,99.999984143564532,213.0000159579935,169.99999278555802
replicate_C,P035,P035,0,0,6,42,42,1,42,8631,3053.5597303047671,8.9999328705138524,101.00000075265638,80.000000237677369,29.000005593979129
