replicate,particle_id,lineage_member_particle_ids,step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
replicate_B,P020,P020,0,0,6,14,14,7649,2572.3833396668756,8.4999367287231795,32.999997904884182,213.00001016095922,136.99999844146041
replicate_B,P093,P093,0,0,6,15,15,13522,5575.187512120704,10.999939329768196,37.000000442913702,82.000001039213714,119.00000186409981
replicate_B,P048,P048,0,0,6,16,16,9745,3591.2943943004739,9.4999386235248036,36.000000765142886,106.00000014488909,58.00000302280003
replicate_B,P023,P023,0,0,6,17,17,8632,3053.5909964072662,8.9999635878719584,38.000031460184907,174.99998987646501,72.000048135389378
replicate_B,P074,P074,0,0,6,18,18,10913,4188.7315582849424,9.9999533303791921,40.000027247128607,86.999999309656459,185.00002713496602
replicate_B,P073,P073,0,0,6,19,19,10912,4188.7320484420388,9.9999537204374427,41.999983193253144,141.00000491148739,82.999967854092546
replicate_B,P080,P080,0,0,6,20,20,12178,4848.9810586762105,10.499951493867941,47.999979480432614,50.000003274993446,194.99998319780252
replicate_B,P051,P051,0,0,6,21,21,9745,3591.3255015548111,9.4999660524609393,46.999990181182355,184.0000416861906,29.999990465457419
replicate_B,P021,P021,0,0,6,22,22,7649,2572.3810354821007,8.4999341908133825,46.000002202036733,232.9999998018466,228.00000198361374
replicate_B,P060,P060,0,0,6,23,23,10911,4188.7138577929563,9.9999392446239046,48.999995896403554,131.99999821653884,200.99999623773655
replicate_B,P007,P007,0,0,6,24,24,7649,2572.38044564948,8.4999335411508348,48.999999217207581,195.00000054786037,205.00000253451802
replicate_B,P034,P034,0,0,6,25,25,8632,3053.5712792545751,8.9999442167950381,50.999998522449005,24.000011510758803,10.99996782018664
replicate_B,P033,P033,0,0,6,26,26,8631,3053.5583059123119,8.9999314711155982,51.999999068151361,21.000000907739306,145.00000320765682
replicate_B,P082,P082,0,0,6,27,27,12177,4848.9643950799618,10.499939466107151,56.999999563275217,210.00000043952889,69.000001731234931
replicate_B,P043,P043,0,0,6,28,28,9745,3591.332618802056,9.4999723280976536,58.000009869491606,83.999993357823527,231.99996383777116
replicate_B,P027,P027,0,0,6,29,29,8631,3053.5577448082136,8.9999309198572259,64.000000230259815,33.000000192329068,87.000001981477141
replicate_B,P014,P014,0,0,6,30,30,7652,2572.3969761309409,8.4999517483711937,63.000002573566988,87.999996072051161,34.99997723798888
replicate_B,P092,P092,0,0,6,31,31,13523,5575.1913655193766,10.999941864041217,69.99999774687889,101.99999716262988,84.99999719117038
replicate_B,P055,P055,0,0,6,32,32,9746,3591.3196968104048,9.499960934118187,68.999984823194552,132.99997542968242,17.000045248320433
replicate_B,P019,P019,0,0,6,33,33,7649,2572.3808775207281,8.4999340168291369,70.999999777418708,101.99999874339744,199.00000019937275
replicate_B,P011,P011,0,0,6,34,34,7649,2572.3936828322458,8.4999481210290426,74.000009829307089,52.000008064324767,33.000007453811953
replicate_B,P008,P008,0,0,6,35,35,7649,2572.387436144928,8.4999412407238122,78.999999809287601,168.00001199436193,83.999982484416535
replicate_B,P070,P070,0,0,6,36,36,10911,4188.7107059483433,9.9999367364345453,81.999999724549781,122.00000054035434,128.00000100636544
replicate_B,P028,P028,0,0,6,37,37,8631,3053.5827935381431,8.999955528989851,80.999998440640766,191.99995302512141,28.000013925602051
replicate_B,P035,P035,0,0,6,38,38,8633,3053.5957376513002,8.9999682458851655,81.000038035840333,192.00001822268834,124.00005985161738
replicate_B,P095,P095,0,0,6,39,39,13523,5575.2201606798963,10.999960801779588,83.999991956365434,195.99999839587275,166.99999441159628
replicate_B,P053,P053,0,0,6,40,40,9745,3591.3074642755146,9.499950148042748,84.999996747749421,241.99997858290797,177.99996986448167
replicate_B,P056,P056,0,0,6,41,41,9745,3591.3038837523691,9.4999469909007672,89.000000474654669,28.999989153000701,244.0000293672058
replicate_B,P042,P042,0,0,6,42,42,9745,3591.3122881217541,9.4999544014870008,93.000007718519782,54.000039764263477,66.000010269724967
replicate_B,P077,P077,0,0,6,43,43,12177,4848.9774956426272,10.499948922077531,98.000006655178623,222.99997732449006,24.000012743518241
replicate_B,P029,P029,0,0,6,44,44,8631,3053.5642535215038,8.9999373143575951,105.00000955057415,158.99998757983212,145.00000111297692
replicate_B,P072,P072,0,0,6,45,45,10912,4188.7384849572118,9.9999588424982591,107.00001297123964,218.00001492058433,125.00003967081936
