family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,-0.717135,9.1609616337e-01,0.0,1.2093388747e-02,0.0,1
-1-1-1,face,-0.667135,9.0236502418e-01,0.0,1.2143951751e-02,0.0,1
-1-1-1,face,-0.617135,8.8666474556e-01,0.0,1.2219511961e-02,0.0,1
-1-1-1,face,-0.567135,8.6880683076e-01,0.0,1.2330661484e-02,0.0,1
-1-1-1,face,-0.517135,8.4861551199e-01,0.0,1.2491259797e-02,0.0,1
-1-1-1,face,-0.467135,8.2593922402e-01,0.0,1.2718656096e-02,0.0,1
-1-1-1,face,-0.417135,8.0066407337e-01,0.0,1.3033402709e-02,0.0,1
-1-1-1,face,-0.367135,7.7272866042e-01,0.0,1.3458171808e-02,0.0,1
-1-1-1,face,-0.317135,7.4213915110e-01,0.0,1.4015631380e-02,0.0,1
-1-1-1,face,-0.267135,7.0898302804e-01,0.0,1.4725211701e-02,0.0,1
-1-1-1,face,-0.217135,6.7343958817e-01,0.0,1.5599019887e-02,0.0,1
-1-1-1,face,-0.167135,6.3578513046e-01,0.0,1.6637586314e-02,0.0,1
-1-1-1,face,-0.117135,5.9639102294e-01,0.0,1.7826507491e-02,0.0,1
-1-1-1,face,-0.067135,5.5571352080e-01,0.0,1.9135174811e-02,0.0,1
-1-1-1,face,-0.017135,5.1427528601e-01,0.0,2.0518470850e-02,0.0,1
-1-1-1,face,0.032865,4.7263985741e-01,0.0,2.1921563162e-02,0.0,1
-1-1-1,face,0.082865,4.3138155364e-01,0.0,2.3286958820e-02,0.0,1
-1-1-1,face,0.132865,3.9105414350e-01,0.0,2.4562201237e-02,0.0,1
-1-1-1,face,0.182865,3.5216185584e-01,0.0,2.5706359312e-02,0.0,1
-1-1-1,face,0.232865,3.1513585325e-01,0.0,2.6693890947e-02,0.0,1
-1-1-1,face,0.282865,2.8031829079e-01,0.0,2.7515348852e-02,0.0,1
-1-1-1,face,0.332865,2.4795479199e-01,0.0,2.8175333798e-02,0.0,1
-1-1-1,face,0.382865,2.1819491877e-01,0.0,2.8688725718e-02,0.0,1
-1-1-1,face,0.432865,1.9109924494e-01,0.0,2.9076383195e-02,0.0,1
-1-1-1,face,0.482865,1.6665109953e-01,0.0,2.9361273257e-02,0.0,1
-1-1-1,face,0.532865,1.4477092807e-01,0.0,2.9565577389e-02,0.0,1
-1-1-1,face,0.582865,1.2533143391e-01,0.0,2.9708913652e-02,0.0,1
