base_case_tag,case_dir,radius_nominal,r_eff_nm,voxel_count,mean_h,DeltaG_surf_kBT,DeltaG_chem_kBT,DeltaG_el_kBT,DeltaG_total_kBT,is_saddle_candidate,warnings
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.377nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r2p377227,2.377227,2.370957376199903,55829,0.000879266644,1515.599711158256,-1397.0690761365008,69.82690553501448,188.357733366567,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.477nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r2p477227,2.477227,2.471214883749613,63215,0.000994960982,1646.3183887606267,-1580.8961120849003,79.62222935248614,145.04439308706958,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.577nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r2p577227,2.577227,2.5711319295760426,71197,0.00112038337,1782.4660518008277,-1780.1800704057123,90.28963199807525,92.5756023690145,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.638nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r1p638315,1.638315,1.6301320559456207,18145,0.000287806672,717.0715045880227,-457.29677620193144,58.0620773496208,317.8368139931347,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.738nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r1p738315,1.738315,1.7296444286080652,21675,0.000343790656,807.7100810523659,-546.2498744013375,69.46303436257811,330.92325753456856,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.838nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r1p838315,1.838315,1.8314733499760212,25733,0.000406600987,903.7294004131766,-646.0493745216401,82.26108038884334,339.94112004682887,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.938nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r1p938315,1.938315,1.9306737550543032,30145,0.000476630363,1005.1315423277985,-757.3192343654268,96.53686757019446,344.34916726291056,1,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.038nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p038315,2.038315,2.0315047584011023,35119,0.000554271485,1111.9186470528634,-880.6834172443118,112.3711031386693,343.6063577317224,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.138nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p138315,2.138315,2.13112581910632,40543,0.000639917052,1224.092893408185,-1016.7658809608829,129.8449075032628,337.17192545347496,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.238nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p238315,2.238315,2.231776917153245,46563,0.000733959761,1341.6566502749768,-1166.1905888267538,149.0394837083607,324.50554515046736,0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.338nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r2p338315,2.338315,2.3325123462076878,53157,0.000836792313,1464.6122038990602,-1329.5815013990257,170.03636533991298,305.067056815779,0,
