step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
25431,13,13.000067096493334,14.0,16.0,15.0,15,0.5,5.037974234590651e-07,12.035559208136535
25431,13,13.000067096493334,16.0,18.0,17.0,3,0.1,1.0075948469181301e-07,4.288199965747094
25431,13,13.000067096493334,18.0,20.0,19.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,20.0,22.0,21.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,22.0,24.0,23.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,24.0,26.0,25.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,26.0,28.0,27.0,0,0.0,0.0,0.0
25431,13,13.000067096493334,28.0,30.0,29.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,0.0,2.0,1.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,2.0,4.0,3.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,4.0,6.0,5.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,6.0,8.0,7.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,8.0,10.0,9.0,1,0.034482758620689655,3.3586494897271006e-08,0.04170826668085369
29064,14,14.000076681706666,10.0,12.0,11.0,4,0.13793103448275862,1.3434597958908403e-07,0.4187667303801464
29064,14,14.000076681706666,12.0,14.0,13.0,6,0.20689655172413793,2.0151896938362603e-07,1.9503121603197728
29064,14,14.000076681706666,14.0,16.0,15.0,13,0.4482758620689655,4.3662443366452306e-07,10.607936362969202
29064,14,14.000076681706666,16.0,18.0,17.0,5,0.1724137931034483,1.67932474486355e-07,7.375652937338564
29064,14,14.000076681706666,18.0,20.0,19.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,20.0,22.0,21.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,22.0,24.0,23.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,24.0,26.0,25.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,26.0,28.0,27.0,0,0.0,0.0,0.0
29064,14,14.000076681706666,28.0,30.0,29.0,0,0.0,0.0,0.0
32697,15,15.00008626692,0.0,2.0,1.0,0,0.0,0.0,0.0
32697,15,15.00008626692,2.0,4.0,3.0,1,0.034482758620689655,3.3586494897271006e-08,0.00026664456909183704
32697,15,15.00008626692,4.0,6.0,5.0,0,0.0,0.0,0.0
32697,15,15.00008626692,6.0,8.0,7.0,1,0.034482758620689655,3.3586494897271006e-08,0.014179116074861931
32697,15,15.00008626692,8.0,10.0,9.0,2,0.06896551724137931,6.717298979454201e-08,0.050223301700458634
32697,15,15.00008626692,10.0,12.0,11.0,3,0.10344827586206896,1.0075948469181301e-07,0.45280704579803094
32697,15,15.00008626692,12.0,14.0,13.0,4,0.13793103448275862,1.3434597958908403e-07,1.3753654361168244
32697,15,15.00008626692,14.0,16.0,15.0,9,0.3103448275862069,3.02278454075439e-07,6.726646879941521
32697,15,15.00008626692,16.0,18.0,17.0,9,0.3103448275862069,3.02278454075439e-07,13.318261673205996
32697,15,15.00008626692,18.0,20.0,19.0,0,0.0,0.0,0.0
32697,15,15.00008626692,20.0,22.0,21.0,0,0.0,0.0,0.0
32697,15,15.00008626692,22.0,24.0,23.0,0,0.0,0.0,0.0
32697,15,15.00008626692,24.0,26.0,25.0,0,0.0,0.0,0.0
32697,15,15.00008626692,26.0,28.0,27.0,0,0.0,0.0,0.0
32697,15,15.00008626692,28.0,30.0,29.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,0.0,2.0,1.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,2.0,4.0,3.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,4.0,6.0,5.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,6.0,8.0,7.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,8.0,10.0,9.0,1,0.04,3.3586494897271006e-08,0.04795949261814684
36330,16,16.000095852133335,10.0,12.0,11.0,3,0.12,1.0075948469181301e-07,0.3664676056663607
36330,16,16.000095852133335,12.0,14.0,13.0,3,0.12,1.0075948469181301e-07,1.0692768576324767
36330,16,16.000095852133335,14.0,16.0,15.0,7,0.28,2.35105464280897e-07,4.859646401036705
36330,16,16.000095852133335,16.0,18.0,17.0,10,0.4,3.3586494897271e-07,14.998402249403222
36330,16,16.000095852133335,18.0,20.0,19.0,1,0.04,3.3586494897271006e-08,2.531725344557596
36330,16,16.000095852133335,20.0,22.0,21.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,22.0,24.0,23.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,24.0,26.0,25.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,26.0,28.0,27.0,0,0.0,0.0,0.0
36330,16,16.000095852133335,28.0,30.0,29.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,0.0,2.0,1.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,2.0,4.0,3.0,1,0.04,3.3586494897271006e-08,6.063551448485198e-05
39963,17,17.00010543734667,4.0,6.0,5.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,6.0,8.0,7.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,8.0,10.0,9.0,2,0.08,6.717298979454201e-08,0.07106044681571076
39963,17,17.00010543734667,10.0,12.0,11.0,2,0.08,6.717298979454201e-08,0.21677008237003265
39963,17,17.00010543734667,12.0,14.0,13.0,2,0.08,6.717298979454201e-08,0.7784182934768241
39963,17,17.00010543734667,14.0,16.0,15.0,7,0.28,2.35105464280897e-07,4.903066898886541
39963,17,17.00010543734667,16.0,18.0,17.0,9,0.36,3.02278454075439e-07,14.320507144361743
39963,17,17.00010543734667,18.0,20.0,19.0,2,0.08,6.717298979454201e-08,5.140049491168645
39963,17,17.00010543734667,20.0,22.0,21.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,22.0,24.0,23.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,24.0,26.0,25.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,26.0,28.0,27.0,0,0.0,0.0,0.0
39963,17,17.00010543734667,28.0,30.0,29.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,0.0,2.0,1.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,2.0,4.0,3.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,4.0,6.0,5.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,6.0,8.0,7.0,1,0.045454545454545456,3.3586494897271006e-08,0.017415061246509433
43596,18,18.000115022560003,8.0,10.0,9.0,1,0.045454545454545456,3.3586494897271006e-08,0.05752173152992935
43596,18,18.000115022560003,10.0,12.0,11.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,12.0,14.0,13.0,2,0.09090909090909091,6.717298979454201e-08,0.6564168611566502
43596,18,18.000115022560003,14.0,16.0,15.0,6,0.2727272727272727,2.0151896938362603e-07,3.767571872132981
43596,18,18.000115022560003,16.0,18.0,17.0,9,0.4090909090909091,3.02278454075439e-07,14.435338238202647
43596,18,18.000115022560003,18.0,20.0,19.0,3,0.13636363636363635,1.0075948469181301e-07,8.494790117424222
43596,18,18.000115022560003,20.0,22.0,21.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,22.0,24.0,23.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,24.0,26.0,25.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,26.0,28.0,27.0,0,0.0,0.0,0.0
43596,18,18.000115022560003,28.0,30.0,29.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,0.0,2.0,1.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,2.0,4.0,3.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,4.0,6.0,5.0,1,0.047619047619047616,3.3586494897271006e-08,0.0019022428468728596
47229,19,19.000124607773333,6.0,8.0,7.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,8.0,10.0,9.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,10.0,12.0,11.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,12.0,14.0,13.0,5,0.23809523809523808,1.67932474486355e-07,1.957612478647019
47229,19,19.000124607773333,14.0,16.0,15.0,3,0.14285714285714285,1.0075948469181301e-07,2.109387662299403
47229,19,19.000124607773333,16.0,18.0,17.0,8,0.38095238095238093,2.6869195917816805e-07,13.05882155323205
47229,19,19.000124607773333,18.0,20.0,19.0,4,0.19047619047619047,1.3434597958908403e-07,11.83975281627907
47229,19,19.000124607773333,20.0,22.0,21.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,22.0,24.0,23.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,24.0,26.0,25.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,26.0,28.0,27.0,0,0.0,0.0,0.0
47229,19,19.000124607773333,28.0,30.0,29.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,0.0,2.0,1.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,2.0,4.0,3.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,4.0,6.0,5.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,6.0,8.0,7.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,8.0,10.0,9.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,10.0,12.0,11.0,2,0.1,6.717298979454201e-08,0.3258785136910963
50862,20,20.000134192986668,12.0,14.0,13.0,4,0.2,1.3434597958908403e-07,1.7132133348098335
50862,20,20.000134192986668,14.0,16.0,15.0,3,0.15,1.0075948469181301e-07,2.5823030904965476
50862,20,20.000134192986668,16.0,18.0,17.0,7,0.35,2.35105464280897e-07,12.56278222834242
50862,20,20.000134192986668,18.0,20.0,19.0,4,0.2,1.3434597958908403e-07,12.968813688247756
50862,20,20.000134192986668,20.0,22.0,21.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,22.0,24.0,23.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,24.0,26.0,25.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,26.0,28.0,27.0,0,0.0,0.0,0.0
50862,20,20.000134192986668,28.0,30.0,29.0,0,0.0,0.0,0.0
54495,21,21.0001437782,0.0,2.0,1.0,0,0.0,0.0,0.0
54495,21,21.0001437782,2.0,4.0,3.0,0,0.0,0.0,0.0
54495,21,21.0001437782,4.0,6.0,5.0,0,0.0,0.0,0.0
54495,21,21.0001437782,6.0,8.0,7.0,0,0.0,0.0,0.0
54495,21,21.0001437782,8.0,10.0,9.0,0,0.0,0.0,0.0
54495,21,21.0001437782,10.0,12.0,11.0,2,0.1,6.717298979454201e-08,0.1533187686266435
54495,21,21.0001437782,12.0,14.0,13.0,5,0.25,1.67932474486355e-07,1.8136857922430802
54495,21,21.0001437782,14.0,16.0,15.0,2,0.1,6.717298979454201e-08,2.0218859297412886
54495,21,21.0001437782,16.0,18.0,17.0,5,0.25,1.67932474486355e-07,8.556180458455502
54495,21,21.0001437782,18.0,20.0,19.0,5,0.25,1.67932474486355e-07,14.703218996675155
54495,21,21.0001437782,20.0,22.0,21.0,1,0.05,3.3586494897271006e-08,4.301169523148737
54495,21,21.0001437782,22.0,24.0,23.0,0,0.0,0.0,0.0
54495,21,21.0001437782,24.0,26.0,25.0,0,0.0,0.0,0.0
54495,21,21.0001437782,26.0,28.0,27.0,0,0.0,0.0,0.0
54495,21,21.0001437782,28.0,30.0,29.0,0,0.0,0.0,0.0
58128,22,22.000153363413332,0.0,2.0,1.0,0,0.0,0.0,0.0
