step,age_h,temperature_K,matrix_xAg_6h_fixed,matrix_xAg_pf,kappa_L_no_dis_fixed_6h_matrix_W_mK,kappa_L_no_dis_pf_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK
10899,9.00002875365149,450,0.006203008315588036,0.0072702283939443989,1.6125082072460042,1.5925098350507432,0.00017872742854052603,-0.01981964476672049
10899,9.00002875365149,500,0.006203008315588036,0.0072702283939443989,1.4681830069877293,1.4514859311903414,0.0001508516432195961,-0.016546224154168288
10899,9.00002875365149,550,0.006203008315588036,0.0072702283939443989,1.3475819458073262,1.3334308376832524,0.00012892972856604068,-0.014022178395507678
10899,9.00002875365149,600,0.006203008315588036,0.0072702283939443989,1.2453024530501942,1.2331560909513579,0.00011140841381540589,-0.012034953685020833
14532,10.000038338201986,300,0.006203008315588036,0.0070666959836979968,2.2852401573300063,2.253506683195404,-0.0012318596182989694,-0.032965333752901227
14532,10.000038338201986,350,0.006203008315588036,0.0070666959836979968,2.0059062674997064,1.9811543451817766,-0.00094179186749521193,-0.025693714185424987
14532,10.000038338201986,400,0.006203008315588036,0.0070666959836979968,1.7873507157376984,1.7675053277137915,-0.00074363419926326557,-0.020589022223170161
14532,10.000038338201986,450,0.006203008315588036,0.0070666959836979968,1.6117273262504357,1.5954611200457103,-0.00060215356702797429,-0.016868359771753383
14532,10.000038338201986,500,0.006203008315588036,0.0070666959836979968,1.4675345768675991,1.4539592420327128,-0.00049757847691056512,-0.014072913311796942
14532,10.000038338201986,550,0.006203008315588036,0.0070666959836979968,1.3470349305072262,1.3355336269257967,-0.00041808557153388826,-0.011919389152963422
14532,10.000038338201986,600,0.006203008315588036,0.0070666959836979968,1.244834802909643,1.2349658457479866,-0.00035624172673576204,-0.010225198888392129
18165,11.000047922752483,300,0.006203008315588036,0.0069821933843130643,2.2845841834566984,2.2558636640590133,-0.0018878334916068162,-0.030608352889291979
18165,11.000047922752483,350,0.006203008315588036,0.0069821933843130643,2.0053899517475062,1.9829963315801031,-0.0014581076196953369,-0.023851727787098431
18165,11.000047922752483,400,0.006203008315588036,0.0069821933843130643,1.7869340956823832,1.7689847381042698,-0.0011602542545785521,-0.019109611832691886
18165,11.000047922752483,450,0.006203008315588036,0.0069821933843130643,1.6113842412122819,1.5966755773108201,-0.00094523860518180847,-0.015653902506643558
18165,11.000047922752483,500,0.006203008315588036,0.0069821933843130643,1.4672472285834492,1.4549741741235891,-0.000784926761060456,-0.013057981220920611
18165,11.000047922752483,550,0.006203008315588036,0.0069821933843130643,1.3467908086416973,1.3363945355089586,-0.00066220743706280061,-0.011058480569801521
18165,11.000047922752483,600,0.006203008315588036,0.0069821933843130643,1.2446248661725741,1.2357053605587027,-0.00056617846380468961,-0.0094856840776760265
21798,12.00005750730298,300,0.006203008315588036,0.0069855095023743262,2.2843640018064093,2.2554958398609664,-0.0021080151418959581,-0.030976177087338908
21798,12.00005750730298,350,0.006203008315588036,0.0069855095023743262,2.0052011022441816,1.9826951585910411,-0.0016469571230199875,-0.024152900776160502
21798,12.00005750730298,400,0.006203008315588036,0.0069855095023743262,1.7867724067837345,1.7687347035637817,-0.0013219431532272008,-0.019359646373179995
