step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,lineage_member_ids,lineage_group_size,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
0,0,6,22,22,1,22,9176,3315.172115881121,9.2499451437286275,33.999977452309011,129.000000643861,187.00000938963996
0,0,6,23,23,1,23,10267,3882.3404965328859,9.7499338893034881,36.999999543314239,245.99999958523983,187.00000230948802
0,0,6,24,24,1,24,8632,3053.5869189266386,8.9999595819661753,41.999998378417153,236.00000756905484,127.00006476643389
0,0,6,25,25,1,25,9745,3591.2927264528375,9.4999371528895331,44.999999938724983,16.999999736486796,87.00000161621054
0,0,6,26,26,1,26,9746,3591.2933757311143,9.4999377253948403,48.00000087134778,104.99999957195939,100.99999919102682
0,0,6,27,27,1,27,8631,3053.5598250544776,8.9999329636009477,52.999998556241891,97.000002182667643,44.000007284152055
0,0,6,28,28,1,28,7143,2352.0099925440222,8.2499284953575778,56.000002810938234,17.000000251989078,214.00000299235197
0,0,6,29,29,1,29,8104,2806.1142614115424,8.7499501858452344,57.000021670153558,170.00002702035798,37.000029217708175
0,0,6,30,30,1,30,9175,3315.159246439518,9.2499331743367197,58.000000174391808,98.000000424321442,200.00000144692825
0,0,6,31,31,1,31,7651,2572.4149440743467,8.4999715387713248,60.000008024335592,173.99999740382296,79.999970423489273
0,0,6,32,32,1,32,8104,2806.0955428356629,8.749930729881644,62.999999445371145,191.99999959342554,2.000002098502669
0,0,6,33,33,1,33,11545,4510.8213564894322,10.249963987768531,64.000013373874324,218.99996541096067,80.000000691179352
0,0,6,34,34,1,34,8104,2806.0973975512707,8.7499326576646048,68.999997539294185,17.000000195166695,2.3190043118847719e-06
0,0,6,35,35,1,35,12177,4848.9856449328054,10.49995480421679,72.99996873062706,212.00001651307716,45.00000158858434
0,0,6,36,36,1,36,10911,4188.7111432338916,9.999937084419722,84.000001941474565,134.00000211940807,13.000002903623148
0,0,6,37,37,1,37,9745,3591.2933535009211,9.4999377057932239,90.000002536151328,36.999999683403907,195.0000015939504
0,0,6,38,38,1,38,13521,5575.1936406645145,10.999943360340277,91.000008531721761,162.000007978589,175.99999760162825
0,0,6,39,39,1,39,9176,3315.17307428291,9.2499460351014626,94.000024812371919,146.00000659661424,63.000004442944608
0,0,6,40,40,1,40,7649,2572.3893585564956,8.4999433581318247,97.000005715995016,17.99997839613032,166.00000738753877
0,0,6,41,41,1,41,10268,3882.3570211449064,9.7499477223376463,99.99998390504426,213.0000151513639,169.99999313540184
0,0,6,42,42,1,42,8631,3053.55970628353,8.999932846914124,101.00000073124245,80.000000238169022,29.000005600793891
0,0,6,43,43,1,43,9745,3591.2948565713909,9.4999390311350478,102.00000210534976,47.000000455754986,50.999996547730568
0,0,6,44,44,1,44,8104,2806.1110533017886,8.7499468513633811,103.0000179974847,92.999967137596286,117.0000051540439
