case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1em4,0.0001,34,0.0034,nan,nan,0.0003011509047,nan,nan,0.028059511242,0.043486114561,nan,nan,nan,nan,nan,0.00011019074049,0,0,0.00081978109884,1.2543195719,0.16840450789,0.042050358214
gp_eta_S218b_Mratio_1em4,0.0001,35,0.0035,nan,nan,0.00030050078783,nan,nan,0.028097054699,0.044462571517,nan,nan,nan,nan,nan,0.00011646271015,0,0,0.00082074916337,1.260243964,0.1676924151,0.041872549691
gp_eta_S218b_Mratio_1em4,0.0001,36,0.0036,nan,nan,0.00029985354633,nan,nan,0.028145855567,0.045429064799,nan,nan,nan,nan,nan,0.00012208131679,0,0,0.0008213025274,1.2663766663,0.16687347392,0.041668061279
gp_eta_S218b_Mratio_1em4,0.0001,37,0.0037,nan,nan,0.00029920915126,nan,nan,0.028204442563,0.046376719244,nan,nan,nan,nan,nan,0.00012704052028,0,0,0.00082148206819,1.2719191968,0.16606347048,0.041465804612
gp_eta_S218b_Mratio_1em4,0.0001,38,0.0038,nan,nan,0.00029856757482,nan,nan,0.028268542687,0.047297076486,nan,nan,nan,nan,nan,0.00013134277393,0,0,0.00082132799288,1.276877198,0.16526971955,0.04126760617
gp_eta_S218b_Mratio_1em4,0.0001,39,0.0039,nan,nan,0.00029792879053,nan,nan,0.028326849951,0.048182298795,nan,nan,nan,nan,nan,0.00013499740274,0,0,0.0008208792872,1.2818955121,0.16441700813,0.041054685381
gp_eta_S218b_Mratio_1em4,0.0001,40,0.004,nan,nan,0.00029729277332,nan,nan,0.028373509984,0.049025344335,nan,nan,nan,nan,nan,0.0001380190429,0,0,0.00082017330136,1.2865854131,0.16356381147,0.04084164343
gp_eta_S218b_Mratio_1em4,0.0001,41,0.0041,nan,nan,0.00029665949959,nan,nan,0.028401767503,0.049820107237,nan,nan,nan,nan,nan,0.00014042623321,0,0,0.00081924544883,1.2908637255,0.16272764955,0.040632855026
gp_eta_S218b_Mratio_1em4,0.0001,42,0.0042,nan,nan,0.00029602894715,nan,nan,0.028398141743,0.050561518377,nan,nan,nan,nan,nan,0.00014224019636,0,0,0.00081812899725,1.2953454545,0.16184099181,0.040411457892
gp_eta_S218b_Mratio_1em4,0.0001,43,0.0043,nan,nan,0.00029540109527,nan,nan,0.02833884621,0.051245605313,nan,nan,nan,nan,nan,0.00014348385034,0,0,0.00081685493381,1.2995034813,0.16097719019,0.040195767896
