case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1,1.0,45,0.0045,nan,nan,2.6372681419e-138,nan,nan,0.028213698487,0.031930211901,nan,nan,nan,nan,nan,0.00022260750381,0,0,1.0356481861e-271,1.1957957575,9.0914547715e-268,1.1351749562e-264
gp_eta_S218b_Mratio_1,1.0,46,0.0046,nan,nan,1.2853481901e-145,nan,nan,0.028160838726,0.031550993997,nan,nan,nan,nan,nan,0.00021604148247,0,0,1.6990689787e-278,1.1926103808,3.6822326469e-275,4.5977001355e-272
gp_eta_S218b_Mratio_1,1.0,47,0.0047,nan,nan,2.4483355845e-145,nan,nan,0.028118841353,0.031197240965,nan,nan,nan,nan,nan,0.00020955917603,0,0,8.9055816755e-286,1.1894302849,7.854976279e-282,9.8078608728e-279
gp_eta_S218b_Mratio_1,1.0,48,0.0048,nan,nan,1.5917116779e-152,nan,nan,0.028089048578,0.030871535889,nan,nan,nan,nan,nan,0.00020309435695,0,0,1.4698766727e-292,1.1862838629,3.1955327908e-289,3.9899981761e-286
gp_eta_S218b_Mratio_1,1.0,49,0.0049,nan,nan,2.2732552861e-152,nan,nan,0.028072760188,0.030757383312,nan,nan,nan,nan,nan,0.00019657718786,0,0,7.6599626583e-300,1.1831779833,6.7918051633e-296,8.4803668084e-293
gp_eta_S218b_Mratio_1,1.0,50,0.005,nan,nan,1.6655135972e-159,nan,nan,0.028071207236,0.030904590821,nan,nan,nan,nan,nan,0.00018994300504,0,0,1.2710252373e-306,1.180154335,2.7732697968e-303,3.4627532106e-300
gp_eta_S218b_Mratio_1,1.0,51,0.0051,nan,nan,2.1109418398e-159,nan,nan,0.028085519697,0.031026779825,nan,nan,nan,nan,nan,0.00018314027704,0,0,6.590669309e-314,1.177227194,5.87827713e-310,7.3397197159e-307
gp_eta_S218b_Mratio_1,1.0,52,0.0052,nan,nan,1.6474887411e-166,nan,nan,0.02811668742,0.031122517145,nan,nan,nan,nan,nan,0.00017613682548,0,0,1.099e-320,1.1743958845,2.4081535e-317,3.0068633825e-314
gp_eta_S218b_Mratio_1,1.0,53,0.0053,nan,nan,1.9604091798e-166,nan,nan,0.028161865427,0.031191345022,nan,nan,nan,nan,nan,0.00016892365395,0,0,0.0,1.1716760798,1e-323,1.76e-320
gp_eta_S218b_Mratio_1,1.0,54,0.0054,nan,nan,1.5938026434e-173,nan,nan,0.028185530434,0.03123369115,nan,nan,nan,nan,nan,0.00016151610635,0,0,0.0,1.1690806533,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,55,0.0055,nan,nan,1.8207607801e-173,nan,nan,0.028156080235,0.031250728666,nan,nan,nan,nan,nan,0.00015395240078,0,0,0.0,1.1666195264,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,56,0.0056,nan,nan,1.518591711e-180,nan,nan,0.028059704805,0.031244208218,nan,nan,nan,nan,nan,0.00014628992895,0,0,0.0,1.164299684,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,57,0.0057,nan,nan,1.6911784748e-180,nan,nan,0.027964355161,0.03121628304,nan,nan,nan,nan,nan,0.00013859989711,0,0,0.0,1.1621253241,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,58,0.0058,nan,nan,1.4330787444e-187,nan,nan,0.027876253699,0.031169343923,nan,nan,nan,nan,nan,0.00013096102506,0,0,0.0,1.1600996884,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,59,0.0059,nan,nan,1.5709129642e-187,nan,nan,0.027796897166,0.031105875606,nan,nan,nan,nan,nan,0.00012345301299,0,0,0.0,1.158228946,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,60,0.006,nan,nan,1.3471320446e-194,nan,nan,0.027727797129,0.031028340671,nan,nan,nan,nan,nan,0.00011615043511,0,0,0.0,1.1565036967,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,61,0.0061,nan,nan,1.459276094e-194,nan,nan,0.027670464793,0.030939092539,nan,nan,nan,nan,nan,0.00010911760348,0,0,0.0,1.1549201316,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,62,0.0062,nan,nan,1.2637701032e-201,nan,nan,0.027626393506,0.030840315915,nan,nan,nan,nan,nan,0.00010240480775,0,0,0.0,1.1534733596,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,63,0.0063,nan,nan,1.3556344688e-201,nan,nan,0.027597038247,0.030733991117,nan,nan,nan,nan,nan,9.6046173501e-05,0,0,0.0,1.1521744521,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,64,0.0064,nan,nan,1.183920574e-208,nan,nan,0.027583791369,0.030621877883,nan,nan,nan,nan,nan,9.0059206438e-05,0,0,0.0,1.1510019445,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,65,0.0065,nan,nan,1.2594041138e-208,nan,nan,0.027587953953,0.030505514149,nan,nan,nan,nan,nan,8.4445934081e-05,0,0,0.0,1.1499485558,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,66,0.0066,nan,nan,1.1079030434e-215,nan,nan,0.027610702237,0.030386225734,nan,nan,nan,nan,nan,7.9195390435e-05,0,0,0.0,1.1490117088,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,67,0.0067,nan,nan,1.1700459306e-215,nan,nan,0.027653048861,0.030288291237,nan,nan,nan,nan,nan,7.4287056028e-05,0,0,0.0,1.148184497,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,68,0.0068,nan,nan,1.0341337331e-222,nan,nan,0.027715799033,0.030442226839,nan,nan,nan,nan,nan,6.9694793774e-05,0,0,0.0,1.1474617069,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,69,0.0069,nan,nan,1.0870617596e-222,nan,nan,0.027799502182,0.030578111043,nan,nan,nan,nan,nan,6.539076427e-05,0,0,0.0,1.1468399887,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,70,0.007,nan,nan,9.6313208061e-230,nan,nan,0.027904400317,0.030693453184,nan,nan,nan,nan,nan,6.1348868525e-05,0,0,0.0,1.1463137119,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,71,0.0071,nan,nan,1.0099909249e-229,nan,nan,0.028030375049,0.030786456107,nan,nan,nan,nan,nan,5.7547342304e-05,0,0,0.0,1.145881237,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,72,0.0072,nan,nan,8.9631239747e-237,nan,nan,0.028146184338,0.030856058167,nan,nan,nan,nan,nan,5.3970284145e-05,0,0,0.0,1.1455420229,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,73,0.0073,nan,nan,9.38407137e-237,nan,nan,0.028142149681,0.030901928201,nan,nan,nan,nan,nan,5.0608056439e-05,0,0,0.0,1.1452965514,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,74,0.0074,nan,nan,8.3377255213e-244,nan,nan,0.028146023942,0.030924418109,nan,nan,nan,nan,nan,4.7456672721e-05,0,0,0.0,1.1451479006,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,75,0.0075,nan,nan,8.7191571222e-244,nan,nan,0.02815728618,0.030924481667,nan,nan,nan,nan,nan,4.4516397611e-05,0,0,0.0,1.1450951127,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,76,0.0076,nan,nan,7.7541448226e-251,nan,nan,0.028175425656,0.030903570527,nan,nan,nan,nan,nan,4.1789882331e-05,0,0,0.0,1.145140083,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,77,0.0077,nan,nan,8.1015107265e-251,nan,nan,0.028200408362,0.030863518848,nan,nan,nan,nan,nan,3.928016532e-05,0,0,0.0,1.145289259,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,78,0.0078,nan,nan,7.2103968539e-258,nan,nan,0.028231514813,0.030806427001,nan,nan,nan,nan,nan,3.6988861809e-05,0,0,0.0,1.1455443563,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,79,0.0079,nan,nan,7.5277447101e-258,nan,nan,0.028268709784,0.030734552753,nan,nan,nan,nan,nan,3.4914771501e-05,0,0,0.0,1.145907714,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,80,0.008,nan,nan,6.7041450442e-265,nan,nan,0.028311501401,0.030650215754,nan,nan,nan,nan,nan,3.3053052168e-05,0,0,0.0,1.1463813947,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,81,0.0081,nan,nan,6.9947191695e-265,nan,nan,0.028360088648,0.030555718625,nan,nan,nan,nan,nan,3.1395019599e-05,0,0,0.0,1.1469666196,0.0,0.0
gp_eta_S218b_Mratio_1,1.0,82,0.0082,nan,nan,6.2329994413e-272,nan,nan,0.028412225069,0.030453285714,nan,nan,nan,nan,nan,2.9928509569e-05,0,0,0.0,1.1476635042,0.0,0.0
