N_6h_m-3,R_6h_eq_median_nm,R_6h_eq_q05_nm,R_6h_eq_q25_nm,R_6h_eq_q75_nm,R_6h_eq_q95_nm,closest_radius_nm,equivalent_mode,matrix_xAg,minimum_absolute_mismatch_W_mK,multiple_root_probability,no_root_probability,reachable_kappa_max_W_mK,reachable_kappa_min_W_mK,root_count,root_sample_count,roots_nm,sample_count,summary_kind,target_identity,target_kappa_W_mK
1.68e+24,,,,,,2.02,E2,0.0058,0.000336211009992482,,,2.404865980604876,0.0009840228793706002,1,,2.02198591,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
1.68e+24,,,,,,1.929999999999999,E2,0.0062,4.83010487859481e-05,,,2.3892154836195583,0.000984011325711727,1,,1.93033403,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
1.68e+24,,,,,,1.8199999999999992,E2,0.0066,0.00010485374186242069,,,2.3739098523910656,0.0009839997724564622,1,,1.82089242,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
2.6e+24,,,,,,1.5799999999999992,E1,0.0069,0.00016016026249987547,,,2.3626489551979275,0.0006360077503270821,1,,1.58150146,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
2.6e+24,,,,,,1.8499999999999992,E2,0.0058,0.00025474835179384314,,,2.4048659795929788,0.0006360210259298324,1,,1.84867665,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
2.6e+24,,,,,,1.7699999999999991,E2,0.0062,0.000335206969853008,,,2.389215482630149,0.0006360161983425257,1,,1.76795379,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
2.6e+24,,,,,,1.6699999999999993,E2,0.0066,0.00014744964206903077,,,2.373909851423273,0.0006360113708642458,1,,1.67111536,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
7.6e+23,,,,,,8.400000000000006,E1,0.0069,0.0005992773343096447,,,2.362648957102171,0.00217287016667425,1,,8.40424381,,,T3_TA_NAQ_3.610e+21_MIN,0.784067517601117
7.6e+23,,,,,,8.480000000000006,E2,0.0058,0.0011457048327444541,,,2.404865981616773,0.0021730249972478632,1,,8.47184824,,,T3_TA_NAQ_3.610e+21_MIN,0.784067517601117
7.6e+23,,,,,,8.440000000000005,E2,0.0062,0.0009911180717727675,,,2.3892154846089677,0.0021729686914235013,1,,8.44702984,,,T3_TA_NAQ_3.610e+21_MIN,0.784067517601117
