CV48,CV6,J_abs,J_delta,J_relative,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,classification,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,relative_change
0.0,0.0,0.38272630289673504,0.04474919491628821,0.05546936474729401,4.838726949252782,680363.7188805351,False,26.0,52.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.0315400551108187,1.2962190137314709,1.3277590688422896,-0.023754351110039384
0.0,0.0,0.38274402549519526,0.04473425698899016,0.0554568386213009,4.569971982781324,680363.7188805351,False,26.5,53.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03150474460160502,1.2962543242406845,1.3277590688422896,-0.023727757046370535
0.0,0.0,0.382762755161099,0.0447184750926629,0.055443604054030246,4.3207572453420156,680363.7188805351,False,27.0,54.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031467432699843645,1.296291636142446,1.3277590688422896,-0.023699655636531244
0.0,0.0,0.3827824329361396,0.0447018996857989,0.05542970324168854,4.0893386559310905,680363.7188805351,False,27.5,55.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03142823767368186,1.2963308311686077,1.3277590688422896,-0.023670135954021402
0.0,0.0,0.3828030037996353,0.04468457788506631,0.055415175581674206,3.87415565142433,680363.7188805351,False,28.0,56.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031387269921975935,1.2963717989203136,1.3277590688422896,-0.02363928114559472
0.0,0.0,0.3828244163371005,0.04466655374251813,0.05540005790535404,3.6738090472130973,680363.7188805351,False,28.5,57.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03134463263238585,1.2964144362099037,1.3277590688422896,-0.023607168926901862
0.0,0.0,0.38284662244234047,0.04464786849513188,0.055384384687548936,3.487041898399561,680363.7188805351,False,29.0,58.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03130042237329267,1.296458646468997,1.3277590688422896,-0.02357387202829229
0.0,0.0,0.3828695770491516,0.044628560789873796,0.05536818823542352,3.3127229116927004,680363.7188805351,False,29.5,59.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031254729627229416,1.2965043392150601,1.3277590688422896,-0.02353945859656699
0.0,0.0,0.3828932378892383,0.04460866688705827,0.055351498859115875,3.1498320318543294,680363.7188805351,False,30.0,60.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03120763927249004,1.2965514295697995,1.3277590688422896,-0.023503992557701647
0.0,0.0,0.38294252189328454,0.044567254684059074,0.055316753501423864,2.854736828574633,680363.7188805351,False,31.0,62.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031109579801720688,1.2966494890405689,1.3277590688422896,-0.023430139195995854
0.0,0.0,0.38299418444975,0.04452388081606588,0.05528035667424898,2.5953816180440334,680363.7188805351,False,32.0,64.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031006826467927073,1.2967522423743625,1.3277590688422896,-0.02335275065751409
