CV48,CV6,J_abs,J_delta,J_relative,M6_48h_nm6_per_nm3,M6_6h_nm6_per_nm3,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,Sv48_nm_inv,Sv6_nm_inv,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,mathematical_combination,matrix_xAg,refinement_reason,relative_change,scan_grid
0.5,0.0,0.35502027327031627,0.0258388828249541,0.038780219271283875,662064.3280109186,365.6165211595107,0.005467476508318023,1.328835388438545,True,199.7,4.9925,40.0,0.00023006873848888858,0.0017947159014152746,356237.61016735336,False,0.01925522457960227,1.316946646127528,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014838061082837438,local_refine
0.5,0.0,0.3550425179474786,0.025839049395517698,0.038780433500626245,665052.5777504478,368.3655060907369,0.005442909751044292,1.3189187474976913,True,200.0,4.987531172069826,40.1,0.0002297236353811553,0.0017902403006636158,356237.61016735336,False,0.0192547064592008,1.3169587806122225,1.2977040741530217,True,0.0062,maximum_positive_delta,0.014837517152566431,local_refine
0.5,0.0,0.3549858180725012,0.025839311698970725,0.03878053881814106,657103.8267778099,361.5187404628939,0.005508750691873608,1.3438976117599488,True,199.2,4.998745294855708,39.85,0.0002306462202622041,0.001801471419237415,356237.61016735336,False,0.019253890563501574,1.3169263626624506,1.297672472098949,True,0.0062,maximum_positive_delta,0.014837249750978337,local_refine
0.5,0.0,0.3550080564599797,0.02583945637636657,0.038780732272492735,660077.1427617068,364.24717231851076,0.0054839365369478334,1.333831004979521,True,199.5,4.993742177722153,39.95,0.00023029938384075706,0.0017969621040453316,356237.61016735336,False,0.019253440545787814,1.3169385416563961,1.2976851011106083,True,0.0062,maximum_positive_delta,0.01483675857055767,local_refine
0.5,0.0,0.35503030066471075,0.025839614723074396,0.03878093869868641,663059.4145098781,366.98929765539634,0.005459271192266776,1.3238646876584295,True,199.8,4.988764044943821,40.05,0.00022995358897012525,0.001792475307281173,356237.61016735336,False,0.01925294801124844,1.3169506939154378,1.2976977459041894,True,0.0062,maximum_positive_delta,0.014836234455993197,local_refine
0.5,0.0,0.35497360057642513,0.02583989865215996,0.03878106453181248,655126.5848959505,360.1596488791397,0.005525376688796666,1.3489689181632465,True,199.0,5.0,39.8,0.0002308780255086988,0.0018037345742867082,356237.61016735336,False,0.01925206485879838,1.3169182284367897,1.2976661635779914,True,0.0062,maximum_positive_delta,0.01483591496730993,local_refine
0.5,0.0,0.3549958383461538,0.025840035022672413,0.03878125010370575,658093.9378521715,362.8812468478279,0.005500462703256476,1.338851693590779,True,199.3,4.994987468671679,39.9,0.00023053049210351758,0.0017992139362559146,356237.61016735336,False,0.01925164068435281,1.316930425303093,1.29767878461874,True,0.0062,maximum_positive_delta,0.01483544380361352,local_refine
0.5,0.0,0.3550180820336764,0.025840185115780484,0.03878144869838251,661070.2375944583,365.6165211595107,0.005475698276127322,1.328835388438545,True,199.6,4.99,40.0,0.00023018400338793105,0.0017947159014152746,356237.61016735336,False,0.019251173827674606,1.3169425953756004,1.2976914215479258,True,0.0062,maximum_positive_delta,0.014834939576552969,local_refine
0.5,0.0,0.3550403314231806,0.025840348834896696,0.038781660223303316,664055.4975901251,368.3655060907369,0.005451082286844218,1.3189187474976913,True,199.9,4.985037406483791,40.1,0.0002298385546584844,0.0017902403006636158,356237.61016735336,False,0.01925066458956448,1.3169547387425862,1.2977040741530217,True,0.0062,maximum_positive_delta,0.01483440252133669,local_refine
0.5,0.0,0.35498361894801694,0.025840618781018412,0.038781772781231384,656114.7092920002,361.5187404628939,0.005517055339760831,1.3438976117599488,True,199.1,4.996235884567127,39.85,0.00023076206467217996,0.001801471419237415,356237.61016735336,False,0.019249824942495275,1.3169222970414443,1.297672472098949,True,0.0062,maximum_positive_delta,0.014834116740843875,local_refine
0.5,0.0,0.3550058620733055,0.02584076059066223,0.03878196351590894,659085.0430138736,364.24717231851076,0.0054921913321569005,1.333831004979521,True,199.4,4.991239048811013,39.95,0.00023041488002121898,0.0017969621040453316,356237.61016735336,False,0.01924938385604169,1.31693448496665,1.2976851011106083,True,0.0062,maximum_positive_delta,0.014833632473369184,local_refine
0.5,0.0,0.3550281110005441,0.025840916079406116,0.038782167231588935,662064.3280109186,366.98929765539634,0.005467476508318023,1.3238646876584295,True,199.7,4.986267166042447,40.05,0.00023006873848888858,0.001792475307281173,356237.61016735336,False,0.019248900223338694,1.316946646127528,1.2976977459041894,True,0.0062,maximum_positive_delta,0.014833115248980223,local_refine
