scenario,parameter_set,time_s,time_h,matrix_xB,g_number_density_m3,g_mean_radius_m,g_mean_radius_nm,g_mean_radius_cubed_m3,g_specific_surface_area_m_inv,g_volume_fraction,g_B_inventory_mol_m3,beta_number_density_m3,beta_mean_radius_m,beta_mean_radius_nm,beta_mean_radius_cubed_m3,beta_specific_surface_area_m_inv,beta_volume_fraction,beta_B_inventory_mol_m3,C_B_total_mol_m3,C_B_matrix_mol_m3,C_B_GP_mol_m3,C_B_beta_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,matrix_Ag_at_fraction
effective_cnt,11,3600.0,1.0,0.007830535689972986,6.121830132988449e+17,1.6749069504024716e-09,1.6749069504024716,4.711660585406581e-27,21.600702492476568,1.2082140496887412e-08,3.425191166863073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.9467579156613,3.425191166863073e-05,0.0,0.0,0.0,0.007799996614039036
effective_cnt,11,7200.0,2.0,0.00783053411129514,1.2203046416173967e+18,1.723430509727243e-09,1.723430509727243,5.2120662090834515e-27,45.81482769973773,2.664199831015956e-08,7.552795574844391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94671663961722,7.552795574844391e-05,0.0,0.0,0.0,0.007799995047650859
effective_cnt,11,14400.0,4.0,0.007830528751965602,2.369648798871569e+18,1.9064306973218777e-09,1.9064306973218776,7.663752522499791e-27,111.74937058271415,7.607011384415436e-08,0.0002156527496666586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.9465765148233,0.0002156527496666586,0.0,0.0,0.0,0.007799989730042535
effective_cnt,11,21600.0,6.0,0.007830516368522247,3.4657989680515267e+18,2.1879820631415035e-09,2.1879820631415035,1.3106958118592116e-26,224.35461497484627,1.9028032699548775e-07,0.0005394296610113614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94625273791195,0.0005394296610113614,0.0,0.0,0.0,0.007799977443001482
effective_cnt,11,28800.0,8.0,0.007830490800299753,4.54869607845647e+18,2.524821884204742e-09,2.524821884204742,2.2362846297784174e-26,407.59695116575864,4.260912428342317e-07,0.0012079349363711667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.9455842326366,0.0012079349363711667,0.0,0.0,0.0,0.007799952073821334
effective_cnt,11,57600.0,16.0,0.00783013242578554,8.827000717222092e+18,3.961008102258238e-09,3.961008102258238,1.0091563183538516e-25,2088.540189143925,3.7313004015025856e-06,0.010577941201256326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.93621422637167,0.010577941201256326,0.0,-2.842170943040401e-14,1.4884622625899578e-16,0.00779959648909688
effective_cnt,11,86400.0,24.0,0.007829115453127969,1.2899053586184663e+19,5.289447839711914e-09,5.289447839711913,2.4264573928155734e-25,5498.778476746453,1.3110496110049651e-05,0.03716721840877729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.9096249491642,0.03716721840877729,0.0,0.0,0.0,0.007798587432438033
effective_cnt,11,172800.0,48.0,0.007820080716304674,2.142401869560369e+19,9.025200531391593e-09,9.025200531391592,1.0745077837577995e-24,25524.547501105895,9.642710179395009e-05,0.2733631986781903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.67342896889477,0.2733631986781903,0.0,0.0,0.0,0.0077896229760933584
effective_cnt,12,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
effective_cnt,12,1800.0,0.5,0.007692929080850735,2.871306516985839e+23,1.0450664348758565e-09,1.0450664348758565,1.1444069784095712e-27,3944182.1055709366,0.0013764126753278347,3.6137570837266146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,187.33303508384634,3.6137570837266146,0.0,0.0,0.0,0.0076634518849181404
