parameter_set,mode,status,gamma_g_J_m2,xB_g,xeq_g_infinity,site_density_g_m3,attachment_prefactor_s_inv,D_scale_g,elastic_penalty_J_m3,N_g_6h_m3,N_g_48h_m3,matrix_Ag_6h,peak_time_h,peak_N_g_m3,failure_reason,config_sha256
23,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.004919054376430669,0.01732977430995141,0.005982141470368931,1.7064334539437095e+29,1.8403754728805763,0.001981725646529217,2693565.732755382,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.017328e+04,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
24,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0016983891690404325,0.013835484688063905,0.006256470955769123,3.5158332717677017e+28,8.17164158475993,0.007612815368212499,982778.743977578,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.128288e+04,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
25,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0028498636787141663,0.07797342278941845,0.006318609333981537,3.5861867782530923e+27,6.424894893376898,0.006570884045379912,7039611.423629361,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-8.317376e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
26,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0014283926008134583,0.04776890828545901,0.006607030246335228,2.6368937861444615e+29,0.005077611782630002,0.01138999941206771,5211548.269829874,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-5.121449e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
27,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.008388847032131306,0.09236422047261766,0.004850374220515595,5.329733274981275e+27,1.4937621760346873,0.0010181187659896724,9691704.544740526,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-2.152341e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
28,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0024500241101838276,0.11980333705517708,0.004520130246545647,1.7511659809951737e+28,0.0018924746512833516,0.005010449467685184,7380190.917375752,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-3.076454e-01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
29,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.006113316354830681,0.021758747376169313,0.00573154854894677,1.588134835201906e+27,0.008104712836701675,0.0023730200535569154,4024002.5582849123,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-5.87671829897593902e-04; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
30,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.016047864508603182,0.09511735154459929,0.006888710816144401,1.2775768312644029e+26,3.096351451553612,0.006145176564048847,5081619.84706476,215593.52995736228,890612.6916374175,0.007799997913867769,48.0,890612.6916374175,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
31,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.014090699301308617,0.045348206347800755,0.0070912633567586925,2.7754147463527382e+26,1.242952171111649,0.001244765434951912,8195477.626816679,1.742942470053553e-64,1.394353970166044e-63,0.007799997913867769,48.0,1.394353970166044e-63,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
32,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.005876526779640405,0.038346383659900216,0.006115326571337185,9.426905994536852e+26,0.934225579698277,0.007176798735049986,39261.19152070182,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-2.358034e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
33,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.009939423551104071,0.023945760879408938,0.0064916451859678564,9.21567644605425e+28,0.040455661852361297,0.0054535223055035345,7838374.999638427,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-3.12446578949591167e-03; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
34,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.007056357562571894,0.0863400910067874,0.006816481913494793,1.6782379467910377e+28,0.2902120841769575,0.024729269864079483,2147021.0528691774,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.516752e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
35,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0012344068443461901,0.05554262516356681,0.006748250586562109,1.0301888450031433e+29,0.5580807200630877,0.01075449972996148,6445188.171113143,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-2.237105e+03,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
36,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.003322675205882766,0.0748278172040388,0.0045442767980643515,5.532979470209155e+26,0.00025822545802079176,0.008294601244408263,9051926.438894551,1.6014399575731122e+24,2.8454050853892877e+23,0.004990763600112253,0.5,2.3585942988524885e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
37,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.007827976673031294,0.05801815764987499,0.006157665859442384,1.1498559889568625e+27,5.082819344593396e-05,0.02118218855508854,1829294.5021962298,1.3357585474424705e+23,1.906229490216769e+22,0.006444690586133327,0.5,3.024984657808932e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
38,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.017809386261356884,0.09302874544606614,0.004898324834821222,1.1237954316167467e+28,0.05834429252342067,0.0013580441606256119,403806.9149909971,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-6.561468e-01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
39,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.011719657195659039,0.01963316652266968,0.007041300769944488,3.6995833089698135e+28,9.730609714974356,0.001868932347845822,4481551.667122242,4.954229542153273e+17,1.2995794869058642e+18,0.007799997598815991,48.0,1.2995794869058642e+18,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
