T_K,omega_rad_s,frequency_THz,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,small_precipitate_rate_s-1,big_precipitate_rate_s-1,total_rate_s-1,dkappa_dx_W_mK
300.0,2734046577058.746,0.43513702738237603,19060317572.03956,170192307.69230768,197244599.3981177,380976682.34639347,18694301003.152946,38503032164.62932,3.0119667517042967
300.0,2813127931467.2583,0.44772321584289276,20178890339.39279,170192307.69230768,221074889.54798624,426945834.60148984,18728591183.352417,39725694554.58699,3.0905122080834895
300.0,2893122763707.3467,0.4604547888157098,21342831681.669014,170192307.69230768,247314132.88963148,477547242.92348284,18758807667.456646,40996693032.63108,3.167358245932615
300.0,2974019073771.7524,0.4733298364403546,22553077565.938374,170192307.69230768,276157271.69733524,533152438.0328101,18785478417.303104,42318058000.663925,3.2423726235184325
300.0,3055804726422.727,0.48634642733375394,23810554593.60822,170192307.69230768,307810817.5985837,594154313.2276366,18809058316.96028,43691770349.08703,3.315439748179622
300.0,3138467453012.433,0.4995026088799595,25116179196.515324,170192307.69230768,342493238.6224196,660967709.5300031,18829939742.432186,45119772194.79224,3.386459874547815
300.0,3221994853323.364,0.5127964075230597,26470856836.394363,170192307.69230768,380435341.2744144,734029968.9505452,18848461577.410625,46603976031.72226,3.4553482576675645
300.0,3306374397428.4937,0.5262258290632317,27875481208.240585,170192307.69230768,421880646.44781995,813801451.1740834,18864916897.068356,48146272510.62315,3.522034274402455
300.0,3391593427570.8945,0.539788858955892,29330933448.082615,170192307.69230768,467085757.95223767,900766008.7453513,18879559514.122433,49748537036.59494,3.5864605258023063
300.0,3477639160062.519,0.5534834626138969,30838081345.679295,170192307.69230768,516320722.4154249,995431415.6161182,18892609555.493195,51412635346.89634,3.648581932136369
300.0,3564498687201.881,0.5673075857127511,32397778562.651485,170192307.69230768,569869379.290823,1098329743.7042685,18904258214.4056,53140428207.744484,3.7083648311490665
300.0,3652158979210.3354,0.5812591544987755,34010863856.557495,170192307.69230768,628029699.6830914,1210017681.9144604,18914671801.920753,54933775347.768105,3.765786088838878
300.0,3740606886186.6777,0.5953360761001926,35678160311.41696,170192307.69230768,691114112.6865476,1331076791.8816395,18923995203.61668,56794538727.294136,3.820832230757052
300.0,3829829140079.7495,0.609536238841075,37400474575.18484,170192307.69230768,759449817.916988,1462113694.5258856,18932354831.303814,58724585226.623825,3.873498600520081
300.0,3919812356678.782,0.6238575125581198,39178596104.673645,170192307.69230768,833379082.9060757,1603760181.3533838,18939861146.043262,60725788822.66867,3.9237885509671653
300.0,4010543037621.157,0.6382977489201924,41013296418.41722,170192307.69230768,913259524.0193285,1756673244.3070102,18946610817.092793,62800032311.528656,3.971712672200802
300.0,4102007572417.2944,0.6528547817505983,42905328357.96575,170192307.69230768,999464369.5539076,1921535017.8653932,18952688571.492466,64949208624.569824,4.017288059645729
300.0,4194192240492.354,0.6675264273520296,44855425358.096214,170192307.69230768,1092382703.6708891,2099052627.0151567,18958168780.58949,67175221777.06406,4.060537624262885
300.0,4287083213244.4653,0.6823104848341427,46864300726.41842,170192307.69230768,1192419689.8186638,2289957934.6820955,18963116822.678795,69479987481.29028,4.101489446167598
300.0,4380666556119.1426,0.6972047364437113,48932646932.85024,170192307.69230768,1299996772.3094733,2495007182.207556,18967590254.915016,71865433449.9746,4.140176172127893
300.0,4474928230699.61,0.7122069478973124,51061134909.43148,170192307.69230768,1415551854.7201245,2714980516.501494,18971639822.56691,74333499410.91232,4.176634456757481
300.0,4569854096812.702,0.7273148687164904,53250413360.93851,170192307.69230768,1539539453.8004205,2950681397.5980372,18975310329.394882,76886136849.42416,4.210904446664469
300.0,4665429914650.026,0.7425262325653511,55501108086.75703,170192307.69230768,1672430827.5890849,3202935880.4884334,18978641389.312435,79525308491.8393,4.243029306364062
300.0,4761641346904.074,0.7578387575905339,57813821314.46247,170192307.69230768,1814714076.4567666,3472591765.3145027,18981668076.43827,82252987540.36432,4.273054784403632
300.0,4858473960918.957,0.773250146763512,60189131045.5522,170192307.69230768,1966894215.819299,3760517610.2788353,18984421488.068592,85071156667.41122,4.301028817872142
300.0,4955913230855.445,0.7887580882251696,62627590413.76547,170192307.69230768,2129493219.291567,4067601601.9700785,18986929232.923138,87981806775.64256,4.327001173264029
300.0,5053944539869.985,0.8043602556326027,65129727056.4208,170192307.69230768,2303050031.083305,4394750278.218161,18989215855.180115,90986935528.5947,4.351023121530578
300.0,5152553182307.377,0.8200543085080949,67696042499.19256,170192307.69230768,2488120546.4727573,4742887099.089047,18991303203.260925,94088545655.7076,4.373147145070879
300.0,5251724365906.754,0.8358378925902096,70327011554.73988,170192307.69230768,2685277559.2323713,5112950862.205619,18993210751.010334,97288643034.88052,4.393426674380645
300.0,5351443214020.575,0.8517086401869541,73023081735.59505,170192307.69230768,2895110674.9227414,5505893959.24423,18994955877.80375,100589234555.25809,4.41191585208315
300.0,5451694767846.264,0.8676641705309557,75784672681.7079,170192307.69230768,3118226189.0164495,5922680471.207512,18996554113.168625,103992325762.79279,4.428669322104546
300.0,5552463988670.18,0.8837020901366007,78612175603.03607,170192307.69230768,3355246928.862665,6364284100.9153595,18998019350.705185,107499918291.2116,4.443742041819816
300.0,5653735760123.565,0.8998199931590798,81505952737.56085,170192307.69230768,3606812058.5558906,6831685942.088508,18999364035.410473,111114007081.30803,4.457189115079767
300.0,5755494890450.152,0.9160154617552885,84466336825.10008,170192307.69230768,3873576845.8284163,7325872085.422654,19000599327.92974,114836577391.9732,4.469065644128764
300.0,5857726114785.079,0.9322860664465286,87493630597.28072,170192307.69230768,4156212390.145431,7847831063.163724,19001735248.765656,118669601607.04784,4.479426598533159
300.0,5960414097444.763,0.948629366482952,90588106284.0225,170192307.69230768,4455405311.244425,8398551134.894592,19002780805.054443,122615035842.90828,4.488326699357948
300.0,6063543434227.401,0.9650429102096978,93750005136.8766,170192307.69230768,4771857397.42655,8979017418.525564,19003744102.15848,126674816362.6795,4.495820316950988
300.0,6167098654723.761,0.9815242354346645,96979536969.55202,170192307.69230768,5106285212.976568,9590208871.839132,19004632442.017315,130850855804.07733,4.501961380817691
300.0,6271064224637.883,0.9980708697978631,100276879715.9523,170192307.69230768,5459419664.159981,10233095131.36699,19005452409.935814,135145039229.10739,4.506803300192324
300.0,6375424548117.383,1.0146803311422947,103642179006.03574,170192307.69230768,5832005523.320872,10908633216.863504,19006209951.262367,139559220005.1748,4.510398894033295
300.0,6480163970092.982,1.0313501278862993,107075547759.80042,170192307.69230768,6224800910.681583,11617764111.175156,19006910439.21647,144095215528.56592,4.512800329287857
300.0,6585266778626.916,1.0480777593973158,110577065799.68616,170192307.69230768,6638576733.525438,12361409226.874432,19007558734.95835,148754802802.7367,4.514059066385248
300.0,6690717207269.882,1.064860716367003,114146779481.67393,170192307.69230768,7074116082.526582,13140466772.617228,19008159240.850166,153539713885.36023,4.51422581102603
300.0,6796499437426.165,1.0816964811876602,117784701345.35152,170192307.69230768,7532213585.0757675,13955808033.775192,19008715947.73474,158451631219.62952,4.5133504714384385
300.0,6902597600726.576,1.0985825283298916,121490809783.20453,170192307.69230768,8013674715.538046,14808273583.472551,19009232476.95141,163492182866.85883,4.5114821203695685
300.0,7008995781408.859,1.1155163247214617,125265048729.37898,170192307.69230768,8519315062.4674835,15698669441.699516,19009712117.71639,168662937658.95468,4.508668961170309
