family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,-1.742975,9.9701127936e-01,0.0,1.2000004784e-02,0.0,1
-1-1-1,face,-1.692975,9.9647115651e-01,0.0,1.2000007868e-02,0.0,1
-1-1-1,face,-1.642975,9.9583383031e-01,0.0,1.2000012935e-02,0.0,1
-1-1-1,face,-1.592975,9.9508196802e-01,0.0,1.2000021254e-02,0.0,1
-1-1-1,face,-1.542975,9.9419520921e-01,0.0,1.2000034901e-02,0.0,1
-1-1-1,face,-1.492975,9.9314966171e-01,0.0,1.2000057271e-02,0.0,1
-1-1-1,face,-1.442975,9.9191732329e-01,0.0,1.2000093898e-02,0.0,1
-1-1-1,face,-1.392975,9.9046542223e-01,0.0,1.2000153796e-02,0.0,1
-1-1-1,face,-1.342975,9.8875567090e-01,0.0,1.2000251605e-02,0.0,1
-1-1-1,face,-1.292975,9.8674342855e-01,0.0,1.2000411046e-02,0.0,1
-1-1-1,face,-1.242975,9.8437677291e-01,0.0,1.2000670426e-02,0.0,1
-1-1-1,face,-1.192975,9.8159548599e-01,0.0,1.2001091386e-02,0.0,1
-1-1-1,face,-1.142975,9.7832996705e-01,0.0,1.2001772664e-02,0.0,1
-1-1-1,face,-1.092975,9.7450009774e-01,0.0,1.2002871617e-02,0.0,1
-1-1-1,face,-1.042975,9.7001409991e-01,0.0,1.2004637480e-02,0.0,1
-1-1-1,face,-0.992975,9.6476744830e-01,0.0,1.2007462176e-02,0.0,1
-1-1-1,face,-0.942975,9.5864192758e-01,0.0,1.2011956772e-02,0.0,1
-1-1-1,face,-0.892975,9.5150495808e-01,0.0,1.2019064492e-02,0.0,1
-1-1-1,face,-0.842975,9.4320935557e-01,0.0,1.2030224102e-02,0.0,1
-1-1-1,face,-0.792975,9.3359373711e-01,0.0,1.2047599777e-02,0.0,1
-1-1-1,face,-0.742975,9.2248383327e-01,0.0,1.2074393506e-02,0.0,1
-1-1-1,face,-0.692975,9.0969500970e-01,0.0,1.2115251113e-02,0.0,1
-1-1-1,face,-0.642975,8.9503632818e-01,0.0,1.2176759023e-02,0.0,1
-1-1-1,face,-0.592975,8.7831647198e-01,0.0,1.2268001089e-02,0.0,1
-1-1-1,face,-0.542975,8.5935180238e-01,0.0,1.2401099024e-02,0.0,1
-1-1-1,face,-0.492975,8.3797668048e-01,0.0,1.2591595636e-02,0.0,1
-1-1-1,face,-0.442975,8.1405595864e-01,0.0,1.2858466078e-02,0.0,1
-1-1-1,face,-0.392975,7.8749921086e-01,0.0,1.3223482074e-02,0.0,1
-1-1-1,face,-0.342975,7.5827584309e-01,0.0,1.3709648942e-02,0.0,1
-1-1-1,face,-0.292975,7.2642974919e-01,0.0,1.4338537279e-02,0.0,1
-1-1-1,face,-0.242975,6.9209174619e-01,0.0,1.5126580427e-02,0.0,1
-1-1-1,face,-0.192975,6.5548775759e-01,0.0,1.6080795533e-02,0.0,1
-1-1-1,face,-0.142975,6.1694075477e-01,0.0,1.7194813980e-02,0.0,1
-1-1-1,face,-0.092975,5.7686492028e-01,0.0,1.8446391272e-02,0.0,1
-1-1-1,face,-0.042975,5.3575138436e-01,0.0,1.9797497114e-02,0.0,1
-1-1-1,face,0.007025,4.9414610082e-01,0.0,2.1197551044e-02,0.0,1
-1-1-1,face,0.057025,4.5262173550e-01,0.0,2.2589470710e-02,0.0,1
-1-1-1,face,0.107025,4.1174652633e-01,0.0,2.3917268951e-02,0.0,1
-1-1-1,face,0.157025,3.7205365045e-01,0.0,2.5133385932e-02,0.0,1
-1-1-1,face,0.207025,3.3401453559e-01,0.0,2.6204038286e-02,0.0,1
-1-1-1,face,0.257025,2.9801881073e-01,0.0,2.7111561636e-02,0.0,1
-1-1-1,face,0.307025,2.6436240980e-01,0.0,2.7853686850e-02,0.0,1
-1-1-1,face,0.357025,2.3324403200e-01,0.0,2.8440511665e-02,0.0,1
-1-1-1,face,0.407025,2.0476902019e-01,0.0,2.8890333342e-02,0.0,1
-1-1-1,face,0.457025,1.7895894877e-01,0.0,2.9225459854e-02,0.0,1
-1-1-1,face,0.507025,1.5576488129e-01,0.0,2.9468770358e-02,0.0,1
-1-1-1,face,0.557025,1.3508231584e-01,0.0,2.9641363955e-02,0.0,1
-1-1-1,face,0.607025,1.1676616216e-01,0.0,2.9761282161e-02,0.0,1
-1-1-1,face,0.657025,1.0064455038e-01,0.0,2.9843084562e-02,0.0,1
-1-1-1,face,0.707025,8.6530739836e-02,0.0,2.9897990384e-02,0.0,1
-1-1-1,face,0.757025,7.4232802163e-02,0.0,2.9934324402e-02,0.0,1
-1-1-1,face,0.807025,6.3561058067e-02,0.0,2.9958073114e-02,0.0,1
-1-1-1,face,0.857025,5.4333448119e-02,0.0,2.9973430090e-02,0.0,1
-1-1-1,face,0.907025,4.6379127405e-02,0.0,2.9983268821e-02,0.0,1
-1-1-1,face,0.957025,3.9540614667e-02,0.0,2.9989521920e-02,0.0,1
-1-1-1,face,1.007025,3.3674820838e-02,0.0,2.9993468862e-02,0.0,1
-1-1-1,face,1.057025,2.8653249142e-02,0.0,2.9995945487e-02,0.0,1
-1-1-1,face,1.107025,2.4361613560e-02,0.0,2.9997491675e-02,0.0,1
-1-1-1,face,1.157025,2.0699074230e-02,0.0,2.9998452814e-02,0.0,1
-1-1-1,face,1.207025,1.7577243020e-02,0.0,2.9999048074e-02,0.0,1
-1-1-1,face,1.257025,1.4919073035e-02,0.0,2.9999415576e-02,0.0,1
-1-1-1,face,1.307025,1.2657713275e-02,0.0,2.9999641858e-02,0.0,1
-1-1-1,face,1.357025,1.0735383860e-02,0.0,2.9999780868e-02,0.0,1
-1-1-1,face,1.407025,9.1023075562e-03,0.0,2.9999866101e-02,0.0,1
-1-1-1,face,1.457025,7.7157187188e-03,0.0,2.9999918274e-02,0.0,1
-1-1-1,face,1.507025,6.5389603134e-03,0.0,2.9999950166e-02,0.0,1
