age_h,temperature_K,replicate_count,kappa_L_no_dis_fixed_matrix_W_mK_mean,kappa_L_no_dis_fixed_matrix_W_mK_sample_std,kappa_L_no_dis_fixed_matrix_W_mK_min,kappa_L_no_dis_fixed_matrix_W_mK_max,kappa_L_no_dis_time_varying_matrix_W_mK_mean,kappa_L_no_dis_time_varying_matrix_W_mK_sample_std,kappa_L_no_dis_time_varying_matrix_W_mK_min,kappa_L_no_dis_time_varying_matrix_W_mK_max,delta_kappa_PSD_W_mK_mean,delta_kappa_PSD_W_mK_sample_std,delta_kappa_PSD_W_mK_min,delta_kappa_PSD_W_mK_max,delta_kappa_PSD_plus_matrix_W_mK_mean,delta_kappa_PSD_plus_matrix_W_mK_sample_std,delta_kappa_PSD_plus_matrix_W_mK_min,delta_kappa_PSD_plus_matrix_W_mK_max,delta_kappa_matrix_given_PSD_W_mK_mean,delta_kappa_matrix_given_PSD_W_mK_sample_std,delta_kappa_matrix_given_PSD_W_mK_min,delta_kappa_matrix_given_PSD_W_mK_max
36,300,3,2.283583578963082,0.001246647783626623,2.282460875925627,2.284925176669681,2.277004613970215,0.004014888154170185,2.272461584750819,2.280076122970069,-0.002886502860734404,0.001240669802287932,-0.004001929393300685,-0.001550246534534505,-0.009465467853601103,0.004008373542308627,-0.01400122056810904,-0.006399300234146921,-0.006578964992866698,0.002962155192532985,-0.009999291174808356,-0.004849053699612416
36,350,3,2.004105072584684,0.0007795982006439775,2.003431631942672,2.004959124163891,1.998990891970922,0.00293742323018805,1.995655371930771,2.00119174183292,-0.002741479484714186,0.0007750492322469501,-0.003409252380091488,-0.001891588354337337,-0.007855660098475381,0.002932355604967046,-0.01118551239199239,-0.005658970685308518,-0.005114180613761195,0.002305482243362713,-0.007776260011900904,-0.003767382330971181
36,400,3,1.785592745946461,0.0005055972264249105,1.785179433181367,1.786156484916131,1.781503238534836,0.002234059020414627,1.778959180749727,1.783145196064043,-0.002500396890141735,0.0005020681650564142,-0.002909170732824595,-0.001939989742525405,-0.006589904301767128,0.002230006585175033,-0.009129423164464745,-0.004951278594613306,-0.004089507411625393,0.001845324030143973,-0.00622025243164015,-0.003011288852087901
36,450,3,1.610082344583708,0.0003370383084347621,1.609826998079205,1.61046436689401,1.606737581460365,0.001751689008372901,1.6047381871747,1.608002290395183,-0.002246146817735051,0.000334275169383047,-0.002497776707257149,-0.001866852706393418,-0.00559090994107773,0.001748375808446216,-0.007586587611762452,-0.004328929205220211,-0.003344763123342679,0.001510427320703867,-0.005088810904505303,-0.002462076498826793
36,500,3,1.466023235726782,0.000229638887980733,1.465867372024528,1.46628694674416,1.463236723102572,0.001407612384310406,1.461626986627508,1.464236357828754,-0.002008095413403188,0.0002274811357866699,-0.002160859974260187,-0.001746659333099032,-0.004794608037614149,0.00140485394208172,-0.006401245371280728,-0.003797248248504914,-0.002786512624210961,0.001259122830228127,-0.004240385397020541,-0.002050588915405882
36,550,3,1.345657173014045,0.0001595259978406811,1.345564412766138,1.345841376199542,1.343299885321753,0.001154185761001022,1.341977875274355,1.344107047270815,-0.001795145295627224,0.0001578737560577037,-0.001888603312622195,-0.001612868059010397,-0.004152432987919304,0.001151854127773968,-0.005471819317348858,-0.003347196987737666,-0.00235728769229208,0.001065730016295563,-0.003587854802099777,-0.001734328928727269
36,600,3,1.24358217645174,0.0001131572334509206,1.243501644481271,1.243711551980692,1.241562007575431,0.0009624898027109126,1.240458113948615,1.242225537388571,-0.001608269832704308,0.0001119520369189904,-0.001689400155107323,-0.001480545841425762,-0.003628438709013748,0.0009604934764499095,-0.004730082446221973,-0.002966560433546928,-0.00202016887630944,0.0009137242100176994,-0.003075218944642133,-0.001486014592121165
48,300,3,2.284603525095625,0.00151200442336437,2.283451724822528,2.286315723817249,2.27980764693573,0.006336564624496601,2.273226941943359,2.285867980044295,-0.001866556728190805,0.001506571552669962,-0.003011080496400087,-0.0001596993869661389,-0.006662434888085785,0.006330152588272082,-0.0132358633755687,-0.00060744315992034,-0.004795878159894978,0.004977315722811806,-0.01022478287916861,-0.0004477437729542011
48,350,3,2.004748993378455,0.0009534746456437162,2.004057986256765,2.005836787831212,2.001021013811047,0.004706320095020968,1.996108071709796,2.005489125676807,-0.002097558690942858,0.0009493659265146495,-0.00278289806599874,-0.001013924687016665,-0.005825538258351044,0.004701315723883214,-0.01073281261296777,-0.001361586841421847,-0.003727979567408187,0.003870374717816704,-0.007949914546969028,-0.0003476621544051817
48,400,3,1.786013576062148,0.0006228856710624405,1.785590419496452,1.786728831275077,1.783032589546032,0.003624510299949917,1.779232281049566,1.786451070640899,-0.00207956677445531,0.0006197192539030427,-0.002498184417739635,-0.001367643383578976,-0.00506055329057135,0.003620496031529017,-0.008856322864625676,-0.001645404017757368,-0.002980986516116039,0.003095703607548364,-0.006358138446886041,-0.0002777606341783923
48,450,3,1.610364101342113,0.0004177331236434595,1.61010405992105,1.610845952703793,1.607926017103737,0.002872175907473853,1.604903091994933,1.610618935236396,-0.001964390059330023,0.0004152713082957569,-0.002220714865412088,-0.001485266896610771,-0.004402474297705572,0.002868884366914552,-0.007421682791528994,-0.001712284364007388,-0.002438084238375549,0.002532473538592227,-0.005200967926116906,-0.0002270174673966174
