workflow_name,base_case_tag,T_C,T_K,xB,strain,n_points,rc_schur_nm,excess_peak_radius_nm,excess_peak_kBT,excess_peak_J,excess_refsub_peak_radius_nm,excess_refsub_peak_kBT,excess_refsub_peak_J,cnt_absolute_peak_radius_nm,cnt_absolute_peak_kBT,cnt_absolute_peak_J,cnt_refsub_peak_radius_nm,cnt_refsub_peak_kBT,cnt_refsub_peak_J,J_per_hat,w_phys_J_m3,V_box_m3,reference_source
cnt_no_strain_T390C_xB0p030_400cube_dx0p1,cntcon_T390_xB0p030_strictref_exx_s000,390.0,663.15,0.03,0.0,11,2.0820671854242097,2.582067,1092.4851895485779,1.000254732288001e-17,2.582067,1086.3380736318652,9.94626571975681e-18,1.882067,283.29927972275635,2.5938241351680026e-18,1.882067,277.1521638060437,2.5375425320448025e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p030_400cube_dx0p1/raw/chel_T390_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T390_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T390C_xB0p035_400cube_dx0p1,cntcon_T390_xB0p035_strictref_exx_s000,390.0,663.15,0.035,0.0,11,1.9177557730594754,2.417756,979.7282659899076,8.970170431488008e-18,2.417756,971.3605796426539,8.89355778769921e-18,1.817756,245.51544971459208,2.247883932672002e-18,1.817756,237.14776336733811,2.171271288883202e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p035_400cube_dx0p1/raw/chel_T390_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T390_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T390C_xB0p040_400cube_dx0p1,cntcon_T390_xB0p040_strictref_exx_s000,390.0,663.15,0.04,0.0,11,1.8035924528783476,2.303592,903.1583647040972,8.269113732096008e-18,2.303592,892.2300671513924,8.169056711208968e-18,1.703592,222.07573691771492,2.033275223347202e-18,1.703592,211.1474393650101,1.9332182024601617e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p040_400cube_dx0p1/raw/chel_T390_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T390_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T390C_xB0p045_400cube_dx0p1,cntcon_T390_xB0p045_strictref_exx_s000,390.0,663.15,0.045,0.0,11,1.7204020639417825,2.220402,848.5325104716809,7.768971764736007e-18,2.220402,834.7002144192583,7.642326390343687e-18,1.620402,206.8118791756613,1.893522793881602e-18,1.620402,192.97958312323854,1.7668774194892817e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p045_400cube_dx0p1/raw/chel_T390_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T390_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T390C_xB0p050_400cube_dx0p1,cntcon_T390_xB0p050_strictref_exx_s000,390.0,663.15,0.05,0.0,11,1.6578107616986597,2.157811,808.2279177227043,7.399952028672007e-18,2.157811,791.1510088005689,7.243599712634887e-18,1.557811,196.83361136573072,1.802164030464002e-18,1.557811,179.7567024435952,1.6458117144268816e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T390C_xB0p050_400cube_dx0p1/raw/chel_T390_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T390_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T400C_xB0p030_400cube_dx0p1,cntcon_T400_xB0p030_strictref_exx_s000,400.0,673.15,0.03,0.0,11,2.23810087249612,2.738101,994.1419028641885,9.239394533376009e-18,2.738101,988.0859556091445,9.18311153614849e-18,2.038101,319.2118816663222,2.966703753216003e-18,2.038101,313.1559344112783,2.910420755988483e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p030_400cube_dx0p1/raw/chel_T400_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T400_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T400C_xB0p035_400cube_dx0p1,cntcon_T400_xB0p035_strictref_exx_s000,400.0,673.15,0.035,0.0,11,2.044926103991229,2.544926,899.507572932531,8.359878331392009e-18,2.544926,891.264193000597,8.283265687603209e-18,1.844926,272.0526456588613,2.5284134184960025e-18,1.844926,263.80926572692715,2.451800774707202e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p035_400cube_dx0p1/raw/chel_T400_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T400_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T400C_xB0p040_400cube_dx0p1,cntcon_T400_xB0p040_strictref_exx_s000,400.0,673.15,0.04,0.0,11,1.9122169714135353,2.412217,833.3869126198282,7.745363576832008e-18,2.412217,822.6207649722353,7.645304736706568e-18,1.812217,243.13054797473768,2.2596161064960024e-18,1.812217,232.36440032714478,2.159557266370562e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p040_400cube_dx0p1/raw/chel_T400_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T400_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T400C_xB0p045_400cube_dx0p1,cntcon_T400_xB0p045_strictref_exx_s000,400.0,673.15,0.045,0.0,11,1.816201005313892,2.316201,785.4315057731458,7.299673758720007e-18,2.316201,771.8046958092981,7.173028384327687e-18,1.716201,224.41508265568953,2.0856775898112022e-18,1.716201,210.78827269184174,1.959032215418882e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p045_400cube_dx0p1/raw/chel_T400_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T400_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T400C_xB0p050_400cube_dx0p1,cntcon_T400_xB0p050_strictref_exx_s000,400.0,673.15,0.05,0.0,11,1.7442690036319517,2.244269,749.6955991539049,6.967550005248008e-18,2.244269,732.8723767640748,6.8111976892108874e-18,1.644269,212.01155830413745,1.970401234636802e-18,1.644269,195.1883359143073,1.8140489185996816e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p050_400cube_dx0p1/raw/chel_T400_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
