T_C,xB,rc_schur_nm,rc_fit_nm,delta_fit_minus_schur_nm,F_CNT_fit_hat_excess,DeltaG_CNT_refsub_kBT,DeltaG_CNT_refsub_J,peak_radius_physical_nm,fit_method,status,fitted_table
400.0,0.045,1.816201005313892,1.6904681844526943,-0.12573282086119764,9.116565665744957e-06,210.78827269184174,1.959032215418882e-18,1.716201,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
400.0,0.05,1.7442690036319517,1.6272253276446536,-0.11704367598729815,8.438702506804486e-06,195.1883359143073,1.8140489185996816e-18,1.644269,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T400C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
410.0,0.03,2.41941606326159,2.210026225567085,-0.20938983769450514,1.566111114162459e-05,357.0415225654063,3.3675812375654432e-18,2.219416,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
410.0,0.035,2.1901601281585044,2.014804611396465,-0.17535551676203953,1.299829595454958e-05,296.2178880926777,2.7938985779712023e-18,1.99016,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
410.0,0.04,2.0347642147247207,1.8809451462914317,-0.15381906843328896,1.131410177132437e-05,257.48917431624545,2.4286130813952022e-18,1.834764,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
410.0,0.045,1.9232980133221196,1.7841418660306934,-0.13915614729142622,1.016803451758869e-05,231.47949200183976,2.183292264007682e-18,1.823298,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
410.0,0.05,1.8402413775046675,1.7115768144477435,-0.1286645630569241,9.348579590573365e-06,212.9566978605745,2.0085870544588817e-18,1.740241,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T410C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
420.0,0.03,2.6326988029013334,2.389357888352289,-0.24334091454904438,1.8322432522187037e-05,411.29708644080284,3.936100179271684e-18,2.432699,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
420.0,0.035,2.357600826765117,2.1576877149050744,-0.19991311186004257,1.4923216777819819e-05,335.32905627185596,3.209088520243203e-18,2.157601,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
420.0,0.04,2.1740942494161857,2.0010624376727013,-0.17303181174348436,1.2820106483476043e-05,287.91464356926525,2.755334082170883e-18,1.974094,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T420C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
