particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,overlap_parent_count,age_h,step,source_phi,canonical_particle_id
15,35615,18852.608307866598,16.510527354202658,110.67767178066097,241.57542911629216,138.11525685648792,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,51
13,2404,455.51663451403033,4.773151406577184,100.53950613043749,186.04618159888236,224.5386883584111,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,48
16,22726,10844.272081646559,13.731055800646255,126.90721131411843,182.48264804789235,170.283114893992,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,55
17,15382,6587.766729481798,11.629200753314567,139.11194773713524,54.20775503436666,114.4194664311513,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,64
18,25457,12425.846368926328,14.36853389552496,157.84698054847797,97.15857730797643,145.94541413762497,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,68
19,48333,27223.00728627027,18.661612332861306,168.4742611561119,128.99365546291625,27.41505497591096,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,66
20,16905,7458.735064275531,12.120639210166994,165.00878112399423,210.74147446381474,129.7137419318882,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,74
21,20097,9292.575649162454,13.042149235277055,183.47383447401634,73.99624159226885,116.95743043481205,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,84
22,45199,25181.837985233047,18.183030702476227,210.32166845983213,25.21759171260187,218.41153747278187,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,89
23,29846,15228.328197118492,15.376395447612632,217.10001469062075,171.97667245046853,227.48966572317894,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,90
24,25060,12276.305559940805,14.310660981108,223.21733023870382,179.04102252722177,81.36306390747619,1,15.0,32697,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,24
1,39292,21236.875117586915,17.17911029396642,233.73234247097903,231.50725230458852,65.7828220076264,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,1
3,24433,11892.86559041158,14.160088481368597,233.95211752556074,30.513472400977257,87.39964775051878,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,5
5,54717,31514.714035210312,19.59483393127404,219.88950587212472,88.725882962851,149.39895336558848,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,11
6,42429,23281.589406496907,17.713647805052414,18.829424808583518,118.3357205934792,209.68280856419693,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,10
7,39070,21188.79339897426,17.16613560878661,18.022122932112946,194.52647751116862,151.59473806951453,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,21
9,41136,22442.278394941804,17.498175930912378,57.36501679046009,170.20449319437756,27.093317794709627,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,28
10,19843,9137.143257057664,12.969023431972095,60.583313996024295,206.43526963605348,64.07478486552787,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,31
11,30467,15599.70326585653,15.500388236257914,69.64361568934363,1.6117570624014073,6.884171007569487,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,37
12,46177,25759.39255673336,18.320992745127278,91.02659759806355,50.402418007679195,172.43537000359646,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,43
14,71668,38097.23750258787,20.8738051594973,128.07855203818215,95.4585899054908,134.5119582149638,2,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,46
15,37174,19854.20444962804,16.797885893474177,110.99739005289806,241.47326054759532,138.06578694182895,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,51
16,21145,9925.330005931397,13.331697435172584,126.98374883124671,182.56310670340787,170.24831877269935,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,55
17,10376,3925.288154463461,9.785754393302895,139.28256829189684,54.43727471408179,113.98706875787637,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,64
19,50819,28888.602190639354,19.03469722305275,168.54413440566753,129.20333563020625,27.429548690354753,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,66
20,13451,5545.746606954388,10.980542678875329,165.06871134327452,210.88168749465012,129.63013042180336,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,74
21,18416,8287.280937804768,12.55377914910183,183.1686460406842,73.63050828245291,117.07031777422645,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,84
22,46902,26292.800852821187,18.44658939675094,210.1544927238715,25.137213698144976,218.38611030738005,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,89
23,28683,14489.261063772796,15.123508081439615,216.86966058516865,171.8792382649501,227.52790885300828,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,90
24,23087,11070.671196154919,13.8259542129105,223.1928077816167,179.17089393718499,81.54068614829514,1,16.0,36330,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_36330.vtk,24
1,41952,22988.344036714312,17.638962065917628,233.7052302596507,231.49915585815017,65.82852011742368,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,1
3,22442,10675.623543360196,13.659502453659877,234.0834228961674,30.41291151628909,87.51299763445392,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,5
5,58791,34314.38177944382,20.158700066148082,219.60481250505114,88.6539399662344,149.2509933616804,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,11
6,43652,24106.218166253224,17.92036390187485,18.833164914272665,118.47523707506542,209.63461865431464,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,10
7,39337,21350.15817694543,17.20960210030164,17.91510577491578,194.59666821841634,151.55234668201194,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,21
9,43343,23882.21941011042,17.86468480809898,57.41063780614903,170.29034225029218,27.21220267853934,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,28
10,16970,7493.790847636958,12.139598393023386,60.76897695488798,206.52223373578542,64.01059126266831,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,31
11,29636,15101.620514707092,15.333630057340804,69.49620849487157,1.5457202156977021,6.907688398657941,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,37
12,48580,27352.944105589933,18.691256165312474,91.12455587705065,50.33520341399301,172.39572644803195,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,43
14,75019,40541.99746104345,21.311082529480366,127.05766988677213,95.0442984863685,133.88821131486137,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,46
15,39105,21134.444594273442,17.151446117884454,111.43961484102415,241.3657953506856,138.0041694318215,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,51
16,18904,8616.531534144335,12.717877109177445,127.1322672869176,182.69820026981415,170.21633225305638,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,55
19,53452,30697.219439709726,19.42391683013569,168.63391401600637,129.38860215870878,27.464160896311785,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,66
20,7866,2703.7208169720184,8.642201974083422,165.09743836070618,210.99500343709644,129.49412407593388,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,74
21,16288,7090.878739869751,11.91801194706158,182.676074216124,73.27725636688376,117.12637104355308,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,84
22,48434,27319.746397084364,18.683691372372852,209.94539740071644,25.064676378410763,218.37884949000286,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,89
23,27129,13524.085624683008,14.779954626749735,216.64607102391508,171.77194799687516,227.57968707942496,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,90
24,20496,9532.139546475439,13.153275826300519,223.13623076254555,179.28506331208243,81.73443909420298,1,17.0,39963,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,24
