case_id,case_label,family,particle_count,radius_nm,integer_count,profile_h_volume_nm3
012,BIMODAL_N512_C,BIMODAL,512,10.0,0,4188.790204894687
012,BIMODAL_N512_C,BIMODAL,512,10.25,79,4510.868901748711
012,BIMODAL_N512_C,BIMODAL,512,10.5,76,4849.048260952037
012,BIMODAL_N512_C,BIMODAL,512,10.75,3,5203.720981583941
012,BIMODAL_N512_C,BIMODAL,512,11.0,2,5575.279762734301
012,BIMODAL_N512_C,BIMODAL,512,11.25,0,5964.117303480982
012,BIMODAL_N512_C,BIMODAL,512,11.5,0,6370.626302904078
013,NARROW_N256_A,NARROW,256,8.0,0,2144.6605848700437
013,NARROW_N256_A,NARROW,256,8.25,0,2352.07114986578
013,NARROW_N256_A,NARROW,256,8.5,0,2572.4407845623964
013,NARROW_N256_A,NARROW,256,8.75,0,2806.1621880415323
013,NARROW_N256_A,NARROW,256,9.0,0,3053.6280593591555
013,NARROW_N256_A,NARROW,256,9.25,0,3315.231097606091
013,NARROW_N256_A,NARROW,256,9.5,0,3591.3640018963897
013,NARROW_N256_A,NARROW,256,9.75,0,3882.4194713057354
013,NARROW_N256_A,NARROW,256,10.0,0,4188.790204894687
013,NARROW_N256_A,NARROW,256,10.25,0,4510.868901748711
013,NARROW_N256_A,NARROW,256,10.5,4,4849.048260952037
013,NARROW_N256_A,NARROW,256,10.75,1,5203.720981583941
013,NARROW_N256_A,NARROW,256,11.0,8,5575.279762734301
013,NARROW_N256_A,NARROW,256,11.25,211,5964.117303480982
013,NARROW_N256_A,NARROW,256,11.5,32,6370.626302904078
014,NARROW_N256_B,NARROW,256,8.0,0,2144.6605848700437
014,NARROW_N256_B,NARROW,256,8.25,0,2352.07114986578
014,NARROW_N256_B,NARROW,256,8.5,0,2572.4407845623964
014,NARROW_N256_B,NARROW,256,8.75,0,2806.1621880415323
014,NARROW_N256_B,NARROW,256,9.0,0,3053.6280593591555
014,NARROW_N256_B,NARROW,256,9.25,0,3315.231097606091
014,NARROW_N256_B,NARROW,256,9.5,0,3591.3640018963897
014,NARROW_N256_B,NARROW,256,9.75,0,3882.4194713057354
014,NARROW_N256_B,NARROW,256,10.0,0,4188.790204894687
014,NARROW_N256_B,NARROW,256,10.25,0,4510.868901748711
014,NARROW_N256_B,NARROW,256,10.5,4,4849.048260952037
014,NARROW_N256_B,NARROW,256,10.75,1,5203.720981583941
014,NARROW_N256_B,NARROW,256,11.0,8,5575.279762734301
014,NARROW_N256_B,NARROW,256,11.25,211,5964.117303480982
014,NARROW_N256_B,NARROW,256,11.5,32,6370.626302904078
015,NARROW_N256_C,NARROW,256,8.0,0,2144.6605848700437
015,NARROW_N256_C,NARROW,256,8.25,0,2352.07114986578
015,NARROW_N256_C,NARROW,256,8.5,0,2572.4407845623964
015,NARROW_N256_C,NARROW,256,8.75,0,2806.1621880415323
015,NARROW_N256_C,NARROW,256,9.0,0,3053.6280593591555
015,NARROW_N256_C,NARROW,256,9.25,0,3315.231097606091
015,NARROW_N256_C,NARROW,256,9.5,0,3591.3640018963897
015,NARROW_N256_C,NARROW,256,9.75,0,3882.4194713057354
015,NARROW_N256_C,NARROW,256,10.0,0,4188.790204894687
015,NARROW_N256_C,NARROW,256,10.25,0,4510.868901748711
015,NARROW_N256_C,NARROW,256,10.5,4,4849.048260952037
015,NARROW_N256_C,NARROW,256,10.75,1,5203.720981583941
015,NARROW_N256_C,NARROW,256,11.0,8,5575.279762734301
015,NARROW_N256_C,NARROW,256,11.25,211,5964.117303480982
015,NARROW_N256_C,NARROW,256,11.5,32,6370.626302904078
016,NARROW_N640_A,NARROW,640,8.0,1,2144.6605848700437
016,NARROW_N640_A,NARROW,640,8.25,527,2352.07114986578
016,NARROW_N640_A,NARROW,640,8.5,108,2572.4407845623964
016,NARROW_N640_A,NARROW,640,8.75,2,2806.1621880415323
016,NARROW_N640_A,NARROW,640,9.0,1,3053.6280593591555
016,NARROW_N640_A,NARROW,640,9.25,1,3315.231097606091
016,NARROW_N640_A,NARROW,640,9.5,0,3591.3640018963897
016,NARROW_N640_A,NARROW,640,9.75,0,3882.4194713057354
016,NARROW_N640_A,NARROW,640,10.0,0,4188.790204894687
016,NARROW_N640_A,NARROW,640,10.25,0,4510.868901748711
016,NARROW_N640_A,NARROW,640,10.5,0,4849.048260952037
