step,nominal_age_h,observable,sample_count,mean,sample_std,minimum,maximum,range,coefficient_of_variation
108989,36,mean_radius_nm,3,22.675543912730692,1.7312824698626643,20.698668111447912,23.921490143685286,3.2228220322373744,0.07635020692450395
108989,36,Sv_nm_inv,3,0.0029305073915817117,0.00035847698880668707,0.0026042301292034716,0.0033142431953391365,0.0007100130661356649,0.1223259118323543
108989,36,M6_nm3,3,100.93274367849091,43.80759932003346,60.200735237460016,147.27534071743497,87.07460547997496,0.4340276279378404
108989,36,far_field_matrix_xAg,3,0.006377065840961313,7.930082165921982e-05,0.006330617123670411,0.006468631313237943,0.00013801418956753235,0.012435314866886428
108989,36,mass_relative_error,3,1.6443649098143957e-13,7.216084901535542e-14,8.119730558634366e-14,2.093144025227412e-13,1.2811709693639757e-13,0.43883719838986607
152585,48,particle_count,3,5.333333333333333,2.516611478423583,3.0,8.0,5.0,0.47186465220442186
152585,48,number_density_m3,3,3.5825594557089074e+20,1.6904831715697466e+20,2.01518969383626e+20,5.373839183563361e+20,3.358649489727101e+20,0.47186465220442186
152585,48,beta_volume_fraction,3,0.02380260332370261,0.00012927523511354876,0.023661711537232476,0.023915760044518092,0.00025404850728561607,0.005431138491679883
152585,48,mean_radius_nm,3,24.923827334377147,4.854582974034974,20.10153948446456,29.810073433230375,9.708533948765815,0.1947767856399448
152585,48,Sv_nm_inv,3,0.00267423629467941,0.0003593781635352135,0.0023016737371837417,0.003018791134043532,0.0007171173968597904,0.13438534367745394
