step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_total,dxB,deta,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
24,2.4000000000e-03,1.0000000000e-04,539184,58,48,48,-2.7838311260e+03,4.8326487255e-01,4.9761050404e-01,3.0356592914e-02,-3.4639146590e+00,4.6864506273e-01,1.8708013857e+00,-2.7838311260e+03,3.2794321884e-02,-2.7837983317e+03,6.1033556948e-04,1.2633497834e-04,-1.1818712101e+00,-1.1794817687e+00,2.3894413822e-03,interface,1,0,1,437711,47,47,47,9.9996941452e-01
25,2.5000000000e-03,1.0000000000e-04,447984,48,58,48,-2.8074882940e+03,4.8339120753e-01,4.9753446629e-01,3.0966928484e-02,-3.4433789289e+00,4.6888141437e-01,1.8708645030e+00,-2.8074882940e+03,3.2547303634e-02,-2.8074557467e+03,5.6085533407e-04,1.2741736299e-04,-1.1918398145e+00,-1.1893743408e+00,2.4654737583e-03,interface,1,0,1,437711,47,47,47,9.9996607941e-01
26,2.6000000000e-03,1.0000000000e-04,447034,48,48,58,-2.8286912566e+03,4.8351862489e-01,4.9746065168e-01,3.1527783818e-02,-3.4248506119e+00,4.6911979902e-01,1.8709276777e+00,-2.8286912566e+03,3.2298156395e-02,-2.8286589585e+03,5.0448821843e-04,1.2839090070e-04,-1.2007491503e+00,-1.1982098675e+00,2.5392828221e-03,interface,1,0,1,437711,47,47,47,9.9996271598e-01
27,2.7000000000e-03,1.0000000000e-04,447034,48,48,58,-2.8473691989e+03,4.8364701579e-01,4.9738881876e-01,3.2032272036e-02,-3.4084548521e+00,4.6936001317e-01,1.8709908440e+00,-2.8473691989e+03,3.2047092793e-02,-2.8473371518e+03,4.4317870757e-04,1.2925166149e-04,-1.2085647851e+00,-1.2059536751e+00,2.6111100272e-03,interface,1,0,1,437711,47,47,47,9.9995932904e-01
28,2.8000000000e-03,1.0000000000e-04,447034,48,48,58,-2.8635150389e+03,4.8377626745e-01,4.9731872140e-01,3.2475450744e-02,-3.3942563563e+00,4.6960184593e-01,1.8710539359e+00,-2.8635150389e+03,3.1794333186e-02,-2.8634832445e+03,3.7888876834e-04,1.2999895790e-04,-1.2152803582e+00,-1.2125991567e+00,2.6812014918e-03,interface,1,0,1,437711,47,47,47,9.9995592313e-01
29,2.9000000000e-03,1.0000000000e-04,447034,48,48,58,-2.8771748660e+03,4.8390626641e-01,4.9725011450e-01,3.2854339512e-02,-3.3822652784e+00,4.6984508509e-01,1.8711168886e+00,-2.8771748660e+03,3.1540099323e-02,-2.8771433259e+03,3.1348830848e-04,1.3063411715e-04,-1.2209131397e+00,-1.2181633374e+00,2.7498023214e-03,interface,1,0,1,437711,47,47,47,9.9995250249e-01
30,3.0000000000e-03,1.0000000000e-04,447034,48,48,58,-2.8884371808e+03,4.8403690053e-01,4.9718275863e-01,3.3167827821e-02,-3.3724445607e+00,4.7008952090e-01,1.8711796398e+00,-2.8884371808e+03,3.1284610404e-02,-2.8884058962e+03,2.4866766009e-04,1.3116011885e-04,-1.2254994332e+00,-1.2226822813e+00,2.8171519347e-03,interface,1,0,1,437711,47,47,47,9.9994907108e-01
31,3.1000000000e-03,1.0000000000e-04,447034,48,48,58,-2.8974226605e+03,4.8416806065e-01,4.9711642371e-01,3.3416495481e-02,-3.3647180391e+00,4.7033494915e-01,1.8712421302e+00,-2.8974226605e+03,3.1028079849e-02,-2.8973916324e+03,1.8587706801e-04,1.3158281276e-04,-1.2290901448e+00,-1.2262066645e+00,2.8834803870e-03,interface,1,0,1,437711,47,47,47,9.9994563218e-01
32,3.2000000000e-03,1.0000000000e-04,447984,48,58,48,-2.9042749370e+03,4.8429964346e-01,4.9705089178e-01,3.3602372549e-02,-3.3589786961e+00,4.7058117655e-01,1.8713043050e+00,-2.9042749370e+03,3.0770709679e-02,-2.9042441663e+03,1.2629371667e-04,1.3190837039e-04,-1.2317467424e+00,-1.2287977368e+00,2.9490056197e-03,interface,1,0,1,437711,47,47,47,9.9994218867e-01
33,3.3000000000e-03,1.0000000000e-04,447984,48,58,48,-2.9091526515e+03,4.8443155183e-01,4.9698595895e-01,3.3728666265e-02,-3.3550965718e+00,4.7082802133e-01,1.8713661137e+00,-2.9091526515e+03,3.0512689886e-02,-2.9091221388e+03,7.0813371719e-05,1.3214351269e-04,-1.2335377356e+00,-1.2305238041e+00,3.0139315300e-03,interface,1,0,1,437711,47,47,47,9.9993874309e-01
