points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
4,1.9349429054431632e-08,independent_subcell_probe,0.9999999247714773,0.9999999247714801,2.886579864025407e-15,0.9999993241393171,0.9999993241382304,1.0866862965031032e-12
4,1.9357524209120944e-08,independent_subcell_probe,0.9999999259919098,0.9999999263632785,3.7136871355869516e-10,0.9999993342896877,0.9999993373802496,3.0905619174959043e-09
4,1.9365619363810257e-08,canonical_cell_edge,0.9999999272123423,0.9999999272123452,2.886579864025407e-15,0.9999993444528005,0.9999993444527968,3.6637359812630166e-15
4,1.9373728076813373e-08,independent_subcell_probe,0.9999999283584305,0.99999992800969,3.4874059195999507e-10,0.9999993540087998,0.9999993510991422,2.9096576259490803e-09
4,1.9381836789816492e-08,independent_subcell_probe,0.9999999295045188,0.9999999295045217,2.886579864025407e-15,0.9999993635768055,0.9999993635757797,1.0258460747536446e-12
4,1.938994550281961e-08,independent_subcell_probe,0.999999930650607,0.9999999309993535,3.487464761420256e-10,0.9999993731568276,0.999999376073731,2.916903385496994e-09
4,1.9398054215822728e-08,canonical_cell_edge,0.9999999317966954,0.9999999317966981,2.6645352591003757e-15,0.999999382748876,0.9999993827488725,3.552713678800501e-15
4,1.9406176509848022e-08,independent_subcell_probe,0.9999999328728144,0.9999999325453646,3.2744984501675845e-10,0.9999993917666361,0.9999993890208639,2.7457721651913403e-09
4,1.941429880387332e-08,independent_subcell_probe,0.9999999339489334,0.999999933948936,2.6645352591003757e-15,0.9999994007957261,0.9999994007947578,9.683365220780615e-13
4,1.9422421097898618e-08,independent_subcell_probe,0.9999999350250524,0.9999999353525076,3.274552851095791e-10,0.9999994098361558,0.9999994125887649,2.752609140621587e-09
4,1.9430543391923912e-08,canonical_cell_edge,0.9999999361011713,0.999999936101174,2.6645352591003757e-15,0.9999994188879343,0.9999994188879306,3.6637359812630166e-15
4,1.9438679289717822e-08,independent_subcell_probe,0.9999999371114483,0.9999999368040334,3.0741487133667533e-10,0.9999994273965553,0.9999994248058083,2.5907470613262262e-09
4,1.9446815187511733e-08,independent_subcell_probe,0.9999999381217253,0.9999999381217279,2.6645352591003757e-15,0.9999994359158669,0.999999435914953,9.139355938714289e-13
4,1.9454951085305646e-08,independent_subcell_probe,0.9999999391320024,0.9999999394394224,3.0742008938489107e-10,0.9999994444458775,0.9999994470430755,2.5971980122108107e-09
