record_type,points_per_cell,metric,cohort_value,eulerian_value,error,criterion,pass
lower_tail_fraction,2,Rmin_to_Rmin_plus_1nm:M3_fraction,3.279593942527942e-42,3.183428682249947e-42,9.616526027799528e-44,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,Rmin_to_Rmin_plus_2nm:number_fraction,1.784996196666041e-21,1.7921113141191086e-21,7.115117453067735e-24,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,Rmin_to_Rmin_plus_2nm:M3_fraction,2.9653990582686596e-23,2.9777356398621124e-23,1.2336581593452796e-25,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,below_initial_critical_radius:number_fraction,0.3286403873802731,0.327981935719049,0.0006584516612241353,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,below_initial_critical_radius:M3_fraction,0.19388306807525557,0.1933828903395721,0.0005001777356834769,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,critical_radius_plus_minus_0p25nm:number_fraction,0.14574331977157665,0.14707029042109449,0.001326970649517839,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,critical_radius_plus_minus_0p25nm:M3_fraction,0.11089464332714197,0.11196779508273705,0.001073151755595081,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,critical_radius_plus_minus_0p5nm:number_fraction,0.28767815453822804,0.28843052613205855,0.0007523715938305142,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,2,critical_radius_plus_minus_0p5nm:M3_fraction,0.22058560219273562,0.22129396983051464,0.0007083676377790116,quadrature_refinement_diagnostic,DIAGNOSTIC
global_identity,4,M0,6.554111031100801e+21,6.554111031100799e+21,3.1997504925511945e-16,relative_1e-12_for_M0_M3_inventory,True
global_identity,4,M1,61390953694483.9,61390953694483.89,1.2725816313066935e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,M2,586418.0647641422,586418.0647641419,3.970386617395806e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,M3,0.005712453465239245,0.005712453465239244,1.5183698970440146e-16,relative_1e-12_for_M0_M3_inventory,True
global_identity,4,N,6.554111031100801e+21,6.554111031100799e+21,3.1997504925511945e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,Rmean_number,9.366785732370013e-09,9.366785732370014e-09,1.7661994972179892e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,Rmean_cubed,8.21810635184668e-25,8.218106351846683e-25,4.46991032854448e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,mean_R3,8.715832609689258e-25,8.71583260968926e-25,2.1073258349615176e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,Sv,7369146.73678149,7369146.736781487,3.7914399368667143e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,f_beta,0.023928269120492226,0.02392826912049222,2.899872894677846e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,4,matrix_xB,0.006220578557312309,0.006220578557312318,8.673617379884035e-18,absolute_1e-12,True
global_identity,4,beta_inventory,583.4882372282237,583.4882372282235,3.8967996428400653e-16,relative_1e-12_for_M0_M3_inventory,True
global_identity,4,total_inventory,731.5467336438344,731.5467336438344,0.0,relative_1e-12_for_M0_M3_inventory,True
lower_tail_fraction,4,Rmin_to_Rmin_plus_1nm:number_fraction,8.754574299832115e-40,8.966517163223183e-40,2.1194286339106803e-41,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,Rmin_to_Rmin_plus_1nm:M3_fraction,3.105826026286045e-42,3.183428682249947e-42,7.760265596390187e-44,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,Rmin_to_Rmin_plus_2nm:number_fraction,1.7849961966660393e-21,1.7921113141191086e-21,7.115117453069239e-24,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,Rmin_to_Rmin_plus_2nm:M3_fraction,2.9653990582686584e-23,2.9777356398621124e-23,1.2336581593453971e-25,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,below_initial_critical_radius:number_fraction,0.3278907319068955,0.327981935719049,9.120381215349527e-05,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,below_initial_critical_radius:M3_fraction,0.19331358959951925,0.1933828903395721,6.93007400528467e-05,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,critical_radius_plus_minus_0p25nm:number_fraction,0.1472517421797956,0.14707029042109449,0.00018145175870112884,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,critical_radius_plus_minus_0p25nm:M3_fraction,0.11214106286161346,0.11196779508273705,0.00017326777887641254,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,critical_radius_plus_minus_0p5nm:number_fraction,0.28850678084281073,0.28843052613205855,7.625471075217716e-05,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,4,critical_radius_plus_minus_0p5nm:M3_fraction,0.22132886514285866,0.22129396983051464,3.489531234401877e-05,quadrature_refinement_diagnostic,DIAGNOSTIC
