probe_path,matrix_xB,radius_m,xeq_alpha_beta,chemical_driving_force_xB,gibbs_thomson_embedded_in_xeq,elastic_correction_included,elastic_penalty_j_m3,growth_rate_eulerian_m_s,growth_rate_cohort_m_s,growth_sign,critical_radius_m,molar_inventory_per_particle_mol,relative_difference
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.95926371239724e-09,0.006394854613172838,-0.000174276055860529,True,True,0.0,-1.7790973715591167e-13,-1.7790973715591167e-13,DISSOLUTION,8.714603508943103e-09,5.1502476551776736e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.962733504799366e-09,0.006393966352840638,-0.00017338779552832865,True,True,0.0,-1.769256685646044e-13,-1.769256685646044e-13,DISSOLUTION,8.714603508943103e-09,5.156986248999264e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.964584130514213e-09,0.006393492963018098,-0.00017291440570578898,True,True,0.0,-1.7640153781311188e-13,-1.7640153781311188e-13,DISSOLUTION,8.714603508943103e-09,5.1605827034998876e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.968059734359855e-09,0.006392604592900861,-0.00017202603558855167,True,True,0.0,-1.7541854564088817e-13,-1.7541854564088817e-13,DISSOLUTION,8.714603508943103e-09,5.1673416135508217e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.972594426782875e-09,0.0063914468678357,-0.0001708683105233911,True,True,0.0,-1.7413868232026279e-13,-1.7413868232026279e-13,DISSOLUTION,8.714603508943103e-09,5.176168973172739e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.976070030628517e-09,0.006390560565183993,-0.00016998200787168415,True,True,0.0,-1.731597736108444e-13,-1.731597736108444e-13,DISSOLUTION,8.714603508943103e-09,5.182941482496067e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.977923755896756e-09,0.006390088218604396,-0.00016950966129208704,True,True,0.0,-1.726383915198846e-13,-1.726383915198846e-13,DISSOLUTION,8.714603508943103e-09,5.186556038037067e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.981405180919311e-09,0.0063892018060939535,-0.00016862324878164428,True,True,0.0,-1.7166055517904243e-13,-1.7166055517904243e-13,DISSOLUTION,8.714603508943103e-09,5.193348965841796e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.985947468352585e-09,0.006388046631875336,-0.00016746807456302724,True,True,0.0,-1.703874063535417e-13,-1.703874063535417e-13,DISSOLUTION,8.714603508943103e-09,5.2022207537730163e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.989428893375141e-09,0.006387162281801478,-0.00016658372448916884,True,True,0.0,-1.694136344505636e-13,-1.694136344505636e-13,DISSOLUTION,8.714603508943103e-09,5.209027349295598e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.991285723388114e-09,0.006386690975745929,-0.00016611241843361973,True,True,0.0,-1.6889498872779066e-13,-1.6889498872779066e-13,DISSOLUTION,8.714603508943103e-09,5.2126600969799385e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.994772979337288e-09,0.006385806515740923,-0.0001652279584286138,True,True,0.0,-1.6792228516064678e-13,-1.6792228516064678e-13,DISSOLUTION,8.714603508943103e-09,5.219487213750628e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,7.999322874501454e-09,0.00638465388572263,-0.00016407532841032114,True,True,0.0,-1.6665582080165354e-13,-1.6665582080165354e-13,DISSOLUTION,8.714603508943103e-09,5.2284036535998794e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.002810130450629e-09,0.006383771483140007,-0.00016319292582769786,True,True,0.0,-1.6568716273198297e-13,-1.6568716273198297e-13,DISSOLUTION,8.714603508943103e-09,5.2352445068783673e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.004670070408373e-09,0.006383301214898154,-0.00016272265758584484,True,True,0.0,-1.6517124113955418e-13,-1.6517124113955418e-13,DISSOLUTION,8.714603508943103e-09,5.238895538267538e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.008163167050194e-09,0.006382418702313252,-0.00016184014500094258,True,True,0.0,-1.6420364739065488e-13,-1.6420364739065488e-13,DISSOLUTION,8.714603508943103e-09,5.245757016078051e-20,0.0
